time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,2.37911e+12,2.22582e+12,2.26932e+12,2.14244e+12,2.13501e+12,2.07991e+12,2.15467e+12,2.21124e+12,1.68841e+12,2.30979e+12,2.27585e+12,2.34644e+12,2.19294e+12,2.34347e+12,2.3146e+12,2.33435e+12,2.37143e+12,2.37799e+12,2.06733e+12,2.08854e+12,2.09672e+12,2.09132e+12,2.30573e+12,2.37299e+12,2.32408e+12,1.9905e+12,2.0212e+12,2.07153e+12,
1,2.38858e+12,2.34059e+12,2.3419e+12,2.31317e+12,2.27671e+12,2.27793e+12,2.37414e+12,2.38142e+12,1.81206e+12,2.38807e+12,2.38685e+12,2.38938e+12,2.35031e+12,2.38947e+12,2.38871e+12,2.38926e+12,2.38989e+12,2.38995e+12,2.33042e+12,2.33145e+12,2.33411e+12,2.32968e+12,2.34376e+12,2.3899e+12,2.38381e+12,2.26431e+12,2.26584e+12,2.27139e+12,
2,2.38862e+12,2.3444e+12,2.34368e+12,2.32389e+12,2.28283e+12,2.28881e+12,2.38586e+12,2.38853e+12,1.82009e+12,2.38985e+12,2.38984e+12,2.38999e+12,2.35695e+12,2.39e+12,2.38998e+12,2.38999e+12,2.39e+12,2.39e+12,2.3481e+12,2.34687e+12,2.34843e+12,2.34469e+12,2.34446e+12,2.39e+12,2.38478e+12,2.2854e+12,2.28222e+12,2.28256e+12,
3,2.38863e+12,2.34453e+12,2.34375e+12,2.32451e+12,2.2831e+12,2.28931e+12,2.38631e+12,2.38875e+12,1.82072e+12,2.38989e+12,2.3899e+12,2.39e+12,2.35718e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.34896e+12,2.3476e+12,2.34907e+12,2.34542e+12,2.3445e+12,2.39e+12,2.3848e+12,2.28663e+12,2.28308e+12,2.28309e+12,
4,2.38863e+12,2.34455e+12,2.34377e+12,2.32456e+12,2.28314e+12,2.28936e+12,2.38632e+12,2.38876e+12,1.82089e+12,2.38989e+12,2.3899e+12,2.39e+12,2.3572e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.349e+12,2.34764e+12,2.3491e+12,2.34546e+12,2.34452e+12,2.39e+12,2.3848e+12,2.28671e+12,2.28314e+12,2.28314e+12,
5,2.38863e+12,2.34456e+12,2.34378e+12,2.32458e+12,2.28317e+12,2.28939e+12,2.38632e+12,2.38876e+12,1.82104e+12,2.38989e+12,2.3899e+12,2.39e+12,2.35721e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.34901e+12,2.34765e+12,2.34911e+12,2.34547e+12,2.34453e+12,2.39e+12,2.3848e+12,2.28675e+12,2.28317e+12,2.28317e+12,
6,2.38863e+12,2.34458e+12,2.3438e+12,2.3246e+12,2.2832e+12,2.28942e+12,2.38632e+12,2.38876e+12,1.82119e+12,2.38989e+12,2.3899e+12,2.39e+12,2.35721e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.34902e+12,2.34766e+12,2.34913e+12,2.34549e+12,2.34455e+12,2.39e+12,2.3848e+12,2.28677e+12,2.2832e+12,2.2832e+12,
7,2.38863e+12,2.34459e+12,2.34381e+12,2.32462e+12,2.28323e+12,2.28944e+12,2.38632e+12,2.38876e+12,1.82133e+12,2.38989e+12,2.3899e+12,2.39e+12,2.35722e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.34904e+12,2.34767e+12,2.34914e+12,2.3455e+12,2.34456e+12,2.39e+12,2.3848e+12,2.2868e+12,2.28323e+12,2.28323e+12,
8,2.38863e+12,2.3446e+12,2.34383e+12,2.32464e+12,2.28326e+12,2.28947e+12,2.38632e+12,2.38876e+12,1.82148e+12,2.38989e+12,2.3899e+12,2.39e+12,2.35723e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.34905e+12,2.34769e+12,2.34915e+12,2.34551e+12,2.34457e+12,2.39e+12,2.38481e+12,2.28683e+12,2.28326e+12,2.28326e+12,
9,2.38863e+12,2.34462e+12,2.34384e+12,2.32465e+12,2.28329e+12,2.2895e+12,2.38633e+12,2.38876e+12,1.82163e+12,2.38989e+12,2.3899e+12,2.39e+12,2.35724e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.39e+12,2.34906e+12,2.3477e+12,2.34916e+12,2.34553e+12,2.34459e+12,2.39e+12,2.38481e+12,2.28686e+12,2.28329e+12,2.28329e+12,
