time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00995395,0.00558583,0.00927034,0.00644525,0.00550495,0.00380244,0.00224228,0.00280404,0.00598234,0.00615762,0.00369935,0.00699285,0.00336814,0.00864833,0.0089362,0.00901245,0.00990153,0.00993294,0.00231942,0.00230307,0.00239269,0.00203571,0.00962922,0.00924274,0.00752992,0.00174238,0.00216655,0.00374359,
1,0.00999353,0.00583686,0.00955327,0.00676677,0.00583807,0.00413158,0.00245794,0.00300318,0.00638712,0.00633043,0.00386846,0.00710119,0.00357854,0.00881332,0.00921596,0.00921805,0.00997818,0.0099827,0.00259781,0.002551,0.00264675,0.00224852,0.00978551,0.00930639,0.00771546,0.00192603,0.00240714,0.00407143,
2,0.00999369,0.00584805,0.00955938,0.00677843,0.00585351,0.00415097,0.00247199,0.00301474,0.00641308,0.00633773,0.00387751,0.00710643,0.00358988,0.00881661,0.0092215,0.00922154,0.00997865,0.00998293,0.00261838,0.00256858,0.00266414,0.00226366,0.00978815,0.00930745,0.00772014,0.00193986,0.00242443,0.00409097,
3,0.00999369,0.00585236,0.00955987,0.00677971,0.00585653,0.00415489,0.00247589,0.00301914,0.00641583,0.00634203,0.00388263,0.00711039,0.00359378,0.00881812,0.00922244,0.00922245,0.00997868,0.00998296,0.00262246,0.00257258,0.00266805,0.00226746,0.00978831,0.00930817,0.00772213,0.00194249,0.00242799,0.00409489,
4,0.00999369,0.00585648,0.00956022,0.00678062,0.00585908,0.00415816,0.00247945,0.00302335,0.00641717,0.00634627,0.00388768,0.00711434,0.00359745,0.00881962,0.00922333,0.00922333,0.0099787,0.00998299,0.00262578,0.002576,0.0026714,0.00227079,0.00978839,0.00930888,0.00772407,0.00194454,0.0024309,0.00409815,
5,0.0099937,0.00586059,0.00956055,0.00678151,0.0058616,0.00416141,0.002483,0.00302755,0.00641843,0.00635052,0.00389274,0.00711828,0.00360112,0.00882111,0.00922421,0.00922422,0.00997872,0.00998302,0.00262908,0.0025794,0.00267474,0.0022741,0.00978846,0.0093096,0.00772601,0.00194657,0.00243379,0.00410139,
6,0.0099937,0.0058647,0.00956089,0.0067824,0.00586412,0.00416466,0.00248655,0.00303177,0.00641968,0.00635476,0.00389779,0.00712222,0.00360479,0.00882261,0.0092251,0.0092251,0.00997875,0.00998305,0.00263238,0.0025828,0.00267807,0.00227741,0.00978853,0.00931031,0.00772795,0.00194859,0.00243669,0.00410463,
7,0.0099937,0.0058688,0.00956122,0.00678328,0.00586664,0.00416791,0.00249011,0.00303598,0.00642093,0.006359,0.00390285,0.00712616,0.00360846,0.0088241,0.00922598,0.00922599,0.00997877,0.00998308,0.00263569,0.0025862,0.00268141,0.00228073,0.0097886,0.00931102,0.00772989,0.00195062,0.00243958,0.00410787,
8,0.0099937,0.00587291,0.00956156,0.00678417,0.00586915,0.00417116,0.00249367,0.0030402,0.00642219,0.00636325,0.00390791,0.0071301,0.00361213,0.00882559,0.00922686,0.00922687,0.0099788,0.00998311,0.00263899,0.0025896,0.00268475,0.00228405,0.00978867,0.00931173,0.00773183,0.00195266,0.00244248,0.00411111,
9,0.0099937,0.00587702,0.00956189,0.00678506,0.00587167,0.00417441,0.00249723,0.00304442,0.00642344,0.00636749,0.00391298,0.00713404,0.0036158,0.00882707,0.00922774,0.00922775,0.00997882,0.00998314,0.0026423,0.00259301,0.0026881,0.00228737,0.00978874,0.00931244,0.00773376,0.00195469,0.00244538,0.00411435,
10,0.00999371,0.00588113,0.00956222,0.00678596,0.00587419,0.00417766,0.00250079,0.00304864,0.00642469,0.00637173,0.00391805,0.00713797,0.00361948,0.00882856,0.00922863,0.00922863,0.00997885,0.00998317,0.00264562,0.00259642,0.00269144,0.0022907,0.00978882,0.00931315,0.0077357,0.00195673,0.00244829,0.00411759,
11,3.97401e-05,0.000256855,0.000288747,0.00033298,0.000346012,0.000346161,0.000226805,0.000205956,0.000431329,0.000173551,0.000170878,0.000106757,0.000217534,0.000165721,0.000283989,0.000207664,7.70771e-05,4.99332e-05,0.000297589,0.000263449,0.0002694,0.000225743,0.000158961,6.33798e-05,0.00018701,0.00019705,0.000256524,0.000345072,
12,1.58509e-07,7.37678e-06,5.95155e-06,1.12708e-05,1.35441e-05,1.7035e-05,1.10758e-05,7.70374e-06,2.64223e-05,3.14652e-06,4.14604e-06,1.3166e-06,8.04802e-06,1.81198e-06,4.71589e-06,2.62773e-06,4.42483e-07,1.96013e-07,1.8377e-05,1.5078e-05,1.49016e-05,1.25787e-05,2.67197e-06,3.54935e-07,2.79331e-06,1.2664e-05,1.5345e-05,1.72045e-05,
13,2.99528e-09,2.08317e-07,1.68075e-07,4.15106e-07,5.32245e-07,7.08248e-07,3.82413e-07,2.09643e-07,1.60496e-06,4.82192e-08,7.37933e-08,1.3759e-08,2.59093e-07,1.52004e-08,5.61234e-08,2.48922e-08,2.12008e-09,6.71598e-10,8.28626e-07,6.48242e-07,6.13729e-07,5.30708e-07,1.03787e-07,1.72007e-09,4.20642e-08,6.46118e-07,7.18614e-07,7.25337e-07,
14,1.66093e-10,7.67406e-09,7.95536e-09,1.83186e-08,2.49277e-08,3.06739e-08,1.06523e-08,4.71977e-09,9.75084e-08,6.83494e-10,1.08784e-09,1.27766e-10,9.15113e-09,1.09671e-10,5.39247e-10,1.98479e-10,9.3964e-12,2.28925e-12,3.21156e-08,2.46208e-08,2.25957e-08,1.99374e-08,5.95904e-09,7.60598e-12,1.12959e-09,2.98725e-08,3.17916e-08,3.1788e-08,
