time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,1.64895e-06,0,0,0,1.25325e-06,2.78726e-07,3.48545e-07,3.80772e-07,2.00764e-06,1.13735e-06,2.14993e-06,6.45279e-07,1.53685e-06,0,0,0,0,0,3.55072e-07,0,4.32266e-07,0,1.4249e-06,1.16083e-06,5.74044e-07,7.1379e-07,1.23337e-06,
2,0,3.36964e-06,0,0,0,2.61364e-06,5.84195e-07,7.21744e-07,7.87185e-07,4.06827e-06,2.32566e-06,4.32948e-06,1.33052e-06,3.10121e-06,0,0,0,0,0,7.48262e-07,0,9.09562e-07,0,2.85806e-06,2.34922e-06,1.20825e-06,1.50642e-06,2.57346e-06,
3,0,5.09117e-06,0,0,0,3.97898e-06,8.9134e-07,1.09627e-06,1.19512e-06,6.12785e-06,3.51566e-06,6.5069e-06,2.01757e-06,4.6643e-06,0,0,0,0,0,1.14405e-06,0,1.38989e-06,0,4.28985e-06,3.53726e-06,1.84664e-06,2.30425e-06,3.91857e-06,
4,0,6.81151e-06,0,0,0,5.34415e-06,1.1989e-06,1.47124e-06,1.6031e-06,8.1854e-06,4.70616e-06,8.6818e-06,2.70499e-06,6.22581e-06,0,0,0,0,0,1.54033e-06,0,1.87085e-06,0,5.72019e-06,4.72454e-06,2.48551e-06,3.10277e-06,5.26356e-06,
5,0,8.5306e-06,0,0,0,6.70894e-06,1.50683e-06,1.84663e-06,2.01103e-06,1.02409e-05,5.89711e-06,1.08542e-05,3.39275e-06,7.78575e-06,0,0,0,0,0,1.93702e-06,0,2.35234e-06,0,7.1491e-06,5.91105e-06,3.12469e-06,3.90177e-06,6.60821e-06,
6,0,1.02484e-05,0,0,0,8.07334e-06,1.81513e-06,2.22243e-06,2.41892e-06,1.22944e-05,7.08853e-06,1.3024e-05,4.08084e-06,9.3441e-06,0,0,0,0,0,2.33411e-06,0,2.83435e-06,0,8.57658e-06,7.09678e-06,3.76415e-06,4.70122e-06,7.95251e-06,
7,0,1.1965e-05,0,0,0,9.43736e-06,2.12379e-06,2.59865e-06,2.82675e-06,1.43458e-05,8.2804e-06,1.51914e-05,4.76926e-06,1.09009e-05,0,0,0,0,0,2.73161e-06,0,3.31688e-06,0,1.00026e-05,8.28175e-06,4.4039e-06,5.50114e-06,9.29646e-06,
8,0,1.36804e-05,0,0,0,1.0801e-05,2.43283e-06,2.97528e-06,3.23453e-06,1.63951e-05,9.47273e-06,1.73562e-05,5.45801e-06,1.24561e-05,0,0,0,0,0,3.12951e-06,0,3.79994e-06,0,1.14272e-05,9.46595e-06,5.04394e-06,6.30152e-06,1.06401e-05,
9,0,1.53944e-05,0,0,0,1.21642e-05,2.74224e-06,3.35233e-06,3.64227e-06,1.84424e-05,1.06655e-05,1.95185e-05,6.14709e-06,1.40097e-05,0,0,0,0,0,3.52781e-06,0,4.28351e-06,0,1.28504e-05,1.06494e-05,5.68426e-06,7.10236e-06,1.19833e-05,
