time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00766521,0.00117939,0.00180588,0.000584128,0.00127865,0.000446298,0.000328333,0.000943461,0.00312769,0.00355201,0.00221862,0.00592155,0.0016156,0.00421182,0.00143262,0.002852,0.0066832,0.00775741,0.00010403,0.000213231,0.000204664,0.000174821,0.00396328,0.00764819,0.00383987,0.000173886,0.000217171,0.000435653,
1,0.00770453,0.00123302,0.00186732,0.000614191,0.00135699,0.000485643,0.00035913,0.00100725,0.00334178,0.00365523,0.00231809,0.00600702,0.00172035,0.00429767,0.0014823,0.00292443,0.00673706,0.00780015,0.000116257,0.000235009,0.00022619,0.00019215,0.00404016,0.00770077,0.00393409,0.000191167,0.000241473,0.00047448,
2,0.0077173,0.00124155,0.00187933,0.000618883,0.0013647,0.000489434,0.00036182,0.00101266,0.00336519,0.0036669,0.00232607,0.00601455,0.00172932,0.00431095,0.0014912,0.00293756,0.00674897,0.00780934,0.000117439,0.000237343,0.000228193,0.000194163,0.00405893,0.00770779,0.00394485,0.000193121,0.000243864,0.000478234,
3,0.00772994,0.00124894,0.00189047,0.000622851,0.00136961,0.000491441,0.000363169,0.00101601,0.00337699,0.00367697,0.00233193,0.00602118,0.0017347,0.00432349,0.0014995,0.00295002,0.00676066,0.00781838,0.000117944,0.000238628,0.000229116,0.000195396,0.00407685,0.00771456,0.00395447,0.000194109,0.000244913,0.000480205,
4,0.00774254,0.00125633,0.00190162,0.000626815,0.00137441,0.000493377,0.000364477,0.00101932,0.00338808,0.00368702,0.00233776,0.0060278,0.00173998,0.00433604,0.00150783,0.0029625,0.00677233,0.00782741,0.000118419,0.000239875,0.000229998,0.000196606,0.00409476,0.00772133,0.00396408,0.000195051,0.0002459,0.000482104,
5,0.0077551,0.00126375,0.00191283,0.0006308,0.00137922,0.000495318,0.000365787,0.00102263,0.00339912,0.00369707,0.00234359,0.00603442,0.00174527,0.00434859,0.00151621,0.00297502,0.00678399,0.00783641,0.000118896,0.000241127,0.000230881,0.000197821,0.00411269,0.00772808,0.0039737,0.000195996,0.000246889,0.000484007,
6,0.00776761,0.00127121,0.00192408,0.000634806,0.00138404,0.000497265,0.000367102,0.00102595,0.00341015,0.00370712,0.00234944,0.00604104,0.00175056,0.00436115,0.00152463,0.00298757,0.00679563,0.00784538,0.000119374,0.000242385,0.000231767,0.000199042,0.00413065,0.00773482,0.00398334,0.000196944,0.000247881,0.000485916,
7,0.00778009,0.0012787,0.00193538,0.000638833,0.00138888,0.000499219,0.000368421,0.00102927,0.00342118,0.00371718,0.0023553,0.00604766,0.00175587,0.00437372,0.00153308,0.00300016,0.00680725,0.00785434,0.000119854,0.000243648,0.000232657,0.000200269,0.00414863,0.00774155,0.00399298,0.000197896,0.000248877,0.000487833,
8,0.00779252,0.00128621,0.00194672,0.000642882,0.00139372,0.00050118,0.000369745,0.00103261,0.00343221,0.00372724,0.00236117,0.00605428,0.00176118,0.00438629,0.00154158,0.00301277,0.00681887,0.00786327,0.000120335,0.000244917,0.000233549,0.000201503,0.00416663,0.00774826,0.00400263,0.000198853,0.000249877,0.000489756,
9,0.00780491,0.00129377,0.00195812,0.000646951,0.00139859,0.000503148,0.000371072,0.00103595,0.00344323,0.00373731,0.00236705,0.0060609,0.00176651,0.00439887,0.00155013,0.00302542,0.00683046,0.00787218,0.000120819,0.000246192,0.000234445,0.000202743,0.00418465,0.00775497,0.00401229,0.000199813,0.000250881,0.000491686,
