time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,8.24744e-06,5.91213e-07,1.29652e-06,5.83727e-07,8.87915e-07,1.90351e-07,2.00578e-07,5.76365e-07,1.99075e-07,1.27554e-06,1.07412e-06,2.86688e-06,2.55968e-07,2.47551e-06,1.77597e-06,3.53547e-06,5.67226e-06,6.23828e-06,8.49329e-08,2.62645e-08,1.81522e-07,9.9526e-08,4.19721e-06,4.5783e-06,2.29862e-06,7.4301e-08,9.27966e-08,1.86154e-07,
2,1.64845e-05,1.20896e-06,2.63578e-06,1.19721e-06,1.82953e-06,3.97453e-07,4.19936e-07,1.1914e-06,4.11743e-07,2.58678e-06,2.19545e-06,5.76821e-06,5.2848e-07,4.99665e-06,3.61094e-06,7.15082e-06,1.13643e-05,1.24808e-05,1.79842e-07,5.52109e-08,3.82107e-07,2.08908e-07,8.46174e-06,9.17181e-06,4.64933e-06,1.55979e-07,1.9597e-07,3.8887e-07,
3,2.46825e-05,1.83061e-06,3.98222e-06,1.81509e-06,2.77576e-06,6.06136e-07,6.40899e-07,1.8094e-06,6.25862e-07,3.90079e-06,3.31966e-06,8.66617e-06,8.02355e-07,7.52063e-06,5.45424e-06,1.07722e-05,1.70405e-05,1.87006e-05,2.75709e-07,8.44442e-08,5.84437e-07,3.19425e-07,1.27317e-05,1.37532e-05,7.00205e-06,2.38485e-07,3.00157e-07,5.93156e-07,
4,3.28414e-05,2.45559e-06,5.33518e-06,2.43663e-06,3.72464e-06,8.15641e-07,8.62649e-07,2.42912e-06,8.40695e-07,5.217e-06,4.44571e-06,1.15603e-05,1.07703e-06,1.0047e-05,7.30509e-06,1.43988e-05,2.27006e-05,2.48975e-05,3.7198e-07,1.13835e-07,7.87553e-07,4.30633e-07,1.70061e-05,1.83223e-05,9.35608e-06,3.21406e-07,4.04783e-07,7.9825e-07,
5,4.09614e-05,3.08389e-06,6.69467e-06,3.06181e-06,4.6761e-06,1.02594e-06,1.08516e-06,3.05052e-06,1.05619e-06,6.53538e-06,5.57357e-06,1.44507e-05,1.35248e-06,1.25757e-05,9.16349e-06,1.80304e-05,2.83446e-05,3.10716e-05,4.68632e-07,1.43379e-07,9.9142e-07,5.42519e-07,2.12847e-05,2.28791e-05,1.17114e-05,4.04721e-07,5.09823e-07,1.00412e-06,
6,4.90424e-05,3.71553e-06,8.06068e-06,3.69066e-06,5.63012e-06,1.23702e-06,1.30843e-06,3.67361e-06,1.27236e-06,7.85593e-06,6.70325e-06,1.73372e-05,1.62871e-06,1.51068e-05,1.10295e-05,2.1667e-05,3.39725e-05,3.7223e-05,5.65665e-07,1.73076e-07,1.19604e-06,6.55084e-07,2.55675e-05,2.74237e-05,1.4068e-05,4.88432e-07,6.15277e-07,1.21077e-06,
7,5.70846e-05,4.35051e-06,9.43324e-06,4.32319e-06,6.58672e-06,1.4489e-06,1.53246e-06,4.29839e-06,1.48919e-06,9.17864e-06,7.83474e-06,2.022e-05,1.90571e-06,1.76401e-05,1.2903e-05,2.53085e-05,3.95842e-05,4.33515e-05,6.63081e-07,2.02928e-07,1.40141e-06,7.68334e-07,2.98544e-05,3.19561e-05,1.64258e-05,5.7254e-07,7.21146e-07,1.41821e-06,
8,6.5088e-05,4.98885e-06,1.08123e-05,4.95942e-06,7.54589e-06,1.66158e-06,1.75727e-06,4.92485e-06,1.70668e-06,1.05035e-05,8.96806e-06,2.30989e-05,2.1835e-06,2.01757e-05,1.47841e-05,2.8955e-05,4.51799e-05,4.94574e-05,7.60882e-07,2.32934e-07,1.60753e-06,8.8227e-07,3.41451e-05,3.64763e-05,1.87849e-05,6.57048e-07,8.27432e-07,1.62642e-06,
9,7.30526e-05,5.63054e-06,1.2198e-05,5.59936e-06,8.50765e-06,1.87506e-06,1.98284e-06,5.55301e-06,1.92483e-06,1.18305e-05,1.01032e-05,2.5974e-05,2.46208e-06,2.27136e-05,1.66728e-05,3.26063e-05,5.07594e-05,5.55407e-05,8.59067e-07,2.63096e-07,1.81442e-06,9.96896e-07,3.84397e-05,4.09843e-05,2.11452e-05,7.41955e-07,9.34136e-07,1.83542e-06,
10,8.09786e-05,6.27561e-06,1.35902e-05,6.24302e-06,9.47198e-06,2.08934e-06,2.20918e-06,6.18285e-06,2.14364e-06,1.31596e-05,1.12401e-05,2.88453e-05,2.74143e-06,2.52536e-05,1.85691e-05,3.62623e-05,5.63229e-05,6.16013e-05,9.57639e-07,2.93414e-07,2.02206e-06,1.11222e-06,4.2738e-05,4.54801e-05,2.35067e-05,8.27265e-07,1.04126e-06,2.04522e-06,
11,8.88661e-05,6.92405e-06,1.4989e-05,6.89043e-06,1.04389e-05,2.30443e-06,2.43629e-06,6.8144e-06,2.36312e-06,1.44909e-05,1.23789e-05,3.17128e-05,3.02157e-06,2.77958e-05,2.0473e-05,3.99231e-05,6.18702e-05,6.76393e-05,1.0566e-06,3.23889e-07,2.23047e-06,1.22823e-06,4.704e-05,4.99637e-05,2.58694e-05,9.12979e-07,1.14881e-06,2.2558e-06,
12,8.88938e-05,6.94944e-06,1.50281e-05,6.9192e-06,1.04939e-05,2.32197e-06,2.45595e-06,6.85396e-06,2.37737e-06,1.45257e-05,1.24263e-05,3.17514e-05,3.0385e-06,2.784e-05,2.05278e-05,3.99999e-05,6.19057e-05,6.76657e-05,1.06727e-06,3.26716e-07,2.25067e-06,1.23858e-06,4.71046e-05,4.99907e-05,2.59213e-05,9.20802e-07,1.1599e-06,2.27317e-06,
13,8.88939e-05,6.9501e-06,1.50288e-05,6.92004e-06,1.04961e-05,2.32285e-06,2.45687e-06,6.85533e-06,2.37824e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03913e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06791e-06,3.26866e-07,2.25176e-06,1.2391e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.21285e-07,1.16056e-06,2.27404e-06,
14,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32288e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.21309e-07,1.16059e-06,2.27408e-06,
15,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32289e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.2131e-07,1.16059e-06,2.27408e-06,
16,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32289e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.2131e-07,1.16059e-06,2.27408e-06,
17,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32289e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.2131e-07,1.16059e-06,2.27408e-06,
18,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32289e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.2131e-07,1.16059e-06,2.27408e-06,
19,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32289e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.2131e-07,1.16059e-06,2.27408e-06,
20,8.88939e-05,6.95011e-06,1.50289e-05,6.92007e-06,1.04962e-05,2.32289e-06,2.4569e-06,6.85537e-06,2.37829e-06,1.45263e-05,1.24274e-05,3.17519e-05,3.03915e-06,2.78405e-05,2.05287e-05,4.00008e-05,6.19058e-05,6.76658e-05,1.06794e-06,3.26872e-07,2.2518e-06,1.23912e-06,4.71056e-05,4.99909e-05,2.59221e-05,9.2131e-07,1.16059e-06,2.27408e-06,
