time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3.29141e+08,3.1971e+08,1.69916e+08,1.50878e+08,1.06015e+08,2.21289e+08,8.59545e+07,1.16309e+08,8.47794e+07,4.05701e+08,2.687e+08,4.84618e+08,1.31516e+08,3.90273e+08,2.77889e+08,3.07645e+08,2.53163e+08,2.45985e+08,4.7653e+07,6.04511e+07,5.83282e+07,9.73055e+07,2.87656e+08,4.11651e+08,3.22418e+08,1.07496e+08,1.33909e+08,2.18037e+08,
2,6.59238e+08,6.53511e+08,3.44911e+08,3.09397e+08,2.18439e+08,4.61732e+08,1.80169e+08,2.40841e+08,1.75295e+08,8.22449e+08,5.49485e+08,9.76047e+08,2.71357e+08,7.87486e+08,5.64237e+08,6.22011e+08,5.08043e+08,4.92995e+08,1.0103e+08,1.27387e+08,1.22864e+08,2.04717e+08,5.79708e+08,8.25585e+08,6.52426e+08,2.26745e+08,2.82733e+08,4.55171e+08,
3,9.89009e+08,9.87575e+08,5.19953e+08,4.68165e+08,3.3114e+08,7.03147e+08,2.74885e+08,3.65784e+08,2.66161e+08,1.23906e+09,8.30635e+08,1.46702e+09,4.11582e+08,1.18437e+09,8.50559e+08,9.36224e+08,7.62742e+08,7.39825e+08,1.54821e+08,1.94763e+08,1.8781e+08,3.12796e+08,8.71604e+08,1.23904e+09,9.82324e+08,3.46844e+08,4.32559e+08,6.9329e+08,
4,1.31845e+09,1.3215e+09,6.9494e+08,6.26921e+08,4.43877e+08,9.44617e+08,3.69711e+08,4.90839e+08,3.57047e+08,1.65534e+09,1.11186e+09,1.95744e+09,5.51888e+08,1.58086e+09,1.13671e+09,1.2502e+09,1.01725e+09,9.86471e+08,2.08684e+08,2.62224e+08,2.52835e+08,4.21003e+08,1.16327e+09,1.652e+09,1.312e+09,4.67055e+08,5.82524e+08,9.31469e+08,
5,1.64756e+09,1.65528e+09,8.69869e+08,7.85655e+08,5.56639e+08,1.1861e+09,4.64633e+08,6.15997e+08,4.47933e+08,2.07127e+09,1.39315e+09,2.44731e+09,6.92266e+08,1.97693e+09,1.4227e+09,1.56393e+09,1.27156e+09,1.23293e+09,2.62604e+08,3.29753e+08,3.17925e+08,5.29316e+08,1.45471e+09,2.06447e+09,1.64145e+09,5.87341e+08,7.32586e+08,1.16967e+09,
6,1.97634e+09,1.98891e+09,1.04474e+09,9.44366e+08,6.69427e+08,1.4276e+09,5.59651e+08,7.41258e+08,5.38818e+08,2.48686e+09,1.67451e+09,2.93663e+09,8.32715e+08,2.3726e+09,1.70852e+09,1.87742e+09,1.52568e+09,1.47921e+09,3.1658e+08,3.9735e+08,3.83079e+08,6.37733e+08,1.74591e+09,2.47644e+09,1.97067e+09,7.07698e+08,8.82744e+08,1.40788e+09,
7,2.3048e+09,2.32239e+09,1.21955e+09,1.10305e+09,7.82241e+08,1.66912e+09,6.54766e+08,8.66621e+08,6.29701e+08,2.9021e+09,1.95594e+09,3.4254e+09,9.73235e+08,2.76787e+09,1.99416e+09,2.19068e+09,1.77961e+09,1.7253e+09,3.70612e+08,4.65016e+08,4.48297e+08,7.46254e+08,2.03689e+09,2.88793e+09,2.29966e+09,8.28128e+08,1.033e+09,1.64611e+09,
8,2.63292e+09,2.65572e+09,1.39431e+09,1.26172e+09,8.95079e+08,1.91065e+09,7.49976e+08,9.92087e+08,7.20583e+08,3.31699e+09,2.23743e+09,3.91362e+09,1.11383e+09,3.16273e+09,2.27964e+09,2.50369e+09,2.03335e+09,1.97121e+09,4.24701e+08,5.32749e+08,5.1358e+08,8.5488e+08,2.32763e+09,3.29892e+09,2.62843e+09,9.48631e+08,1.18335e+09,1.88436e+09,
9,2.96071e+09,2.98891e+09,1.569e+09,1.42036e+09,1.00794e+09,2.15219e+09,8.45282e+08,1.11766e+09,8.11463e+08,3.73155e+09,2.519e+09,4.40129e+09,1.25449e+09,3.55719e+09,2.56495e+09,2.81646e+09,2.2869e+09,2.21693e+09,4.78846e+08,6.0055e+08,5.78927e+08,9.6361e+08,2.61814e+09,3.70942e+09,2.95697e+09,1.06921e+09,1.33379e+09,2.12263e+09,
