time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00959407,0.00483791,0.00742265,0.00473521,0.00478807,0.00318236,0.00211841,0.00286654,0.00557313,0.00607475,0.00397393,0.00716721,0.00350085,0.00798103,0.00703044,0.00778339,0.00935501,0.00959351,0.00183058,0.00200879,0.00206257,0.00179563,0.00851893,0.00909707,0.00712512,0.00154583,0.00192566,0.00313543,
1,0.00963192,0.00505671,0.00764861,0.00497741,0.00507926,0.00346028,0.00232261,0.00307036,0.00595185,0.00624859,0.00415624,0.00727948,0.00372406,0.00813298,0.00725079,0.00796112,0.00942601,0.00964095,0.00205079,0.0022247,0.0022825,0.00198274,0.00865693,0.00915941,0.00730031,0.00171552,0.00214105,0.00341247,
2,0.00963244,0.00506648,0.00765489,0.00498771,0.00509358,0.00347697,0.00233567,0.00308171,0.00597669,0.00625526,0.00416537,0.00728438,0.00373593,0.00813652,0.00725669,0.00796515,0.00942686,0.00964142,0.00206701,0.00223982,0.00229748,0.00199577,0.00866029,0.00916079,0.00730553,0.00172849,0.00215649,0.00342928,
3,0.00963281,0.00507022,0.00765671,0.00498983,0.005097,0.00348048,0.00233908,0.00308569,0.00597978,0.00625881,0.00417021,0.00728794,0.00373979,0.00813843,0.00725901,0.00796697,0.00942732,0.0096417,0.00207014,0.0022431,0.00230074,0.00199883,0.00866148,0.00916183,0.00730822,0.00173086,0.00215951,0.00343277,
4,0.00963318,0.00507379,0.00765842,0.00499163,0.00509998,0.00348343,0.00234216,0.00308946,0.00598156,0.0062623,0.00417498,0.00729148,0.00374339,0.00814033,0.00726128,0.00796877,0.00942778,0.00964199,0.00207268,0.00224585,0.0023035,0.00200148,0.0086626,0.00916287,0.00731088,0.00173268,0.00216195,0.0034357,
5,0.00963355,0.00507736,0.00766011,0.00499342,0.00510295,0.00348637,0.00234523,0.00309324,0.00598325,0.0062658,0.00417975,0.00729502,0.00374698,0.00814223,0.00726355,0.00797057,0.00942823,0.00964227,0.0020752,0.0022486,0.00230625,0.00200411,0.00866371,0.0091639,0.00731352,0.00173448,0.00216436,0.00343861,
6,0.00963393,0.00508093,0.00766181,0.0049952,0.00510591,0.00348931,0.0023483,0.00309701,0.00598494,0.00626929,0.00418452,0.00729855,0.00375058,0.00814412,0.00726583,0.00797237,0.00942869,0.00964255,0.00207772,0.00225134,0.002309,0.00200675,0.00866481,0.00916493,0.00731617,0.00173628,0.00216677,0.00344151,
7,0.00963429,0.0050845,0.00766351,0.00499699,0.00510888,0.00349224,0.00235138,0.00310079,0.00598663,0.00627279,0.00418929,0.00730209,0.00375417,0.00814602,0.0072681,0.00797416,0.00942914,0.00964284,0.00208024,0.00225409,0.00231176,0.00200938,0.00866592,0.00916597,0.00731882,0.00173808,0.00216919,0.00344442,
8,0.00963466,0.00508807,0.0076652,0.00499878,0.00511184,0.00349518,0.00235446,0.00310457,0.00598832,0.00627628,0.00419406,0.00730562,0.00375777,0.00814791,0.00727037,0.00797596,0.00942959,0.00964312,0.00208277,0.00225684,0.00231451,0.00201202,0.00866702,0.009167,0.00732146,0.00173988,0.0021716,0.00344733,
9,0.00963503,0.00509164,0.00766689,0.00500056,0.00511481,0.00349812,0.00235754,0.00310836,0.00599001,0.00627977,0.00419884,0.00730915,0.00376137,0.0081498,0.00727264,0.00797775,0.00943005,0.00964341,0.00208529,0.00225959,0.00231727,0.00201467,0.00866813,0.00916803,0.00732411,0.00174168,0.00217402,0.00345024,
10,0.0096354,0.00509521,0.00766858,0.00500235,0.00511777,0.00350106,0.00236062,0.00311214,0.0059917,0.00628326,0.00420362,0.00731268,0.00376497,0.00815169,0.0072749,0.00797955,0.0094305,0.00964369,0.00208782,0.00226234,0.00232003,0.00201731,0.00866923,0.00916905,0.00732675,0.00174349,0.00217645,0.00345316,
11,3.7657e-05,0.000223816,0.000229635,0.000250745,0.000302249,0.000292361,0.000214802,0.000210975,0.000403465,0.000175121,0.000184581,0.000111063,0.000230976,0.000152198,0.000222636,0.000178735,7.10088e-05,4.73674e-05,0.000235394,0.000229406,0.000233238,0.000198412,0.000139505,6.17782e-05,0.000175988,0.000182226,0.000229718,0.000291673,
