matrix(560, 1)
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 0.0454361 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 1 )
( 0.04564 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239554 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239554 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239554 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239554 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239554 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.0495691 )
( 0.517413 )
( 0.126096 )
( 0.239555 )
( 0.0493372 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311714 )
( 0.311001 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311003 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126098 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311002 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126097 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311002 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126097 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311002 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126097 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311002 )
( 0.311715 )
( 0.311002 )
( 0.109328 )
( 0.369757 )
( 0.256985 )
( 0.126097 )
( 0.540565 )
( 0.163454 )
( 0.0463405 )
( 0.311002 )
( 0.311715 )
