time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,2.37899e+12,1.31894e+12,2.21462e+12,1.53521e+12,1.30062e+12,8.90903e+11,5.17002e+11,6.49999e+11,1.42502e+12,1.45634e+12,8.62674e+11,1.65743e+12,7.86045e+11,2.06018e+12,2.13147e+12,2.14966e+12,2.36635e+12,2.37387e+12,5.363e+11,5.32087e+11,5.53499e+11,4.68561e+11,2.3013e+12,2.2048e+12,1.78751e+12,4.02831e+11,5.00478e+11,8.76803e+11,
1,2.38845e+12,1.37803e+12,2.28218e+12,1.61137e+12,1.37924e+12,9.67904e+11,5.66667e+11,6.96082e+11,1.52131e+12,1.49705e+12,9.02067e+11,1.68302e+12,8.35004e+11,2.09947e+12,2.19817e+12,2.19866e+12,2.38466e+12,2.38576e+12,6.00599e+11,5.8928e+11,6.122e+11,5.17458e+11,2.33864e+12,2.21998e+12,1.83153e+12,4.44892e+11,5.55976e+11,9.53471e+11,
2,2.38849e+12,1.3807e+12,2.28364e+12,1.61411e+12,1.3829e+12,9.72463e+11,5.69928e+11,6.98789e+11,1.52749e+12,1.49881e+12,9.0422e+11,1.6843e+12,8.37668e+11,2.10027e+12,2.19949e+12,2.1995e+12,2.38478e+12,2.38582e+12,6.05371e+11,5.93359e+11,6.16241e+11,5.20957e+11,2.33927e+12,2.22024e+12,1.83266e+12,4.48059e+11,5.59979e+11,9.5806e+11,
3,2.38849e+12,1.38175e+12,2.28376e+12,1.61441e+12,1.38364e+12,9.73407e+11,5.70859e+11,6.99847e+11,1.52815e+12,1.49987e+12,9.05462e+11,1.68528e+12,8.38608e+11,2.10065e+12,2.19973e+12,2.19973e+12,2.38478e+12,2.38583e+12,6.06339e+11,5.94312e+11,6.17172e+11,5.2186e+11,2.33931e+12,2.22042e+12,1.83315e+12,4.48671e+11,5.60823e+11,9.59004e+11,
4,2.38849e+12,1.38276e+12,2.28385e+12,1.61463e+12,1.38426e+12,9.74201e+11,5.7171e+11,7.0086e+11,1.52848e+12,1.50091e+12,9.06689e+11,1.68625e+12,8.39494e+11,2.10102e+12,2.19995e+12,2.19995e+12,2.38479e+12,2.38583e+12,6.07136e+11,5.9513e+11,6.17974e+11,5.22654e+11,2.33933e+12,2.2206e+12,1.83364e+12,4.49153e+11,5.61518e+11,9.59796e+11,
5,2.38849e+12,1.38377e+12,2.28393e+12,1.61484e+12,1.38488e+12,9.74989e+11,5.72559e+11,7.01873e+11,1.52878e+12,1.50195e+12,9.07916e+11,1.68723e+12,8.40378e+11,2.10139e+12,2.20017e+12,2.20017e+12,2.38479e+12,2.38584e+12,6.07926e+11,5.95943e+11,6.18773e+11,5.23445e+11,2.33934e+12,2.22078e+12,1.83412e+12,4.4963e+11,5.62208e+11,9.60581e+11,
6,2.38849e+12,1.38478e+12,2.28401e+12,1.61505e+12,1.3855e+12,9.75777e+11,5.73409e+11,7.02886e+11,1.52909e+12,1.503e+12,9.09144e+11,1.6882e+12,8.41263e+11,2.10177e+12,2.20039e+12,2.20039e+12,2.3848e+12,2.38585e+12,6.08716e+11,5.96758e+11,6.19572e+11,5.24236e+11,2.33936e+12,2.22096e+12,1.8346e+12,4.50107e+11,5.62898e+11,9.61367e+11,
7,2.38849e+12,1.38579e+12,2.2841e+12,1.61526e+12,1.38612e+12,9.76566e+11,5.7426e+11,7.03901e+11,1.52939e+12,1.50404e+12,9.10372e+11,1.68918e+12,8.42149e+11,2.10214e+12,2.20061e+12,2.20062e+12,2.38481e+12,2.38586e+12,6.09508e+11,5.97573e+11,6.20372e+11,5.25028e+11,2.33938e+12,2.22114e+12,1.83509e+12,4.50584e+11,5.63589e+11,9.62153e+11,
8,2.38849e+12,1.3868e+12,2.28418e+12,1.61548e+12,1.38674e+12,9.77355e+11,5.75112e+11,7.04917e+11,1.5297e+12,1.50508e+12,9.11601e+11,1.69015e+12,8.43035e+11,2.10251e+12,2.20083e+12,2.20084e+12,2.38481e+12,2.38587e+12,6.103e+11,5.98389e+11,6.21173e+11,5.25821e+11,2.3394e+12,2.22132e+12,1.83557e+12,4.51062e+11,5.6428e+11,9.62939e+11,
9,2.38849e+12,1.38781e+12,2.28426e+12,1.61569e+12,1.38736e+12,9.78144e+11,5.75964e+11,7.05933e+11,1.53e+12,1.50613e+12,9.12832e+11,1.69113e+12,8.43923e+11,2.10288e+12,2.20105e+12,2.20106e+12,2.38482e+12,2.38587e+12,6.11092e+11,5.99205e+11,6.21974e+11,5.26615e+11,2.33941e+12,2.22149e+12,1.83605e+12,4.51541e+11,5.64972e+11,9.63726e+11,
10,2.38849e+12,1.38881e+12,2.28434e+12,1.6159e+12,1.38798e+12,9.78934e+11,5.76818e+11,7.06951e+11,1.5303e+12,1.50717e+12,9.14062e+11,1.6921e+12,8.4481e+11,2.10326e+12,2.20127e+12,2.20128e+12,2.38482e+12,2.38588e+12,6.11886e+11,6.00023e+11,6.22777e+11,5.2741e+11,2.33943e+12,2.22167e+12,1.83654e+12,4.52021e+11,5.65665e+11,9.64513e+11,
11,9.4975e+09,6.04329e+10,6.8947e+10,7.88428e+10,8.16478e+10,8.09741e+10,5.22266e+10,4.76446e+10,1.02604e+11,4.08528e+10,3.97747e+10,2.51753e+10,5.06032e+10,3.94445e+10,6.76976e+10,4.94917e+10,1.8418e+10,1.19322e+10,6.87326e+10,6.07695e+10,6.22419e+10,5.18601e+10,3.79785e+10,1.51013e+10,4.43475e+10,4.51171e+10,5.91699e+10,8.06883e+10,
12,3.78473e+07,1.72976e+09,1.41858e+09,2.63753e+09,3.19327e+09,3.97913e+09,2.54596e+09,1.77774e+09,6.28203e+09,7.36736e+08,9.62731e+08,3.09363e+08,1.8679e+09,4.30814e+08,1.12333e+09,6.25588e+08,1.05699e+08,4.68255e+07,4.23912e+09,3.47185e+09,3.4383e+09,2.88277e+09,6.37329e+08,8.44922e+07,6.6145e+08,2.88539e+09,3.53397e+09,4.01688e+09,
13,713059,4.87487e+07,3.9934e+07,9.59633e+07,1.25596e+08,1.65408e+08,8.77537e+07,4.82596e+07,3.8152e+08,1.12294e+07,1.70918e+07,3.22293e+06,6.01764e+07,3.60912e+06,1.33565e+07,5.91853e+06,506061,160288,1.91006e+08,1.49074e+08,1.4153e+08,1.21344e+08,2.4706e+07,409112,9.94682e+06,1.46874e+08,1.65356e+08,1.69293e+08,
14,39502.8,1.79566e+06,1.88739e+06,4.21685e+06,5.8955e+06,7.17556e+06,2.44115e+06,1.08414e+06,2.31774e+07,158351,251319,29840.4,2.13582e+06,25992.3,128192,47119.6,2239.57,544.865,7.40685e+06,5.66166e+06,5.21667e+06,4.55079e+06,1.41734e+06,1807.51,267285,6.78797e+06,7.31906e+06,7.42959e+06,
15,2400.99,89232.4,109263,209395,321341,356236,61570.4,22670.2,1.40912e+06,2278.05,3386.64,253.618,94817.4,172.548,1061.76,336.503,10.0207,2.17525,286725,219755,203598,174438,86011.3,7.52844,12875.3,318357,347304,371244,
16,146.354,5128.49,6582.02,11255.6,18804.2,19780.7,1663.93,533.688,85705.5,42.0463,51.362,2.02337,5056.45,1.11765,7.93389,2.25172,0.0485388,0.0118165,12532.4,9741.39,9367.9,7589.64,5241.91,0.0301715,747.244,16180.6,18343.2,20660.6,
17,8.91359,307.946,399.366,640.665,1129.49,1162.98,58.6888,17.8773,5213.77,1.33878,1.30558,0.0153942,294.308,0.00747738,0.0553956,0.0146824,0.000263889,8.75361e-05,638.872,502.322,501.542,383.679,319.275,0.000117892,44.9934,893.992,1047.27,1215.25,
18,0.542563,18.6859,24.2752,37.7879,68.438,69.9391,2.79667,0.856519,317.196,0.0663092,0.0592932,0.000113025,17.6688,5.59404e-05,0.000374369,9.79576e-05,1.64975e-06,8.71072e-07,36.1274,28.5539,29.1275,21.5125,19.435,4.53538e-07,2.72998,52.1145,62.1716,73.0802,
19,0.0330164,1.13636,1.47644,2.26971,4.15846,4.2392,0.157219,0.0486476,19.2983,0.00384561,0.00338967,8.108e-07,1.07089,5.88526e-07,2.59533e-06,7.47427e-07,1.32014e-08,1.52294e-08,2.14258,1.69627,1.74614,1.26901,1.1827,1.76134e-09,0.165963,3.11807,3.74992,4.42926,
20,0.0020089,0.0691353,0.0898187,0.137419,0.252904,0.257612,0.00936163,0.00290939,1.17412,0.000231567,0.000203838,5.91824e-09,0.0650843,1.39478e-08,2.26624e-08,9.58993e-09,2.05459e-10,5.7452e-10,0.129309,0.102418,0.105774,0.0763929,0.0719628,8.97577e-12,0.010095,0.188562,0.227486,0.26915,
