time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,3.99972e+08,0,0,0,3.0164e+08,6.60184e+07,8.29988e+07,9.07016e+07,4.87776e+08,2.72459e+08,5.2347e+08,1.547e+08,3.76088e+08,0,0,0,0,0,8.42708e+07,0,1.02209e+08,0,3.49171e+08,2.83082e+08,1.36336e+08,1.69384e+08,2.9675e+08,
2,0,8.17278e+08,0,0,0,6.29029e+08,1.38364e+08,1.71859e+08,1.87503e+08,9.88358e+08,5.5711e+08,1.0541e+09,3.18952e+08,7.58894e+08,0,0,0,0,0,1.77575e+08,0,2.15046e+08,0,7.00357e+08,5.72875e+08,2.86825e+08,3.57449e+08,6.19135e+08,
3,0,1.23478e+09,0,0,0,9.57608e+08,2.11109e+08,2.61039e+08,2.84667e+08,1.48868e+09,8.42181e+08,1.58421e+09,4.8364e+08,1.14138e+09,0,0,0,0,0,2.71497e+08,0,3.28604e+08,0,1.0512e+09,8.62581e+08,4.38296e+08,5.46755e+08,9.42731e+08,
4,0,1.652e+09,0,0,0,1.28615e+09,2.83956e+08,3.50329e+08,3.81842e+08,1.9885e+09,1.12738e+09,2.1137e+09,6.48423e+08,1.52348e+09,0,0,0,0,0,3.65542e+08,0,4.42318e+08,0,1.40167e+09,1.1521e+09,5.89884e+08,7.36232e+08,1.2663e+09,
5,0,2.06891e+09,0,0,0,1.61461e+09,3.56895e+08,4.39723e+08,4.79006e+08,2.48783e+09,1.41271e+09,2.64256e+09,8.13292e+08,1.90518e+09,0,0,0,0,0,4.59689e+08,0,5.56163e+08,0,1.75179e+09,1.44143e+09,7.41544e+08,9.25829e+08,1.5898e+09,
6,0,2.48553e+09,0,0,0,1.94299e+09,4.29925e+08,5.29221e+08,5.76159e+08,2.98665e+09,1.69816e+09,3.17081e+09,9.78245e+08,2.28648e+09,0,0,0,0,0,5.53936e+08,0,6.70138e+08,0,2.10155e+09,1.73057e+09,8.93274e+08,1.11554e+09,1.91322e+09,
7,0,2.90183e+09,0,0,0,2.27127e+09,5.03047e+08,6.18822e+08,6.733e+08,3.48497e+09,1.98374e+09,3.69843e+09,1.14328e+09,2.6674e+09,0,0,0,0,0,6.48284e+08,0,7.84243e+08,0,2.45095e+09,2.01951e+09,1.04508e+09,1.30538e+09,2.23656e+09,
8,0,3.31784e+09,0,0,0,2.59947e+09,5.76261e+08,7.08528e+08,7.70429e+08,3.98279e+09,2.26944e+09,4.22544e+09,1.3084e+09,3.04792e+09,0,0,0,0,0,7.42733e+08,0,8.98478e+08,0,2.79999e+09,2.30827e+09,1.19695e+09,1.49533e+09,2.55982e+09,
9,0,3.73353e+09,0,0,0,2.92758e+09,6.49566e+08,7.98337e+08,8.67547e+08,4.48011e+09,2.55526e+09,4.75183e+09,1.47361e+09,3.42804e+09,0,0,0,0,0,8.37282e+08,0,1.01284e+09,0,3.14867e+09,2.59684e+09,1.34889e+09,1.6854e+09,2.88301e+09,
10,0,4.14893e+09,0,0,0,3.2556e+09,7.22963e+08,8.8825e+08,9.64653e+08,4.97693e+09,2.8412e+09,5.27759e+09,1.6389e+09,3.80778e+09,0,0,0,0,0,9.31932e+08,0,1.12734e+09,0,3.49699e+09,2.88522e+09,1.5009e+09,1.87558e+09,3.20611e+09,
