time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,1.78422e+12,2.11973e+11,3.62019e+11,1.0599e+11,2.28923e+11,6.70319e+10,4.14929e+10,1.40432e+11,6.7959e+11,7.07709e+11,3.73625e+11,1.2698e+12,2.63355e+11,8.99701e+11,2.76494e+11,5.91148e+11,1.53697e+12,1.80785e+12,1.20015e+10,2.66451e+10,2.53557e+10,2.10079e+10,8.6358e+11,1.75566e+12,7.92373e+11,2.36681e+10,2.68737e+10,6.51195e+10,
1,1.79385e+12,2.21374e+11,3.74554e+11,1.11338e+11,2.42859e+11,7.28628e+10,4.53167e+10,1.4969e+11,7.25825e+11,7.27549e+11,3.90179e+11,1.28736e+12,2.79998e+11,9.1827e+11,2.86168e+11,6.06349e+11,1.5496e+12,1.81808e+12,1.33912e+10,2.93068e+10,2.79844e+10,2.30449e+10,8.80852e+11,1.76789e+12,8.11902e+11,2.57101e+10,2.98354e+10,7.08421e+10,
2,1.79738e+12,2.23093e+11,3.77297e+11,1.12274e+11,2.44401e+11,7.34721e+10,4.56796e+10,1.50587e+11,7.31325e+11,7.30287e+11,3.91831e+11,1.28948e+12,2.81648e+11,9.21642e+11,2.88091e+11,6.09483e+11,1.55281e+12,1.82062e+12,1.35336e+10,2.96172e+10,2.82464e+10,2.33026e+10,8.85608e+11,1.76996e+12,8.1462e+11,2.59714e+10,3.01447e+10,7.14411e+10,
3,1.80089e+12,2.24632e+11,3.79873e+11,1.13097e+11,2.45452e+11,7.3823e+10,4.5882e+10,1.51201e+11,7.3436e+11,7.32747e+11,3.9315e+11,1.29143e+12,2.82751e+11,9.24867e+11,2.89905e+11,6.12487e+11,1.55596e+12,1.82313e+12,1.36008e+10,2.98049e+10,2.83799e+10,2.34734e+10,8.90188e+11,1.77197e+12,8.17119e+11,2.61312e+10,3.02943e+10,7.17835e+10,
4,1.80438e+12,2.26174e+11,3.82458e+11,1.13923e+11,2.46486e+11,7.41639e+10,4.608e+10,1.51811e+11,7.37247e+11,7.35206e+11,3.94467e+11,1.29339e+12,2.8384e+11,9.28094e+11,2.91729e+11,6.155e+11,1.55912e+12,1.82564e+12,1.36649e+10,2.99887e+10,2.85085e+10,2.3642e+10,8.9477e+11,1.77398e+12,8.19618e+11,2.62868e+10,3.04368e+10,7.21158e+10,
5,1.80786e+12,2.27725e+11,3.85057e+11,1.14753e+11,2.47522e+11,7.45059e+10,4.62786e+10,1.52423e+11,7.40124e+11,7.37668e+11,3.95787e+11,1.29534e+12,2.8493e+11,9.31325e+11,2.93563e+11,6.18523e+11,1.56227e+12,1.82813e+12,1.37292e+10,3.01735e+10,2.86375e+10,2.38115e+10,8.99362e+11,1.77599e+12,8.22121e+11,2.6443e+10,3.05797e+10,7.24491e+10,
6,1.81133e+12,2.29283e+11,3.87669e+11,1.15589e+11,2.48562e+11,7.48492e+10,4.6478e+10,1.53036e+11,7.43001e+11,7.40132e+11,3.97112e+11,1.29729e+12,2.86024e+11,9.3456e+11,2.95407e+11,6.21556e+11,1.56542e+12,1.83062e+12,1.37938e+10,3.03592e+10,2.87671e+10,2.39821e+10,9.03963e+11,1.77799e+12,8.24629e+11,2.65999e+10,3.07231e+10,7.27838e+10,
7,1.81479e+12,2.3085e+11,3.90294e+11,1.1643e+11,2.49606e+11,7.51941e+10,4.66781e+10,1.53652e+11,7.45878e+11,7.42598e+11,3.9844e+11,1.29925e+12,2.87121e+11,9.37798e+11,2.97263e+11,6.246e+11,1.56856e+12,1.83311e+12,1.38587e+10,3.0546e+10,2.88972e+10,2.41538e+10,9.08574e+11,1.77999e+12,8.2714e+11,2.67578e+10,3.08672e+10,7.31199e+10,
8,1.81824e+12,2.32426e+11,3.92934e+11,1.17276e+11,2.50653e+11,7.55404e+10,4.68791e+10,1.54269e+11,7.48755e+11,7.45068e+11,3.99772e+11,1.3012e+12,2.88222e+11,9.4104e+11,2.99129e+11,6.27653e+11,1.5717e+12,1.83558e+12,1.39239e+10,3.07339e+10,2.90278e+10,2.43266e+10,9.13193e+11,1.78198e+12,8.29655e+11,2.69165e+10,3.10119e+10,7.34575e+10,
9,1.82168e+12,2.34009e+11,3.95586e+11,1.18128e+11,2.51704e+11,7.58882e+10,4.70808e+10,1.54889e+11,7.51632e+11,7.47539e+11,4.01108e+11,1.30316e+12,2.89325e+11,9.44285e+11,3.01007e+11,6.30717e+11,1.57484e+12,1.83806e+12,1.39893e+10,3.09228e+10,2.9159e+10,2.45004e+10,9.17821e+11,1.78398e+12,8.32175e+11,2.7076e+10,3.11573e+10,7.37966e+10,
