time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2.12841e+09,1.3294e+08,2.88162e+08,1.1743e+08,1.76248e+08,3.70396e+07,2.93503e+07,9.93361e+07,4.32555e+07,3.37559e+08,2.28323e+08,7.75989e+08,5.84601e+07,6.24942e+08,3.80017e+08,8.12468e+08,1.44627e+09,1.61184e+09,1.08634e+07,4.63203e+06,2.49329e+07,1.43385e+07,1.01396e+09,1.23064e+09,5.55424e+08,1.30981e+07,1.48721e+07,3.60378e+07,
2,4.25354e+09,2.71693e+08,5.86012e+08,2.40738e+08,3.63107e+08,7.7296e+07,6.14023e+07,2.05182e+08,8.94467e+07,6.8416e+08,4.6658e+08,1.56047e+09,1.20603e+08,1.26148e+09,7.72829e+08,1.64363e+09,2.89729e+09,3.22435e+09,2.29842e+07,9.72671e+06,5.24485e+07,3.00664e+07,2.04472e+09,2.4649e+09,1.12346e+09,2.7325e+07,3.13824e+07,7.52376e+07,
3,6.36809e+09,4.1144e+08,8.85743e+08,3.6503e+08,5.51028e+08,1.17884e+08,9.37077e+07,3.11619e+08,1.3598e+08,1.03163e+09,7.05656e+08,2.344e+09,1.83099e+08,1.89902e+09,1.16776e+09,2.47681e+09,4.34416e+09,4.83066e+09,3.52335e+07,1.48752e+07,8.02192e+07,4.59692e+07,3.0775e+09,3.69562e+09,1.69231e+09,4.16952e+07,4.8063e+07,1.14764e+08,
4,8.47206e+09,5.52063e+08,1.18722e+09,4.90183e+08,7.3963e+08,1.58659e+08,1.26153e+08,4.18449e+08,1.827e+08,1.37984e+09,9.45345e+08,3.12647e+09,2.45828e+08,2.53745e+09,1.56465e+09,3.31183e+09,5.78683e+09,6.43075e+09,4.7543e+07,2.00563e+07,1.08119e+08,6.19875e+07,4.11205e+09,4.92277e+09,2.26179e+09,5.61525e+07,6.48254e+07,1.54474e+08,
5,1.05655e+10,6.93565e+08,1.49044e+09,6.16196e+08,9.289e+08,1.99618e+08,1.58734e+08,5.25666e+08,2.29595e+08,1.72878e+09,1.18564e+09,3.90788e+09,3.08785e+08,3.17676e+09,1.9635e+09,4.14866e+09,7.2253e+09,8.02462e+09,5.99101e+07,2.52693e+07,1.36142e+08,7.81199e+07,5.14834e+09,6.14636e+09,2.83191e+09,7.06944e+07,8.16658e+07,1.94362e+08,
6,1.26483e+10,8.35948e+08,1.7954e+09,7.43076e+08,1.11884e+09,2.40759e+08,1.91453e+08,6.33272e+08,2.76665e+08,2.07844e+09,1.42655e+09,4.68823e+09,3.71972e+08,3.81695e+09,2.36433e+09,4.98728e+09,8.65957e+09,9.61229e+09,7.23349e+07,3.05143e+07,1.6429e+08,9.43669e+07,6.18632e+09,7.36639e+09,3.40265e+09,8.53214e+07,9.85843e+07,2.34429e+08,
7,1.47206e+10,9.79215e+08,2.10212e+09,8.70825e+08,1.30944e+09,2.82084e+08,2.24309e+08,7.41268e+08,3.23911e+08,2.42884e+09,1.66807e+09,5.46751e+09,4.35388e+08,4.45801e+09,2.76712e+09,5.82769e+09,1.00896e+10,1.11938e+10,8.48176e+07,3.57914e+07,1.92562e+08,1.10729e+08,7.22598e+09,8.58286e+09,3.97403e+09,1.00034e+08,1.15581e+08,2.74676e+08,
8,1.67824e+10,1.12337e+09,2.4106e+09,9.99449e+08,1.50072e+09,3.23594e+08,2.57303e+08,8.49654e+08,3.71332e+08,2.77996e+09,1.91021e+09,6.24574e+09,4.99035e+08,5.09992e+09,3.1719e+09,6.66988e+09,1.15155e+10,1.2769e+10,9.73584e+07,4.1101e+07,2.2096e+08,1.27208e+08,8.26729e+09,9.79577e+09,4.54602e+09,1.14832e+08,1.32657e+08,3.15103e+08,
9,1.88337e+10,1.26842e+09,2.72084e+09,1.12895e+09,1.69267e+09,3.65289e+08,2.90435e+08,9.58432e+08,4.18928e+08,3.13179e+09,2.15295e+09,7.02289e+09,5.62912e+08,5.74269e+09,3.57866e+09,7.51382e+09,1.29371e+10,1.43382e+10,1.09958e+08,4.64431e+07,2.49483e+08,1.43803e+08,9.3102e+09,1.10051e+10,5.11863e+09,1.29717e+08,1.49812e+08,3.55711e+08,
10,2.08745e+10,1.41436e+09,3.03285e+09,1.25934e+09,1.88529e+09,4.0717e+08,3.23707e+08,1.0676e+09,4.66698e+08,3.48435e+09,2.39631e+09,7.79899e+09,6.2702e+08,6.38629e+09,3.98742e+09,8.35951e+09,1.43545e+10,1.59011e+10,1.22616e+08,5.18179e+07,2.78133e+08,1.60516e+08,1.03547e+10,1.2211e+10,5.69184e+09,1.44688e+08,1.67046e+08,3.96501e+08,
11,2.29048e+10,1.5612e+09,3.34663e+09,1.39062e+09,2.07858e+09,4.49238e+08,3.57117e+08,1.17717e+09,5.14644e+08,3.83763e+09,2.64028e+09,8.57402e+09,6.9136e+08,7.03073e+09,4.39816e+09,9.20693e+09,1.57677e+10,1.74579e+10,1.35333e+08,5.72257e+07,3.0691e+08,1.77347e+08,1.14008e+10,1.34132e+10,6.26567e+09,1.59747e+08,1.8436e+08,4.37474e+08,
12,2.29118e+10,1.56666e+09,3.3553e+09,1.3962e+09,2.08939e+09,4.526e+08,3.59939e+08,1.18378e+09,5.17709e+08,3.84631e+09,2.65012e+09,8.5837e+09,6.95102e+08,7.04173e+09,4.40984e+09,9.22443e+09,1.57766e+10,1.74646e+10,1.36677e+08,5.77116e+07,3.09643e+08,1.78799e+08,1.14163e+10,1.34203e+10,6.27801e+09,1.60923e+08,1.86109e+08,4.40782e+08,
