time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1.25622e-05,2.43077e-07,6.20068e-07,1.63778e-07,4.36893e-07,4.67986e-08,3.50976e-08,2.17955e-07,1.15353e-07,1.19245e-06,6.91714e-07,3.79032e-06,1.4391e-07,2.40816e-06,7.57463e-07,2.7484e-06,7.79108e-06,9.27464e-06,7.02731e-09,3.65076e-09,2.43311e-08,1.10725e-08,3.84042e-06,6.74339e-06,2.16843e-06,1.4114e-08,1.35527e-08,4.51233e-08,
2,2.50904e-05,4.97379e-07,1.26424e-06,3.36352e-07,9.00573e-07,9.76738e-08,7.33497e-08,4.49708e-07,2.38908e-07,2.41784e-06,1.41311e-06,7.61524e-06,2.9689e-07,4.86654e-06,1.54303e-06,5.56929e-06,1.56011e-05,1.85428e-05,1.48534e-08,7.66111e-09,5.11513e-08,2.32099e-08,7.76328e-06,1.34998e-05,4.38758e-06,2.92846e-08,2.85895e-08,9.42117e-08,
3,3.75454e-05,7.55064e-07,1.91668e-06,5.11352e-07,1.3682e-06,1.49097e-07,1.11982e-07,6.83282e-07,3.63951e-07,3.65004e-06,2.13825e-06,1.14352e-05,4.51124e-07,7.33682e-06,2.33671e-06,8.4097e-06,2.33883e-05,2.77682e-05,2.27801e-08,1.17314e-08,7.82792e-08,3.55458e-08,1.1716e-05,2.02336e-05,6.61459e-06,4.46692e-08,4.38162e-08,1.43833e-07,
4,4.9927e-05,1.01599e-06,2.57721e-06,6.88656e-07,1.83886e-06,2.00894e-07,1.50873e-07,9.18309e-07,4.90082e-07,4.88866e-06,2.86659e-06,1.52498e-05,6.06337e-07,9.81864e-06,3.13826e-06,1.12691e-05,3.11524e-05,3.69509e-05,3.07669e-08,1.58475e-08,1.056e-07,4.80423e-08,1.56978e-05,2.69446e-05,8.84891e-06,6.02283e-08,5.91563e-08,1.93816e-07,
5,6.22352e-05,1.2802e-06,3.2459e-06,8.68288e-07,2.31252e-06,2.53061e-07,1.9002e-07,1.15479e-06,6.17282e-07,6.13371e-06,3.59815e-06,1.90591e-05,7.62523e-07,1.2312e-05,3.94778e-06,1.41475e-05,3.88933e-05,4.60907e-05,3.88125e-08,2.00091e-08,1.3311e-07,6.07001e-08,1.97086e-05,3.36328e-05,1.10905e-05,7.5962e-08,7.4607e-08,2.44156e-07,
6,7.44697e-05,1.54773e-06,3.92286e-06,1.05028e-06,2.7892e-06,3.05599e-07,2.29426e-07,1.39273e-06,7.45553e-07,7.38519e-06,4.33293e-06,2.2863e-05,9.19686e-07,1.48168e-05,4.76532e-06,1.70451e-05,4.66109e-05,5.51878e-05,4.69171e-08,2.42169e-08,1.6081e-07,7.35212e-08,2.37483e-05,4.02982e-05,1.33394e-05,9.18722e-08,9.01688e-08,2.94855e-07,
7,8.66306e-05,1.8186e-06,4.60815e-06,1.23465e-06,3.26892e-06,3.58511e-07,2.69091e-07,1.63213e-06,8.74899e-07,8.64311e-06,5.07095e-06,2.66616e-05,1.07783e-06,1.73331e-05,5.59098e-06,1.99617e-05,5.43052e-05,6.4242e-05,5.50812e-08,2.84714e-08,1.88702e-07,8.65076e-08,2.7817e-05,4.69408e-05,1.55956e-05,1.07961e-07,1.05842e-07,3.45916e-07,
8,9.87175e-05,2.09286e-06,5.30188e-06,1.42144e-06,3.75169e-06,4.118e-07,3.09018e-07,1.87301e-06,1.00532e-06,9.90746e-06,5.8122e-06,3.04549e-05,1.23697e-06,1.98608e-05,6.42484e-06,2.28975e-05,6.19761e-05,7.32535e-05,6.33053e-08,3.27731e-08,2.16786e-07,9.96613e-08,3.19146e-05,5.35606e-05,1.78591e-05,1.2423e-07,1.21629e-07,3.9734e-07,
9,0.000110731,2.37056e-06,6.00414e-06,1.61068e-06,4.23752e-06,4.65468e-07,3.49207e-07,2.11537e-06,1.13683e-06,1.11782e-05,6.55672e-06,3.42428e-05,1.39709e-06,2.24e-05,7.26696e-06,2.58526e-05,6.96236e-05,8.22221e-05,7.15897e-08,3.71224e-08,2.45065e-07,1.12984e-07,3.6041e-05,6.01576e-05,2.01298e-05,1.40682e-07,1.37528e-07,4.49131e-07,
