matrix(560, 1)
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 0.390065 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 1 )
( 0.391815 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
( 0.425546 )
( 0.758677 )
( 0.482878 )
( 0.562843 )
( 0.423555 )
