time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00569507,0.000140951,0.000253568,3.33902e-05,0.000210774,2.48897e-05,1.4212e-05,0.000129227,0.0013926,0.00142142,0.000613156,0.00407839,0.00033968,0.00175721,0.00014652,0.000715793,0.00456105,0.00601552,1.33763e-06,5.7966e-06,5.35751e-06,3.85352e-06,0.00136376,0.00603378,0.00159854,7.17374e-06,6.4605e-06,2.38777e-05,
1,0.00574714,0.000147812,0.000264297,3.52707e-05,0.000224065,2.70888e-05,1.54835e-05,0.000137385,0.00149555,0.00146448,0.000639687,0.00412963,0.000361567,0.00180047,0.000152297,0.00073777,0.00460799,0.0060618,1.48937e-06,6.3688e-06,5.90681e-06,4.22704e-06,0.00140197,0.00608049,0.00163986,7.70374e-06,7.17406e-06,2.60049e-05,
2,0.00578284,0.00015036,0.000268808,3.58966e-05,0.000226446,2.74249e-05,1.56578e-05,0.000138685,0.00151859,0.00147741,0.000643802,0.00414097,0.000365134,0.00181691,0.00015434,0.000746507,0.00463278,0.00608616,1.51089e-06,6.48356e-06,5.98306e-06,4.31022e-06,0.00142247,0.00609712,0.00165097,7.83555e-06,7.27586e-06,2.63294e-05,
3,0.00581849,0.000152855,0.000273284,3.65031e-05,0.000228386,2.76691e-05,1.57857e-05,0.000139784,0.00153697,0.00148999,0.000647475,0.00415196,0.000368058,0.00183321,0.000156357,0.000755199,0.00465754,0.00611044,1.525e-06,6.57792e-06,6.03469e-06,4.38173e-06,0.00144297,0.0061136,0.00166178,7.95054e-06,7.34155e-06,2.65644e-05,
4,0.00585413,0.000155388,0.00027783,3.71191e-05,0.00023032,2.79111e-05,1.59131e-05,0.000140887,0.0015552,0.00150263,0.000651161,0.00416296,0.00037098,0.00184961,0.000158401,0.000763987,0.00468235,0.0061347,1.53892e-06,6.67289e-06,6.08567e-06,4.45398e-06,0.00146371,0.00613008,0.00167264,8.06642e-06,7.40596e-06,2.6797e-05,
5,0.00588976,0.000157961,0.00028245,3.77455e-05,0.000232269,2.8155e-05,1.60414e-05,0.000141997,0.00157356,0.00151535,0.000654869,0.00417398,0.000373921,0.00186613,0.000160474,0.000772874,0.00470721,0.00615894,1.55295e-06,6.76927e-06,6.13703e-06,4.5274e-06,0.0014847,0.00614656,0.00168357,8.18405e-06,7.47084e-06,2.70314e-05,
6,0.00592536,0.000160577,0.000287145,3.83824e-05,0.000234234,2.84009e-05,1.61706e-05,0.000143115,0.00159205,0.00152814,0.000658597,0.00418501,0.000376883,0.00188275,0.000162575,0.00078186,0.00473212,0.00618317,1.56711e-06,6.8671e-06,6.1888e-06,4.60202e-06,0.00150593,0.00616303,0.00169455,8.30347e-06,7.53628e-06,2.72678e-05,
7,0.00596095,0.000163234,0.000291916,3.90299e-05,0.000236214,2.8649e-05,1.63008e-05,0.000144241,0.00161069,0.001541,0.000662347,0.00419607,0.000379866,0.00189949,0.000164706,0.000790946,0.00475709,0.00620738,1.5814e-06,6.96641e-06,6.24099e-06,4.67786e-06,0.00152741,0.00617949,0.00170559,8.42473e-06,7.60229e-06,2.75063e-05,
8,0.00599651,0.000165934,0.000296764,3.96884e-05,0.00023821,2.88992e-05,1.6432e-05,0.000145375,0.00162946,0.00155393,0.000666117,0.00420714,0.00038287,0.00191633,0.000166867,0.000800134,0.0047821,0.00623156,1.59583e-06,7.06722e-06,6.2936e-06,4.75493e-06,0.00154915,0.00619595,0.00171669,8.54785e-06,7.66887e-06,2.77468e-05,
9,0.00603204,0.000168677,0.000301691,4.03578e-05,0.000240223,2.91516e-05,1.65641e-05,0.000146517,0.00164837,0.00156694,0.000669909,0.00421823,0.000385895,0.00193328,0.000169057,0.000809424,0.00480717,0.00625572,1.61039e-06,7.16955e-06,6.34664e-06,4.83326e-06,0.00157114,0.0062124,0.00172786,8.67286e-06,7.73602e-06,2.79895e-05,
