matrix(560, 1)
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 0.790872 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 1 )
( 0.79128 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829842 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829841 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
( 0.983299 )
( 0.829841 )
( 0.874335 )
( 0.798674 )
( 0.799138 )
