time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1.42293e-05,1.42247e-07,3.9316e-07,7.61455e-08,3.148e-07,2.09695e-08,1.81683e-08,1.65203e-07,8.86385e-08,9.94058e-07,5.94801e-07,3.95635e-06,1.01467e-07,2.14024e-06,4.39935e-07,2.14917e-06,8.56441e-06,1.0612e-05,2.40122e-09,1.33991e-09,1.05918e-08,4.5142e-09,3.34051e-06,7.5181e-06,1.9918e-06,6.05608e-09,5.45396e-09,2.01577e-08,
2,2.84158e-05,2.91388e-07,8.02806e-07,1.56574e-07,6.49337e-07,4.37913e-08,3.79618e-08,3.40801e-07,1.83822e-07,2.01726e-06,1.21502e-06,7.94622e-06,2.09463e-07,4.32921e-06,8.97021e-07,4.3602e-06,1.71464e-05,2.12117e-05,5.07483e-09,2.81208e-09,2.22694e-08,9.46594e-09,6.76415e-06,1.50473e-05,4.03136e-06,1.25595e-08,1.15103e-08,4.21107e-08,
3,4.25177e-05,4.43068e-07,1.21929e-06,2.38423e-07,9.87307e-07,6.68958e-08,5.79777e-08,5.18025e-07,2.80463e-07,3.04849e-06,1.8389e-06,1.19308e-05,3.18516e-07,6.5341e-06,1.36003e-06,6.59312e-06,2.57039e-05,3.17601e-05,7.78706e-09,4.31077e-09,3.40977e-08,1.45151e-08,1.0227e-05,2.255e-05,6.08091e-06,1.9174e-08,1.76525e-08,6.43374e-08,
4,5.65347e-05,5.97232e-07,1.64255e-06,3.2165e-07,1.32805e-06,9.02056e-08,7.81568e-08,6.96617e-07,3.78266e-07,4.08749e-06,2.466e-06,1.59096e-05,4.28432e-07,8.75463e-06,1.82888e-06,8.84765e-06,3.42367e-05,4.2257e-05,1.05246e-08,5.83128e-09,4.60279e-08,1.9648e-08,1.37286e-05,3.00259e-05,8.14e-06,2.58855e-08,2.38502e-08,8.67618e-08,
5,7.04665e-05,7.53917e-07,2.07268e-06,4.06274e-07,1.67155e-06,1.13719e-07,9.84983e-08,8.76581e-07,4.7722e-07,5.13426e-06,3.09633e-06,1.98828e-05,5.39212e-07,1.09908e-05,2.30365e-06,1.11239e-05,4.27447e-05,5.27023e-05,1.32872e-08,7.37374e-09,5.80588e-08,2.48655e-08,1.72692e-05,3.74751e-05,1.02086e-05,3.26948e-08,3.01022e-08,1.09382e-07,
6,8.43127e-05,9.13162e-07,2.50979e-06,4.9232e-07,2.01783e-06,1.37437e-07,1.19004e-07,1.05793e-06,5.77334e-07,6.18884e-06,3.7299e-06,2.38503e-05,6.5086e-07,1.32427e-05,2.78441e-06,1.34221e-05,5.12278e-05,6.30959e-05,1.60749e-08,8.93847e-09,7.01911e-08,3.01689e-08,2.08489e-05,4.48976e-05,1.22868e-05,3.96031e-08,3.64089e-08,1.322e-07,
7,9.8073e-05,1.07501e-06,2.95398e-06,5.7981e-07,2.36691e-06,1.61362e-07,1.39674e-07,1.24066e-06,6.78615e-07,7.25125e-06,4.36673e-06,2.78121e-05,7.63383e-07,1.55104e-05,3.27124e-06,1.57424e-05,5.9686e-05,7.34379e-05,1.8888e-08,1.05258e-08,8.24256e-08,3.55597e-08,2.44678e-05,5.22933e-05,1.43746e-05,4.66122e-08,4.27709e-08,1.55217e-07,
8,0.000111747,1.23949e-06,3.40538e-06,6.6877e-07,2.7188e-06,1.85495e-07,1.6051e-07,1.42479e-06,7.81073e-07,8.32152e-06,5.00684e-06,3.17682e-05,8.76786e-07,1.77938e-05,3.76421e-06,1.80849e-05,6.81191e-05,8.37282e-05,2.17267e-08,1.21361e-08,9.47632e-08,4.10394e-08,2.81262e-05,5.96622e-05,1.64719e-05,5.37234e-08,4.91885e-08,1.78435e-07,
9,0.000125335,1.40666e-06,3.86408e-06,7.59223e-07,3.07354e-06,2.09838e-07,1.81513e-07,1.61033e-06,8.84715e-07,9.39967e-06,5.65024e-06,3.57187e-05,9.91076e-07,2.0093e-05,4.26342e-06,2.04497e-05,7.65271e-05,9.39666e-05,2.45914e-08,1.37697e-08,1.07205e-07,4.66093e-08,3.18241e-05,6.70044e-05,1.85788e-05,6.09385e-08,5.56623e-08,2.01855e-07,
