matrix(560, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371675 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371675 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371675 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371675 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371675 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916497 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916496 )
( 0.149208 )
( 0.371676 )
( 0 )
( 0 )
( 0.916496 )
( 0.149207 )
( 0.371676 )
( 0 )
( 0 )
( 0.916496 )
( 0.149207 )
( 0.371676 )
( 0 )
( 0 )
( 0.916496 )
( 0.149207 )
( 0.371676 )
( 0 )
( 0.513165 )
( 0.511767 )
( 0.116329 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513165 )
( 0.511767 )
( 0.116329 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511767 )
( 0.116329 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.116329 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.116329 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.116329 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.11633 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.11633 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.11633 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.11633 )
( 0.626975 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.11633 )
( 0.626974 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
( 0.51177 )
( 0.513166 )
( 0.511768 )
( 0.11633 )
( 0.626974 )
( 0.405853 )
( 0.149211 )
( 0.961892 )
( 0.222458 )
( 0 )
