time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,20367.7,10270.6,15757.9,10052.6,10164.8,6755.99,4497.28,6085.52,11831.5,12896.4,8436.47,15215.7,7432.14,16943.4,14925.3,16523.8,19860.2,20366.6,3886.24,4264.56,4378.74,3812.04,18085.3,19312.6,15126.3,3281.72,4088.08,6656.37,
1,20448.1,10735.1,16237.6,10566.8,10783,7346,4930.78,6518.23,12635.5,13265.5,8823.5,15454,7906.01,17265.9,15393.1,16901.1,20011,20467.3,4353.73,4722.94,4845.65,4209.27,18378.3,19445,15498.2,3641.96,4545.35,7244.5,
2,20449.2,10755.9,16251,10588.7,10813.4,7381.44,4958.51,6542.33,12688.2,13279.6,8842.87,15464.4,7931.21,17273.4,15405.6,16909.6,20012.8,20468.3,4388.16,4755.04,4877.45,4236.92,18385.4,19447.9,15509.3,3669.5,4578.12,7280.19,
3,20450,10763.8,16254.8,10593.2,10820.7,7388.88,4965.75,6550.77,12694.8,13287.1,8853.15,15471.9,7939.39,17277.5,15410.5,16913.5,20013.7,20468.9,4394.82,4761.98,4884.35,4243.43,18387.9,19450.1,15515,3674.54,4584.53,7287.6,
4,20450.8,10771.4,16258.5,10597,10827,7395.16,4972.29,6558.78,12698.6,13294.6,8863.28,15479.5,7947.03,17281.5,15415.3,16917.3,20014.7,20469.5,4400.21,4767.84,4890.22,4249.04,18390.3,19452.3,15520.6,3678.4,4589.71,7293.83,
5,20451.6,10779,16262.1,10600.8,10833.3,7401.4,4978.81,6566.79,12702.2,13302,8873.4,15487,7954.66,17285.6,15420.2,16921.1,20015.7,20470.1,4405.55,4773.66,4896.06,4254.63,18392.6,19454.5,15526.3,3682.22,4594.83,7300,
6,20452.4,10786.6,16265.7,10604.6,10839.6,7407.63,4985.33,6574.81,12705.7,13309.4,8883.53,15494.5,7962.29,17289.6,15425,16924.9,20016.6,20470.7,4410.9,4779.49,4901.9,4260.23,18395,19456.7,15531.9,3686.03,4599.95,7306.17,
7,20453.1,10794.1,16269.3,10608.4,10845.9,7413.86,4991.86,6582.83,12709.3,13316.8,8893.66,15502,7969.93,17293.6,15429.8,16928.8,20017.6,20471.3,4416.25,4785.32,4907.75,4265.83,18397.3,19458.9,15537.5,3689.85,4605.08,7312.34,
8,20453.9,10801.7,16272.8,10612.2,10852.2,7420.1,4998.4,6590.86,12712.9,13324.2,8903.79,15509.5,7977.57,17297.6,15434.6,16932.6,20018.6,20471.9,4421.61,4791.15,4913.6,4271.43,18399.7,19461.1,15543.1,3693.68,4610.21,7318.52,
9,20454.7,10809.3,16276.4,10616,10858.5,7426.34,5004.94,6598.89,12716.5,13331.7,8913.93,15517,7985.21,17301.6,15439.5,16936.4,20019.5,20472.5,4426.97,4797,4919.45,4277.04,18402,19463.3,15548.7,3697.51,4615.35,7324.7,
10,20455.5,10816.9,16280,10619.8,10864.8,7432.59,5011.49,6606.93,12720.1,13339.1,8924.08,15524.5,7992.86,17305.6,15444.3,16940.2,20020.5,20473.1,4432.34,4802.84,4925.32,4282.66,18404.4,19465.5,15554.3,3701.34,4620.49,7330.89,
