time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,8.52207e-11,4.29734e-11,6.59328e-11,4.20612e-11,4.25307e-11,2.82677e-11,1.88171e-11,2.54624e-11,4.95041e-11,5.39598e-11,3.5299e-11,6.36638e-11,3.10968e-11,7.08927e-11,6.24489e-11,6.91371e-11,8.30972e-11,8.52157e-11,1.62604e-11,1.78434e-11,1.83211e-11,1.59499e-11,7.56706e-11,8.0806e-11,6.32899e-11,1.37311e-11,1.71049e-11,2.78509e-11,
1,8.55569e-11,4.49169e-11,6.79399e-11,4.42125e-11,4.51173e-11,3.07364e-11,2.06309e-11,2.72729e-11,5.28682e-11,5.5504e-11,3.69184e-11,6.4661e-11,3.30795e-11,7.22424e-11,6.44062e-11,7.07158e-11,8.37279e-11,8.56371e-11,1.82164e-11,1.97613e-11,2.02747e-11,1.7612e-11,7.68964e-11,8.13598e-11,6.48461e-11,1.52383e-11,1.90182e-11,3.03117e-11,
2,8.55615e-11,4.50037e-11,6.79956e-11,4.43041e-11,4.52445e-11,3.08847e-11,2.07469e-11,2.73738e-11,5.30888e-11,5.55632e-11,3.69995e-11,6.47046e-11,3.3185e-11,7.22738e-11,6.44586e-11,7.07516e-11,8.37355e-11,8.56413e-11,1.83605e-11,1.98956e-11,2.04077e-11,1.77277e-11,7.69263e-11,8.13721e-11,6.48924e-11,1.53536e-11,1.91553e-11,3.0461e-11,
3,8.55649e-11,4.5037e-11,6.80119e-11,4.43228e-11,4.52748e-11,3.09158e-11,2.07772e-11,2.74091e-11,5.31163e-11,5.55947e-11,3.70425e-11,6.47362e-11,3.32192e-11,7.22908e-11,6.44792e-11,7.07677e-11,8.37395e-11,8.56438e-11,1.83884e-11,1.99246e-11,2.04366e-11,1.77549e-11,7.69369e-11,8.13813e-11,6.49163e-11,1.53746e-11,1.91822e-11,3.04921e-11,
4,8.55681e-11,4.50687e-11,6.8027e-11,4.43389e-11,4.53013e-11,3.09421e-11,2.08045e-11,2.74426e-11,5.31321e-11,5.56258e-11,3.70848e-11,6.47676e-11,3.32512e-11,7.23077e-11,6.44994e-11,7.07837e-11,8.37436e-11,8.56463e-11,1.84109e-11,1.99491e-11,2.04612e-11,1.77784e-11,7.69468e-11,8.13905e-11,6.49399e-11,1.53908e-11,1.92038e-11,3.05181e-11,
5,8.55714e-11,4.51004e-11,6.80421e-11,4.43547e-11,4.53277e-11,3.09682e-11,2.08318e-11,2.74761e-11,5.31471e-11,5.56568e-11,3.71272e-11,6.4799e-11,3.32831e-11,7.23245e-11,6.45196e-11,7.07997e-11,8.37476e-11,8.56488e-11,1.84333e-11,1.99735e-11,2.04856e-11,1.78018e-11,7.69566e-11,8.13997e-11,6.49634e-11,1.54068e-11,1.92252e-11,3.05439e-11,
6,8.55747e-11,4.51321e-11,6.80571e-11,4.43706e-11,4.5354e-11,3.09943e-11,2.08591e-11,2.75097e-11,5.31621e-11,5.56879e-11,3.71696e-11,6.48304e-11,3.3315e-11,7.23414e-11,6.45397e-11,7.08157e-11,8.37517e-11,8.56514e-11,1.84556e-11,1.99979e-11,2.051e-11,1.78252e-11,7.69664e-11,8.14088e-11,6.4987e-11,1.54227e-11,1.92467e-11,3.05697e-11,
7,8.5578e-11,4.51638e-11,6.80722e-11,4.43865e-11,4.53803e-11,3.10203e-11,2.08864e-11,2.75432e-11,5.31771e-11,5.57189e-11,3.7212e-11,6.48618e-11,3.3347e-11,7.23582e-11,6.45599e-11,7.08316e-11,8.37557e-11,8.56539e-11,1.8478e-11,2.00223e-11,2.05345e-11,1.78486e-11,7.69763e-11,8.1418e-11,6.50105e-11,1.54387e-11,1.92681e-11,3.05956e-11,
8,8.55813e-11,4.51955e-11,6.80872e-11,4.44023e-11,4.54067e-11,3.10465e-11,2.09138e-11,2.75768e-11,5.31921e-11,5.57499e-11,3.72544e-11,6.48932e-11,3.33789e-11,7.2375e-11,6.45801e-11,7.08476e-11,8.37597e-11,8.56564e-11,1.85005e-11,2.00467e-11,2.0559e-11,1.78721e-11,7.69861e-11,8.14272e-11,6.5034e-11,1.54547e-11,1.92896e-11,3.06214e-11,
9,8.55846e-11,4.52272e-11,6.81023e-11,4.44182e-11,4.5433e-11,3.10726e-11,2.09412e-11,2.76104e-11,5.32071e-11,5.5781e-11,3.72968e-11,6.49246e-11,3.34109e-11,7.23918e-11,6.46002e-11,7.08635e-11,8.37638e-11,8.56589e-11,1.85229e-11,2.00711e-11,2.05835e-11,1.78956e-11,7.69959e-11,8.14363e-11,6.50574e-11,1.54707e-11,1.93111e-11,3.06473e-11,
