time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2.59588e-10,2.5215e-10,1.3401e-10,1.18995e-10,8.3612e-11,1.74528e-10,6.7791e-11,9.17307e-11,6.68642e-11,3.1997e-10,2.11919e-10,3.82211e-10,1.03724e-10,3.07802e-10,2.19166e-10,2.42635e-10,1.99665e-10,1.94005e-10,3.75832e-11,4.76768e-11,4.60025e-11,7.67434e-11,2.2687e-10,3.24663e-10,2.54286e-10,8.47805e-11,1.05612e-10,1.71962e-10,
2,5.19931e-10,5.15414e-10,2.72026e-10,2.44016e-10,1.72279e-10,3.64161e-10,1.42096e-10,1.89948e-10,1.38252e-10,6.48653e-10,4.3337e-10,7.69793e-10,2.14015e-10,6.21078e-10,4.45005e-10,4.9057e-10,4.00686e-10,3.88818e-10,7.96811e-11,1.00468e-10,9.6901e-11,1.61457e-10,4.57206e-10,6.51126e-10,5.14558e-10,1.7883e-10,2.22987e-10,3.58986e-10,
3,7.80016e-10,7.78885e-10,4.10079e-10,3.69234e-10,2.61165e-10,5.54561e-10,2.16797e-10,2.88488e-10,2.09917e-10,9.77231e-10,6.55109e-10,1.15701e-09,3.24608e-10,9.34097e-10,6.70822e-10,7.38385e-10,6.01563e-10,5.83489e-10,1.22105e-10,1.53607e-10,1.48123e-10,2.46697e-10,6.8742e-10,9.77211e-10,7.74743e-10,2.7355e-10,3.41153e-10,5.46787e-10,
4,1.03984e-09,1.04225e-09,5.48088e-10,4.94443e-10,3.50079e-10,7.45005e-10,2.91585e-10,3.87117e-10,2.81597e-10,1.30554e-09,8.76906e-10,1.5438e-09,4.35265e-10,1.2468e-09,8.96508e-10,9.86011e-10,8.02288e-10,7.78014e-10,1.64586e-10,2.06812e-10,1.99407e-10,3.32039e-10,9.17454e-10,1.30291e-09,1.03475e-09,3.68359e-10,4.59427e-10,7.34635e-10,
5,1.29941e-09,1.30549e-09,6.86052e-10,6.19634e-10,4.39013e-10,9.35461e-10,3.66449e-10,4.85827e-10,3.53278e-10,1.63358e-09,1.09876e-09,1.93015e-09,5.45979e-10,1.55918e-09,1.12206e-09,1.23345e-09,1.00286e-09,9.72394e-10,2.07111e-10,2.60071e-10,2.50742e-10,4.17463e-10,1.1473e-09,1.62821e-09,1.29458e-09,4.63226e-10,5.77779e-10,9.22498e-10,
6,1.55871e-09,1.56862e-09,8.2397e-10,7.44807e-10,5.27967e-10,1.12593e-09,4.41388e-10,5.84618e-10,4.24957e-10,1.96134e-09,1.32066e-09,2.31607e-09,6.56749e-10,1.87123e-09,1.34748e-09,1.48069e-09,1.20328e-09,1.16663e-09,2.49681e-10,3.13384e-10,3.02128e-10,5.0297e-10,1.37697e-09,1.95313e-09,1.55423e-09,5.58151e-10,6.96206e-10,1.11037e-09,
7,1.81776e-09,1.83163e-09,9.61842e-10,8.69962e-10,6.16941e-10,1.31641e-09,5.16403e-10,6.8349e-10,4.96635e-10,2.28884e-09,1.54262e-09,2.70156e-09,7.67575e-10,2.18297e-09,1.57277e-09,1.72775e-09,1.40355e-09,1.36072e-09,2.92296e-10,3.6675e-10,3.53565e-10,5.88559e-10,1.60646e-09,2.27766e-09,1.81371e-09,6.53132e-10,8.14709e-10,1.29826e-09,
8,2.07654e-09,2.09453e-09,1.09967e-09,9.95099e-10,7.05935e-10,1.5069e-09,5.91494e-10,7.82444e-10,5.68312e-10,2.61606e-09,1.76463e-09,3.08661e-09,8.78457e-10,2.4944e-09,1.79792e-09,1.97462e-09,1.60367e-09,1.55466e-09,3.34955e-10,4.20171e-10,4.05052e-10,6.7423e-10,1.83576e-09,2.6018e-09,2.073e-09,7.4817e-10,9.33287e-10,1.48617e-09,
9,2.33507e-09,2.3573e-09,1.23745e-09,1.12022e-09,7.94949e-10,1.6974e-09,6.66661e-10,8.81478e-10,6.39988e-10,2.94301e-09,1.98669e-09,3.47123e-09,9.89396e-10,2.8055e-09,2.02294e-09,2.2213e-09,1.80364e-09,1.74846e-09,3.77658e-10,4.73644e-10,4.56591e-10,7.59984e-10,2.06489e-09,2.92556e-09,2.33212e-09,8.43265e-10,1.05194e-09,1.67409e-09,
