matrix(560, 1)
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 0.632698 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 1 )
( 0.633024 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773803 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773804 )
( 0.638939 )
( 0.639311 )
( 0.969939 )
( 0.693715 )
( 0.773804 )
( 0.638939 )
( 0.82474 )
( 0.824236 )
( 0.681878 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681878 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824236 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.82474 )
( 0.824237 )
( 0.681879 )
( 0.865711 )
( 0.786107 )
( 0.693716 )
( 0.986281 )
( 0.720085 )
( 0.634145 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.703769 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.703769 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.703769 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.703769 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.703769 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.70377 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.68188 )
( 0.70377 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.70377 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.70377 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.636147 )
( 0.824237 )
( 0.681881 )
( 0.70377 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.636147 )
( 0.824237 )
( 0.70377 )
( 0.637544 )
( 0.786106 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.70377 )
( 0.637544 )
( 0.786105 )
( 0.637341 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.636799 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
( 0.629328 )
