matrix(560, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447625 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447625 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447625 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447625 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447625 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447625 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447624 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447624 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447624 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447624 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447624 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447624 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447623 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447623 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447623 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447623 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447623 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447622 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447622 )
( 0.111503 )
( 0 )
( 0 )
( 0.274949 )
( 0.0447622 )
( 0.111503 )
( 0 )
( 0.15395 )
( 0.15353 )
( 0.0348987 )
( 0.188093 )
( 0.121756 )
( 0.0447634 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348987 )
( 0.188093 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348988 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348988 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348988 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348988 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348989 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667374 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348989 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667375 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348989 )
( 0.188092 )
( 0.121756 )
( 0.0447633 )
( 0.288568 )
( 0.0667375 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.0348989 )
( 0.188092 )
( 0.121756 )
( 0.0447632 )
( 0.288568 )
( 0.0667375 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.034899 )
( 0.188092 )
( 0.121756 )
( 0.0447632 )
( 0.288568 )
( 0.0667375 )
( 0 )
( 0.153531 )
( 0.15395 )
( 0.15353 )
( 0.034899 )
