time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,8.84174e-11,4.96169e-11,8.23451e-11,5.72508e-11,4.88985e-11,3.37757e-11,1.99174e-11,2.49073e-11,5.3139e-11,5.4696e-11,3.286e-11,6.2115e-11,2.9918e-11,7.682e-11,7.93771e-11,8.00544e-11,8.79518e-11,8.82308e-11,2.06026e-11,2.04574e-11,2.12534e-11,1.80824e-11,8.55329e-11,8.20999e-11,6.68856e-11,1.54769e-11,1.92447e-11,3.3253e-11,
1,8.8769e-11,5.18467e-11,8.48583e-11,6.01068e-11,5.18575e-11,3.66993e-11,2.1833e-11,2.66762e-11,5.67345e-11,5.6231e-11,3.43622e-11,6.30774e-11,3.17869e-11,7.82856e-11,8.18621e-11,8.18807e-11,8.86327e-11,8.86728e-11,2.30754e-11,2.26596e-11,2.35102e-11,1.99728e-11,8.69212e-11,8.26653e-11,6.85337e-11,1.71082e-11,2.13818e-11,3.61651e-11,
2,8.87704e-11,5.19462e-11,8.49126e-11,6.02104e-11,5.19947e-11,3.68716e-11,2.19578e-11,2.67788e-11,5.69651e-11,5.62958e-11,3.44426e-11,6.31239e-11,3.18876e-11,7.83148e-11,8.19113e-11,8.19116e-11,8.86368e-11,8.86748e-11,2.32581e-11,2.28158e-11,2.36646e-11,2.01073e-11,8.69446e-11,8.26748e-11,6.85753e-11,1.72311e-11,2.15353e-11,3.63386e-11,
3,8.87704e-11,5.19844e-11,8.4917e-11,6.02218e-11,5.20215e-11,3.69064e-11,2.19925e-11,2.68179e-11,5.69895e-11,5.6334e-11,3.4488e-11,6.31591e-11,3.19223e-11,7.83282e-11,8.19197e-11,8.19197e-11,8.8637e-11,8.86751e-11,2.32943e-11,2.28514e-11,2.36994e-11,2.01411e-11,8.69461e-11,8.26812e-11,6.85929e-11,1.72544e-11,2.1567e-11,3.63734e-11,
4,8.87704e-11,5.2021e-11,8.492e-11,6.02298e-11,5.20441e-11,3.69355e-11,2.20241e-11,2.68553e-11,5.70014e-11,5.63717e-11,3.45329e-11,6.31941e-11,3.19549e-11,7.83415e-11,8.19275e-11,8.19276e-11,8.86372e-11,8.86753e-11,2.33239e-11,2.28817e-11,2.37291e-11,2.01706e-11,8.69468e-11,8.26875e-11,6.86102e-11,1.72726e-11,2.15929e-11,3.64024e-11,
5,8.87705e-11,5.20575e-11,8.4923e-11,6.02377e-11,5.20665e-11,3.69643e-11,2.20556e-11,2.68927e-11,5.70126e-11,5.64094e-11,3.45778e-11,6.32292e-11,3.19875e-11,7.83548e-11,8.19354e-11,8.19355e-11,8.86375e-11,8.86756e-11,2.33532e-11,2.29119e-11,2.37587e-11,2.02e-11,8.69474e-11,8.26938e-11,6.86274e-11,1.72906e-11,2.16185e-11,3.64312e-11,
6,8.87705e-11,5.2094e-11,8.4926e-11,6.02456e-11,5.20889e-11,3.69932e-11,2.20871e-11,2.69301e-11,5.70237e-11,5.64471e-11,3.46227e-11,6.32642e-11,3.202e-11,7.83681e-11,8.19432e-11,8.19433e-11,8.86377e-11,8.86759e-11,2.33825e-11,2.29421e-11,2.37884e-11,2.02294e-11,8.69481e-11,8.27002e-11,6.86446e-11,1.73087e-11,2.16442e-11,3.646e-11,
7,8.87705e-11,5.21305e-11,8.49289e-11,6.02535e-11,5.21112e-11,3.7022e-11,2.21187e-11,2.69675e-11,5.70349e-11,5.64848e-11,3.46676e-11,6.32992e-11,3.20526e-11,7.83813e-11,8.19511e-11,8.19512e-11,8.86379e-11,8.86762e-11,2.34119e-11,2.29723e-11,2.3818e-11,2.02589e-11,8.69487e-11,8.27065e-11,6.86618e-11,1.73267e-11,2.16699e-11,3.64887e-11,
8,8.87705e-11,5.2167e-11,8.49319e-11,6.02614e-11,5.21336e-11,3.70509e-11,2.21503e-11,2.7005e-11,5.7046e-11,5.65224e-11,3.47126e-11,6.33342e-11,3.20853e-11,7.83945e-11,8.19589e-11,8.1959e-11,8.86381e-11,8.86764e-11,2.34412e-11,2.30025e-11,2.38477e-11,2.02884e-11,8.69493e-11,8.27128e-11,6.86791e-11,1.73448e-11,2.16957e-11,3.65175e-11,
9,8.87705e-11,5.22035e-11,8.49349e-11,6.02693e-11,5.2156e-11,3.70798e-11,2.2182e-11,2.70425e-11,5.70571e-11,5.65601e-11,3.47576e-11,6.33691e-11,3.21179e-11,7.84078e-11,8.19668e-11,8.19668e-11,8.86383e-11,8.86767e-11,2.34707e-11,2.30328e-11,2.38774e-11,2.03179e-11,8.69499e-11,8.27191e-11,6.86963e-11,1.73628e-11,2.17215e-11,3.65463e-11,
