time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,3.10819e-10,0,0,0,2.36231e-10,5.25386e-11,6.56991e-11,7.17738e-11,3.78431e-10,2.14385e-10,4.05253e-10,1.21632e-10,2.89689e-10,0,0,0,0,0,6.69295e-11,0,8.14801e-11,0,2.68586e-10,2.18811e-10,1.08205e-10,1.34546e-10,2.32484e-10,
2,0,6.35162e-10,0,0,0,4.9266e-10,1.10118e-10,1.36046e-10,1.48381e-10,7.66851e-10,4.38376e-10,8.16088e-10,2.50798e-10,5.84563e-10,0,0,0,0,0,1.41044e-10,0,1.71448e-10,0,5.38732e-10,4.42818e-10,2.2775e-10,2.83953e-10,4.85085e-10,
3,0,9.59663e-10,0,0,0,7.5002e-10,1.68014e-10,2.06643e-10,2.25275e-10,1.15507e-09,6.62687e-10,1.22652e-09,3.80303e-10,8.79199e-10,0,0,0,0,0,2.15648e-10,0,2.61989e-10,0,8.08617e-10,6.66758e-10,3.48083e-10,4.34341e-10,7.38633e-10,
4,0,1.28394e-09,0,0,0,1.00735e-09,2.25987e-10,2.77323e-10,3.02177e-10,1.54291e-09,8.8709e-10,1.63648e-09,5.09879e-10,1.17354e-09,0,0,0,0,0,2.90345e-10,0,3.52648e-10,0,1.07823e-09,8.90555e-10,4.68508e-10,5.84859e-10,9.92158e-10,
5,0,1.60798e-09,0,0,0,1.26461e-09,2.8403e-10,3.48082e-10,3.79071e-10,1.93036e-09,1.11158e-09,2.04596e-09,6.39519e-10,1.46758e-09,0,0,0,0,0,3.65119e-10,0,4.43406e-10,0,1.34757e-09,1.11421e-09,5.8899e-10,7.35466e-10,1.24562e-09,
6,0,1.93179e-09,0,0,0,1.52179e-09,3.42143e-10,4.18919e-10,4.55956e-10,2.31743e-09,1.33616e-09,2.45497e-09,7.6922e-10,1.76132e-09,0,0,0,0,0,4.39969e-10,0,5.34262e-10,0,1.61665e-09,1.33771e-09,7.09525e-10,8.8616e-10,1.49901e-09,
7,0,2.25535e-09,0,0,0,1.7789e-09,4.00325e-10,4.89834e-10,5.3283e-10,2.70411e-09,1.56082e-09,2.86351e-09,8.98984e-10,2.05477e-09,0,0,0,0,0,5.14896e-10,0,6.25218e-10,0,1.88545e-09,1.56107e-09,8.30115e-10,1.03694e-09,1.75234e-09,
8,0,2.57869e-09,0,0,0,2.03594e-09,4.58578e-10,5.60827e-10,6.09695e-10,3.09041e-09,1.78557e-09,3.27156e-09,1.02881e-09,2.34792e-09,0,0,0,0,0,5.89899e-10,0,7.16271e-10,0,2.15398e-09,1.78429e-09,9.5076e-10,1.18781e-09,2.0056e-09,
9,0,2.90178e-09,0,0,0,2.2929e-09,5.16899e-10,6.31899e-10,6.86551e-10,3.47631e-09,2.0104e-09,3.67914e-09,1.1587e-09,2.64077e-09,0,0,0,0,0,6.64977e-10,0,8.07423e-10,0,2.42224e-09,2.00736e-09,1.07146e-09,1.33876e-09,2.2588e-09,
10,0,3.22464e-09,0,0,0,2.54979e-09,5.75291e-10,7.03049e-10,7.63397e-10,3.86184e-09,2.23532e-09,4.08625e-09,1.28865e-09,2.93332e-09,0,0,0,0,0,7.40132e-10,0,8.98674e-10,0,2.69024e-09,2.23028e-09,1.19221e-09,1.48981e-09,2.51193e-09,
11,0,3.54727e-09,0,0,0,2.8066e-09,6.33752e-10,7.74278e-10,8.40233e-10,4.24697e-09,2.46032e-09,4.49288e-09,1.41866e-09,3.22558e-09,0,0,0,0,0,8.15364e-10,0,9.90023e-10,0,2.95796e-09,2.45306e-09,1.31302e-09,1.64093e-09,2.76499e-09,
12,0,3.56136e-09,0,0,0,2.82786e-09,6.39053e-10,7.79089e-10,8.45391e-10,4.25746e-09,2.47013e-09,4.49897e-09,1.42647e-09,3.23106e-09,0,0,0,0,0,8.22995e-10,0,9.99023e-10,0,2.95978e-09,2.45845e-09,1.32519e-09,1.65676e-09,2.78618e-09,
13,0,3.56177e-09,0,0,0,2.82891e-09,6.39312e-10,7.79269e-10,8.45707e-10,4.25765e-09,2.47037e-09,4.49904e-09,1.42676e-09,3.23112e-09,0,0,0,0,0,8.23432e-10,0,9.99524e-10,0,2.95979e-09,2.45853e-09,1.32597e-09,1.65771e-09,2.78723e-09,
14,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45727e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.2345e-10,0,9.99545e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
15,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45728e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.23451e-10,0,9.99546e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
16,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45728e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.23451e-10,0,9.99546e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
17,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45728e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.23451e-10,0,9.99546e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
18,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45728e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.23451e-10,0,9.99546e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
19,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45728e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.23451e-10,0,9.99546e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
20,0,3.56178e-09,0,0,0,2.82895e-09,6.39321e-10,7.79274e-10,8.45728e-10,4.25766e-09,2.47037e-09,4.49904e-09,1.42677e-09,3.23112e-09,0,0,0,0,0,8.23451e-10,0,9.99546e-10,0,2.95979e-09,2.45853e-09,1.32601e-09,1.65775e-09,2.78728e-09,
