time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,75392.9,0,0,0,56857.9,12444.2,15644.9,17096.9,91943.7,51357.2,98671.7,29160.3,70891,0,0,0,0,0,15884.7,0,19265.9,0,65817.1,53359.7,25698.8,31928.1,55936,
2,0,154053,0,0,0,118569,26080.9,32394.6,35343.5,186301,105013,198694,60121.1,143048,0,0,0,0,0,33472.1,0,40535.1,0,132014,107984,54065.3,67377.6,116704,
3,0,232751,0,0,0,180505,39793,49204.7,53658.4,280609,158747,298616,91164,215145,0,0,0,0,0,51176,0,61940.4,0,198146,162593,82616.9,103061,177701,
4,0,311395,0,0,0,242434,53524.4,66035.4,71975.4,374824,212507,398422,122225,287169,0,0,0,0,0,68903.1,0,83375,0,264209,217165,111190,138777,238693,
5,0,389981,0,0,0,304348,67273,82885.8,90290.5,468944,266290,498111,153302,359117,0,0,0,0,0,86649.3,0,104834,0,330205,271703,139778,174515,299670,
6,0,468511,0,0,0,366244,81039,99755.7,108603,562970,320096,597683,184395,430992,0,0,0,0,0,104414,0,126318,0,396133,326204,168378,210275,360634,
7,0,546983,0,0,0,428125,94822.2,116645,126914,656902,373926,697139,215504,502792,0,0,0,0,0,122199,0,147826,0,461993,380669,196992,246058,421582,
8,0,625397,0,0,0,489989,108623,133554,145223,750739,427779,796477,246629,574519,0,0,0,0,0,140002,0,169359,0,527786,435099,225619,281863,482516,
9,0,703755,0,0,0,551836,122440,150483,163529,844481,481655,895698,277769,646171,0,0,0,0,0,157824,0,190917,0,593511,489493,254260,317690,543434,
10,0,782055,0,0,0,613666,136275,167431,181833,938129,535555,994802,308926,717749,0,0,0,0,0,175665,0,212499,0,659168,543852,282914,353539,604338,
11,0,860297,0,0,0,675480,150128,184399,200135,1.03168e+06,589477,1.09379e+06,340098,789253,0,0,0,0,0,193525,0,234105,0,724758,598174,311581,389410,665227,
12,0,863703,0,0,0,680588,151382,185542,201362,1.03422e+06,591821,1.09526e+06,341964,790593,0,0,0,0,0,195334,0,236229,0,725203,599485,314443,393160,670316,
13,0,863800,0,0,0,680839,151443,185585,201437,1.03427e+06,591878,1.09528e+06,342033,790607,0,0,0,0,0,195437,0,236347,0,725205,599505,314626,393384,670569,
14,0,863803,0,0,0,680849,151445,185586,201441,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393394,670580,
15,0,863803,0,0,0,680850,151445,185586,201442,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393395,670580,
16,0,863803,0,0,0,680850,151445,185586,201442,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393395,670581,
17,0,863803,0,0,0,680850,151445,185586,201442,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393395,670581,
18,0,863803,0,0,0,680850,151445,185586,201442,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393395,670581,
19,0,863803,0,0,0,680850,151445,185586,201442,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393395,670581,
20,0,863803,0,0,0,680850,151445,185586,201442,1.03427e+06,591879,1.09528e+06,342036,790607,0,0,0,0,0,195441,0,236352,0,725205,599505,314636,393395,670581,
