time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1.71886e-09,1.01207e-10,2.2154e-10,8.77107e-11,1.34075e-10,2.71735e-11,2.10466e-11,7.42375e-11,3.32469e-11,2.66275e-10,1.75758e-10,6.22799e-10,4.472e-11,4.94688e-10,2.89471e-10,6.33869e-10,1.16344e-09,1.30231e-09,7.50608e-12,3.30425e-12,1.76225e-11,1.01195e-11,8.00967e-10,9.94618e-10,4.37955e-10,9.51543e-12,1.0579e-11,2.64162e-11,
2,3.43492e-09,2.06836e-10,4.50583e-10,1.79817e-10,2.7623e-10,5.67055e-11,4.40255e-11,1.53321e-10,6.87519e-11,5.39662e-10,3.59151e-10,1.25231e-09,9.22515e-11,9.98599e-10,5.8874e-10,1.28242e-09,2.33063e-09,2.60506e-09,1.58793e-11,6.93742e-12,3.70674e-11,2.12168e-11,1.61537e-09,1.99207e-09,8.8587e-10,1.98336e-11,2.23218e-11,5.51486e-11,
3,5.14231e-09,3.13252e-10,6.81147e-10,2.72688e-10,4.19219e-10,8.64854e-11,6.71891e-11,2.3286e-10,1.04527e-10,8.13778e-10,5.43202e-10,1.88105e-09,1.40061e-10,1.50339e-09,8.89706e-10,1.93272e-09,3.49446e-09,3.90271e-09,2.43423e-11,1.06098e-11,5.66955e-11,3.24402e-11,2.43156e-09,2.98662e-09,1.33448e-09,3.0257e-11,3.41875e-11,8.41247e-11,
4,6.84104e-09,4.20369e-10,9.13126e-10,3.66231e-10,5.62755e-10,1.16409e-10,9.04567e-11,3.12705e-10,1.40453e-10,1.08852e-09,7.27756e-10,2.50893e-09,1.88057e-10,2.00897e-09,1.19225e-09,2.58461e-09,4.65489e-09,5.19526e-09,3.28484e-11,1.43063e-11,7.64179e-11,4.37485e-11,3.24935e-09,3.97824e-09,1.78366e-09,4.07465e-11,4.61134e-11,1.13241e-10,
5,8.53111e-09,5.28188e-10,1.14652e-09,4.60448e-10,7.06827e-10,1.46471e-10,1.13826e-10,3.92855e-10,1.76522e-10,1.36388e-09,9.12809e-10,3.13596e-09,2.36237e-10,2.51533e-09,1.49637e-09,3.23807e-09,5.81192e-09,6.4827e-09,4.13958e-11,1.80266e-11,9.62312e-11,5.51407e-11,4.0687e-09,4.96694e-09,2.2334e-09,5.13006e-11,5.80969e-11,1.42493e-10,
6,1.02125e-08,6.36712e-10,1.38134e-09,5.55343e-10,8.51435e-10,1.76674e-10,1.37298e-10,4.7331e-10,2.12733e-10,1.63986e-09,1.09836e-09,3.76214e-09,2.84601e-10,3.02247e-09,1.80209e-09,3.89309e-09,6.96555e-09,7.76506e-09,4.99845e-11,2.17706e-11,1.16136e-10,6.66172e-11,4.8896e-09,5.95271e-09,2.68371e-09,6.19195e-11,7.0138e-11,1.71882e-10,
7,1.18853e-08,7.45943e-10,1.61759e-09,6.5092e-10,9.9658e-10,2.07017e-10,1.60872e-10,5.54072e-10,2.49086e-10,1.91646e-09,1.28442e-09,4.38746e-09,3.33149e-10,3.53037e-09,2.10939e-09,4.54967e-09,8.11577e-09,9.04232e-09,5.86147e-11,2.55387e-11,1.36132e-10,7.81787e-11,5.71201e-09,6.93557e-09,3.13457e-09,7.26036e-11,8.2237e-11,2.01408e-10,
8,1.35495e-08,8.55886e-10,1.85526e-09,7.47182e-10,1.14226e-09,2.375e-10,1.84548e-10,6.35139e-10,2.85582e-10,2.19367e-09,1.47098e-09,5.01193e-09,3.81882e-10,4.03904e-09,2.41829e-09,5.20779e-09,9.26258e-09,1.03145e-08,6.72866e-11,2.93308e-11,1.5622e-10,8.98256e-11,6.53591e-09,7.9155e-09,3.58598e-09,8.33532e-11,9.43941e-11,2.31071e-10,
9,1.5205e-08,9.66543e-10,2.09437e-09,8.44134e-10,1.28849e-09,2.68126e-10,2.08329e-10,7.16515e-10,3.2222e-10,2.47149e-09,1.65803e-09,5.63554e-09,4.308e-10,4.54847e-09,2.72879e-09,5.86745e-09,1.0406e-08,1.15816e-08,7.60004e-11,3.31473e-11,1.76401e-10,1.01559e-10,7.36129e-09,8.89252e-09,4.03794e-09,9.41686e-11,1.0661e-10,2.60872e-10,
