time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,14215.9,839.274,1560.17,321.806,940.097,175.263,93.4252,514.317,4461.15,4275.17,1848.25,9518.05,1176.33,5586.99,1072.51,3094.01,11701.8,14494.8,16.9828,52.9188,47.3216,38.6978,5219.12,14063.8,4814.39,59.6626,52.4377,168.899,
1,14311,876.905,1618.69,338.583,998.287,190.559,101.832,547.035,4771.02,4395.52,1928.83,9641.59,1250.31,5710.83,1111.97,3179.63,11807.4,14588.2,18.9178,58.0673,52.1731,42.372,5338.76,14166.6,4935.66,63.9737,58.1919,183.773,
2,14360.7,886.913,1636.75,342.669,1006.69,192.52,102.798,551.195,4820.38,4421.34,1939.62,9664.09,1260.04,5744.97,1122.64,3205,11848,14623.9,19.1506,58.8456,52.7479,42.9798,5385.92,14194,4960.72,64.7718,58.8991,185.679,
3,14410.1,896.386,1654.24,346.485,1013.08,193.82,103.436,554.466,4854.15,4445.83,1948.97,9685.62,1267.47,5778.38,1132.97,3229.87,11888.3,14659.3,19.2838,59.4127,53.0952,43.4507,5432.3,14221,4984.65,65.4065,59.3054,186.936,
4,14459.4,905.934,1671.89,350.334,1019.41,195.098,104.068,557.733,4887.05,4470.37,1958.33,9707.16,1274.86,5811.9,1143.39,3254.9,11928.6,14694.7,19.4134,59.9767,53.4349,43.9215,5478.9,14248,5008.65,66.039,59.6992,188.17,
5,14508.6,915.573,1689.71,354.224,1025.78,196.382,104.702,561.015,4919.97,4494.98,1967.73,9728.73,1282.28,5845.53,1153.9,3280.09,11968.9,14730,19.5436,60.5457,53.7763,44.397,5525.76,14274.9,5032.74,66.6772,60.0948,189.411,
6,14557.7,925.304,1707.7,358.154,1032.17,197.674,105.341,564.315,4952.97,4519.66,1977.18,9750.32,1289.73,5879.27,1164.52,3305.45,12009.2,14765.3,19.6746,61.12,54.1197,44.8773,5572.88,14301.8,5056.9,67.3214,60.493,190.659,
7,14606.6,935.126,1725.86,362.125,1038.61,198.975,105.982,567.631,4986.04,4544.42,1986.67,9771.94,1297.22,5913.13,1175.24,3330.97,12049.5,14800.4,19.8065,61.6996,54.4652,45.3625,5620.26,14328.7,5081.16,67.9717,60.8936,191.915,
8,14655.3,945.042,1744.19,366.138,1045.08,200.283,106.628,570.963,5019.18,4569.24,1996.21,9793.58,1304.75,5947.1,1186.05,3356.66,12089.8,14835.5,19.9393,62.2846,54.8127,45.8526,5667.89,14355.6,5105.49,68.6282,61.2968,193.179,
9,14704,955.051,1762.69,370.193,1051.58,201.6,107.277,574.313,5052.39,4594.14,2005.78,9815.24,1312.31,5981.18,1196.96,3382.52,12130.1,14870.5,20.0729,62.875,55.1623,46.3476,5715.78,14382.4,5129.92,69.2908,61.7026,194.452,
10,14752.5,965.155,1781.37,374.29,1058.12,202.926,107.929,577.679,5085.68,4619.11,2015.4,9836.93,1319.91,6015.37,1207.98,3408.55,12170.4,14905.5,20.2074,63.4709,55.514,46.8477,5763.93,14409.3,5154.42,69.9596,62.111,195.732,
11,48.446,32.7613,47.6214,15.1516,58.3677,15.9436,8.72119,32.5849,318.014,104.23,77.2442,107.524,74.0375,98.2641,33.1217,67.709,69.6371,60.5778,2.06825,5.35388,5.1276,3.79728,83.029,78.9254,104.961,4.27523,6.15214,15.5229,
12,0.1576,0.744701,0.857833,0.367357,2.43624,0.795254,0.378156,1.01722,19.1501,1.55045,1.63531,1.06791,2.69187,0.93098,0.486317,0.748751,0.327209,0.204472,0.118837,0.258363,0.269551,0.171052,1.24499,0.375827,1.33746,0.203663,0.362966,0.782084,
13,0.00222453,0.0186217,0.0217882,0.00921828,0.114184,0.0368686,0.011652,0.0233377,1.1584,0.0195033,0.0252801,0.00928008,0.0949194,0.00674806,0.00509118,0.00615846,0.00130664,0.000602254,0.00526483,0.00986338,0.0113032,0.00586344,0.0452466,0.00156697,0.0193377,0.00960094,0.0179861,0.0365621,
14,0.000115958,0.000703639,0.000997655,0.000351355,0.00623927,0.00187355,0.000296986,0.000459537,0.0701181,0.000228917,0.000323863,7.26081e-05,0.00404904,4.18568e-05,4.28454e-05,4.24352e-05,4.74672e-06,1.69835e-06,0.000220042,0.000367778,0.000471299,0.000188834,0.00251986,5.97001e-06,0.000607883,0.00047314,0.00089955,0.00186651,
15,6.93201e-06,3.67265e-05,5.7357e-05,1.84262e-05,0.000366228,0.00010505,7.41613e-06,9.48137e-06,0.00424391,2.88657e-06,3.92267e-06,5.24116e-07,0.000210935,2.37088e-07,3.09862e-07,2.6106e-07,1.68322e-08,5.20314e-09,1.00536e-05,1.56959e-05,2.23648e-05,6.97368e-06,0.00015047,2.1399e-08,3.23706e-05,2.50589e-05,4.86428e-05,0.000104822,
16,4.18534e-07,2.14774e-06,3.44088e-06,1.07333e-06,2.19842e-05,6.1948e-06,2.29682e-07,2.76109e-07,0.000256843,5.62032e-08,6.25575e-08,3.55573e-09,1.21638e-05,1.28874e-09,2.0107e-09,1.49286e-09,6.24588e-11,2.01897e-11,5.24442e-07,7.95797e-07,1.21225e-06,3.23685e-07,9.07987e-06,7.35726e-11,1.92535e-06,1.4176e-06,2.80368e-06,6.18361e-06,
17,2.53131e-08,1.29048e-07,2.07863e-07,6.42247e-08,1.32769e-06,3.72048e-07,1.00174e-08,1.24098e-08,1.55437e-05,2.17181e-09,2.03135e-09,2.29903e-11,7.264e-07,7.0548e-12,1.20843e-11,8.19356e-12,2.55766e-13,1.07375e-13,2.9922e-08,4.50058e-08,7.06086e-08,1.76802e-08,5.49081e-07,2.45798e-13,1.16234e-07,8.34407e-08,1.66773e-07,3.71395e-07,
18,1.53162e-09,7.79796e-09,1.25738e-08,3.87254e-09,8.03072e-08,2.2469e-08,5.45147e-10,6.93747e-10,9.40667e-07,1.18935e-10,1.06509e-10,1.4321e-13,4.3812e-08,4.18633e-14,6.91916e-14,4.47666e-14,1.19349e-15,8.10086e-16,1.7763e-09,2.6653e-09,4.2254e-09,1.03603e-09,3.3222e-08,8.05484e-16,7.03126e-09,5.00014e-09,1.00387e-08,2.24294e-08,
19,9.26845e-11,4.71756e-10,7.60839e-10,2.3408e-10,4.85939e-09,1.35905e-09,3.21123e-11,4.12604e-11,5.69267e-08,7.07091e-12,6.29748e-12,8.69342e-16,2.64923e-09,3.54235e-16,3.93643e-16,2.66757e-16,6.96261e-18,1.25225e-17,1.06903e-10,1.60299e-10,2.54956e-10,6.21293e-11,2.01039e-09,2.63445e-18,4.25479e-10,3.01646e-10,6.0659e-10,1.35664e-09,
20,5.60893e-12,2.85471e-11,4.60423e-11,1.41607e-11,2.94069e-10,8.22351e-11,1.93152e-12,2.4881e-12,3.44505e-09,4.26608e-13,3.79772e-13,5.35945e-18,1.60294e-10,8.15727e-18,2.65188e-18,2.66202e-18,8.41619e-20,4.92484e-19,6.46004e-12,9.68478e-12,1.54181e-11,3.75075e-12,1.21661e-10,1.04301e-20,2.57484e-11,1.82379e-11,3.66941e-11,8.20892e-11,
