matrix(560, 1)
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 0.535771 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 1 )
( 0.538175 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742127 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742127 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742127 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742127 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742127 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.584506 )
( 0.965729 )
( 0.650824 )
( 0.742128 )
( 0.581771 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846906 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.63733 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.637331 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.637331 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.637331 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.637331 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.800197 )
( 0.799623 )
( 0.637331 )
( 0.846905 )
( 0.756154 )
( 0.650825 )
( 0.98436 )
( 0.680887 )
( 0.546435 )
( 0.799624 )
( 0.637333 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637333 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.561192 )
( 0.799624 )
( 0.637332 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.561192 )
( 0.799624 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756153 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756152 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756152 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756152 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756152 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756152 )
( 0.56999 )
( 0.662287 )
( 0.571487 )
( 0.756152 )
( 0.56999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510934 )
( 0.565999 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
( 0.510933 )
