matrix(560, 1)
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.18215 )
( 0.00366984 )
( 0.178481 )
( 0.00366983 )
( 0.178481 )
( 0.00366982 )
( 0.178481 )
( 0.00366982 )
( 0.178481 )
( 0.00366981 )
( 0.178481 )
( 0.0036698 )
( 0.178481 )
( 0.0036698 )
( 0.178481 )
( 0.00366979 )
( 0.178481 )
( 0.00366978 )
( 0.178481 )
( 0.00366978 )
( 0.178481 )
( 0.00366977 )
( 0.178481 )
( 0.00366976 )
( 0.178481 )
( 0.00366976 )
( 0.178481 )
( 0.00366975 )
( 0.178481 )
( 0.00366974 )
( 0.178481 )
( 0.00366974 )
( 0.178481 )
( 0.00366973 )
( 0.178481 )
( 0.00366972 )
( 0.17848 )
( 0.00366972 )
( 0.17848 )
( 0.00366971 )
( 0.17848 )
( 0.107756 )
( 0.0175153 )
( 0.0865712 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865712 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
( 0.107756 )
( 0.0175153 )
( 0.0865713 )
( 0.0665492 )
( 0.111931 )
