time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,5.65934e+06,109507,279343,73782.8,196822,21083,15811.6,98189.7,51967.1,537203,311620,1.70755e+06,64832.1,1.08489e+06,341240,1.23816e+06,3.50992e+06,4.17826e+06,3165.84,1644.68,10961.3,4988.2,1.73013e+06,3.03793e+06,976888,6358.4,6105.57,20328.2,
2,1.09946e+07,237316,602795,160866,417379,45399.3,34017.2,208250,111825,1.11533e+06,649268,3.40848e+06,137533,2.23952e+06,727224,2.58652e+06,6.93171e+06,8.17575e+06,6908.95,3626.19,23750.3,11076.5,3.61775e+06,5.98766e+06,2.00607e+06,13880.7,13288.1,43791.7,
3,1.59831e+07,382071,968273,260122,652780,71587,53514.3,325435,176982,1.72337e+06,1.00229e+06,5.08513e+06,215028,3.44652e+06,1.15341e+06,4.02477e+06,1.02438e+07,1.1976e+07,10956.5,5847.27,37506.6,18015.6,5.63833e+06,8.83326e+06,3.06849e+06,22316.8,21041.2,69065.4,
4,2.06223e+07,545619,1.38019e+06,373056,903383,99697.1,74323.9,449924,247416,2.36109e+06,1.37097e+06,6.73726e+06,297431,4.70425e+06,1.62368e+06,5.5539e+06,1.3443e+07,1.55798e+07,15312.4,8329.21,52241.4,25896.7,7.78585e+06,1.15751e+07,4.16321e+06,31755.6,29370.4,96197.7,
5,2.49127e+07,729994,1.84326e+06,501390,1.16991e+06,129857,96519.8,582053,323206,3.02821e+06,1.75582e+06,8.36478e+06,384973,6.01068e+06,2.14231e+06,7.17416e+06,1.65263e+07,1.89885e+07,19998.6,11101.7,68015.7,34837.4,1.00514e+07,1.42136e+07,5.28936e+06,42312.6,38314.4,125312,
6,2.88575e+07,937324,2.36232e+06,647012,1.45311e+06,162203,120180,722165,404388,3.72426e+06,2.15735e+06,9.96755e+06,477888,7.36325e+06,2.71389e+06,8.88466e+06,1.94907e+07,2.22041e+07,25038.8,14197.5,84895.3,44967,1.24227e+07,1.67496e+07,6.44586e+06,54114.5,47915.2,156541,
7,3.24634e+07,1.16981e+06,2.94225e+06,811971,1.75371e+06,196879,145385,870599,490942,4.44853e+06,2.57607e+06,1.15454e+07,576410,8.75887e+06,3.34329e+06,1.06833e+07,2.23337e+07,2.52297e+07,30458.1,17652,102949,56426.3,1.48844e+07,1.91839e+07,7.63142e+06,67299,58217.4,190025,
8,3.57404e+07,1.42968e+06,3.58781e+06,998478,2.07244e+06,234037,172217,1.02769e+06,582792,5.20014e+06,3.01246e+06,1.30981e+07,680771,1.0194e+07,4.0356e+06,1.25664e+07,2.50528e+07,2.80688e+07,36283.1,21503.5,122249,69367.6,1.74182e+07,2.15174e+07,8.84455e+06,82014.3,69268,225910,
9,3.87013e+07,1.71915e+06,4.30355e+06,1.2089e+06,2.41e+06,273836,200763,1.19378e+06,679811,5.978e+06,3.46699e+06,1.46255e+07,791200,1.16645e+07,4.79613e+06,1.45289e+07,2.76461e+07,3.07258e+07,42541.9,25792.8,142871,83954.2,2.00034e+07,2.37515e+07,1.00835e+07,98419.3,81116.6,264351,
