time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,1.77759e-09,0,0,0,1.59848e-09,4.92829e-10,5.51441e-10,7.78352e-10,2.09045e-09,1.5757e-09,2.12131e-09,9.03302e-10,1.35387e-09,0,0,0,0,0,6.04808e-10,0,7.92555e-10,0,1.21874e-09,1.09976e-09,1.05181e-09,1.22579e-09,1.58397e-09,
2,0,3.63044e-09,0,0,0,3.33342e-09,1.0351e-09,1.14421e-09,1.60937e-09,4.23041e-09,3.2199e-09,4.26252e-09,1.8661e-09,2.72689e-09,0,0,0,0,0,1.2776e-09,0,1.67169e-09,0,2.44022e-09,2.2227e-09,2.23327e-09,2.59048e-09,3.30507e-09,
3,0,5.47529e-09,0,0,0,5.06764e-09,1.58083e-09,1.73943e-09,2.44189e-09,6.35675e-09,4.86053e-09,6.38844e-09,2.83047e-09,4.09312e-09,0,0,0,0,0,1.95518e-09,0,2.55643e-09,0,3.65594e-09,3.34161e-09,3.4233e-09,3.9617e-09,5.02581e-09,
4,0,7.3096e-09,0,0,0,6.794e-09,2.12761e-09,2.33551e-09,3.27273e-09,8.46824e-09,6.49571e-09,8.49869e-09,3.79411e-09,5.45232e-09,0,0,0,0,0,2.63363e-09,0,3.44185e-09,0,4.8659e-09,4.45609e-09,4.61305e-09,5.33093e-09,6.73891e-09,
5,0,9.13331e-09,0,0,0,8.5122e-09,2.67534e-09,2.93239e-09,4.1017e-09,1.05649e-08,8.12533e-09,1.05933e-08,4.75691e-09,6.80449e-09,0,0,0,0,0,3.31276e-09,0,4.32771e-09,0,6.07012e-09,5.56613e-09,5.80203e-09,6.69772e-09,8.44407e-09,
6,0,1.09464e-08,0,0,0,1.02222e-08,3.224e-09,3.53006e-09,4.92878e-09,1.26468e-08,9.74936e-09,1.26725e-08,5.71884e-09,8.14969e-09,0,0,0,0,0,3.99254e-09,0,5.21397e-09,0,7.26861e-09,6.67175e-09,6.99017e-09,8.06201e-09,1.01413e-08,
7,0,1.2749e-08,0,0,0,1.1924e-08,3.77358e-09,4.12849e-09,5.75397e-09,1.4714e-08,1.13677e-08,1.47361e-08,6.67989e-09,9.48793e-09,0,0,0,0,0,4.67296e-09,0,6.10059e-09,0,8.46141e-09,7.77297e-09,8.17743e-09,9.42374e-09,1.18305e-08,
8,0,1.45411e-08,0,0,0,1.36177e-08,4.32406e-09,4.72767e-09,6.57728e-09,1.67665e-08,1.29804e-08,1.67844e-08,7.64003e-09,1.08192e-08,0,0,0,0,0,5.35399e-09,0,6.98755e-09,0,9.64855e-09,8.86979e-09,9.3638e-09,1.07829e-08,1.35117e-08,
9,0,1.63226e-08,0,0,0,1.53031e-08,4.87543e-09,5.32759e-09,7.3987e-09,1.88045e-08,1.45874e-08,1.88174e-08,8.59924e-09,1.21437e-08,0,0,0,0,0,6.03562e-09,0,7.87482e-09,0,1.083e-08,9.96223e-09,1.05492e-08,1.21394e-08,1.5185e-08,
