time,Integral
0,0
1,3.32671e-08
2,6.13396e-08
3,8.90551e-08
4,1.16649e-07
5,1.44131e-07
6,1.71503e-07
7,1.98763e-07
8,2.25914e-07
9,2.52953e-07
10,2.79882e-07
11,3.06701e-07
12,3.33409e-07
13,3.60007e-07
14,3.86495e-07
15,4.12872e-07
16,4.3914e-07
17,4.65297e-07
18,4.91345e-07
19,5.17283e-07
20,5.43111e-07
21,5.6883e-07
22,5.94439e-07
23,6.19938e-07
24,6.45329e-07
25,6.7061e-07
26,6.95783e-07
27,7.20846e-07
28,7.45801e-07
29,7.70647e-07
30,7.95384e-07
31,8.20013e-07
32,8.44534e-07
33,8.68946e-07
34,8.93251e-07
35,9.17448e-07
36,9.41537e-07
37,9.65518e-07
38,9.89392e-07
39,1.01316e-06
40,1.03682e-06
41,1.06037e-06
42,1.08382e-06
43,1.10716e-06
44,1.13039e-06
45,1.15352e-06
46,1.17654e-06
47,1.19945e-06
48,1.22226e-06
49,1.24496e-06
50,1.26756e-06
51,1.29005e-06
52,1.31244e-06
53,1.33472e-06
54,1.3569e-06
55,1.37898e-06
56,1.40095e-06
57,1.42281e-06
58,1.44457e-06
59,1.46623e-06
60,1.48779e-06
61,1.50924e-06
62,1.53059e-06
63,1.55183e-06
64,1.57298e-06
65,1.59402e-06
66,1.61496e-06
67,1.6358e-06
68,1.65653e-06
69,1.67717e-06
70,1.6977e-06
71,1.71813e-06
72,1.73846e-06
73,1.7587e-06
74,1.77883e-06
75,1.79886e-06
76,1.81879e-06
77,1.83862e-06
78,1.85835e-06
79,1.87799e-06
80,1.89752e-06
81,1.91696e-06
82,1.9363e-06
83,1.95554e-06
84,1.97469e-06
85,1.99373e-06
86,2.01268e-06
87,2.03153e-06
88,2.05029e-06
89,2.06895e-06
90,2.08751e-06
91,2.10598e-06
92,2.12436e-06
93,2.14263e-06
94,2.16082e-06
95,2.1789e-06
96,2.1969e-06
97,2.2148e-06
98,2.23261e-06
99,2.25032e-06
100,2.26794e-06
101,2.28547e-06
102,2.27878e-06
103,2.27842e-06
104,2.2784e-06
105,2.2784e-06
106,2.2784e-06
107,2.2784e-06
108,2.2784e-06
109,2.2784e-06
110,2.2784e-06
111,2.2784e-06
112,2.2784e-06
113,2.2784e-06
114,2.2784e-06
115,2.2784e-06
116,2.2784e-06
117,2.2784e-06
118,2.2784e-06
119,2.2784e-06
120,2.2784e-06
121,2.2784e-06
122,2.2784e-06
123,2.2784e-06
124,2.2784e-06
125,2.2784e-06
126,2.2784e-06
127,2.2784e-06
128,2.2784e-06
129,2.2784e-06
130,2.2784e-06
131,2.2784e-06
132,2.2784e-06
133,2.2784e-06
134,2.2784e-06
135,2.2784e-06
136,2.2784e-06
137,2.2784e-06
138,2.2784e-06
139,2.2784e-06
140,2.2784e-06
141,2.2784e-06
142,2.2784e-06
143,2.2784e-06
144,2.2784e-06
145,2.2784e-06
146,2.2784e-06
147,2.2784e-06
148,2.2784e-06
149,2.2784e-06
150,2.2784e-06
151,2.2784e-06
152,2.2784e-06
153,2.2784e-06
154,2.2784e-06
155,2.2784e-06
156,2.2784e-06
157,2.2784e-06
158,2.2784e-06
159,2.2784e-06
160,2.2784e-06
161,2.2784e-06
162,2.2784e-06
163,2.2784e-06
164,2.2784e-06
165,2.2784e-06
166,2.2784e-06
167,2.2784e-06
168,2.2784e-06
169,2.2784e-06
170,2.2784e-06
171,2.2784e-06
172,2.2784e-06
173,2.2784e-06
174,2.2784e-06
175,2.2784e-06
176,2.2784e-06
177,2.2784e-06
178,2.2784e-06
179,2.2784e-06
180,2.2784e-06
181,2.2784e-06
182,2.2784e-06
183,2.2784e-06
184,2.2784e-06
185,2.2784e-06
186,2.2784e-06
187,2.2784e-06
188,2.2784e-06
189,2.2784e-06
190,2.2784e-06
191,2.2784e-06
192,2.2784e-06
193,2.2784e-06
194,2.2784e-06
195,2.2784e-06
196,2.2784e-06
197,2.2784e-06
198,2.2784e-06
199,2.2784e-06
200,2.2784e-06
