time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,164513,21864.6,41843.9,14005.9,24608.9,7794.68,3879.26,11516.9,65672.2,63677.6,28913.3,108194,21553.8,89566.1,31742.8,63005.7,146359,168273,1448.29,2646.17,2739.69,2014.83,87463.7,159366,76099.1,2604.22,2787.74,7557.62,
1,167627,23965.9,45391,15470.6,26924.9,8752.96,4381.08,12683.8,71984,67010.7,31160,111317,23589.4,93592.4,34375.9,66840.2,149516,170675,1672.23,3041.52,3126.14,2324.88,92446,161908,79855.8,2934.53,3197.52,8493.5,
2,170093,25385.2,47940.7,16427.6,27991.8,9148.27,4581.36,13214.5,74476,68927.6,32346.9,113207,24505.1,96151.2,36242.4,69490.4,151725,172310,1755.35,3221.2,3274.21,2481.72,96233.2,163501,82053.6,3098.65,3351.76,8878.21,
3,172469,26845.4,50560.6,17414.8,29038,9529,4774.85,13741.5,76722.3,70841.5,33547.1,115092,25405.1,98707.8,38183.7,72185.2,153895,173899,1832.92,3397.4,3414.5,2638.84,100028,165063,84255.4,3260.01,3495.98,9248.27,
4,174754,28364.3,53268.2,18446.7,30112.2,9922.7,4975.69,14286.9,78934.5,72773.4,34785.7,116984,26329.5,101274,40215.1,74936.6,156027,175446,1913.38,3581.87,3559.94,2804.26,103840,166596,86480.5,3427.59,3645.21,9630.94,
5,176946,29942,56061.1,19524.3,31216.6,10331,5184.65,14851.7,81121.7,74722,36063.4,118881,27279.9,103847,42338.7,77741.7,158120,176949,1997.22,3775.38,3711.26,2978.61,107657,168101,88727.3,3601.91,3800.37,10027.8,
6,179047,31578.1,58935.9,20647.8,32351.6,10754.3,5402.04,15436.6,83280.8,76686.1,37381,120782,28256.7,106424,44556.1,80597.1,160171,178409,2084.58,3978.27,3868.7,3162.21,111471,169576,90994,3783.04,3961.69,10439.3,
7,181054,33271.8,61888.5,21817.5,33517.4,11193.1,5628.2,16042,85408.6,78664.4,38738.9,122686,29260.1,109002,46868.7,83499.2,162180,179826,2175.63,4190.88,4032.51,3355.41,115270,171022,93278.6,3971.03,4129.41,10865.9,
8,182970,35022.1,64914.1,23033.3,34714.2,11647.8,5863.47,16668.6,87502.2,80655.4,40137.6,124591,30290.3,111578,49277.4,86443.9,164144,181199,2270.49,4413.51,4202.93,3558.52,119046,172436,95579.1,4165.9,4303.74,11308.1,
9,184794,36827.7,68007.7,24294.9,35942,12118.9,6108.19,17317.1,89558.8,82657.8,41577.6,126497,31347.6,114148,51782.6,89427.1,166062,182528,2369.32,4646.51,4380.2,3771.89,122788,173820,97893.3,4367.66,4484.92,11766.2,
10,186528,38687.3,71163.4,25602.1,37201,12606.9,6362.75,17987.9,91576.5,84670.2,43059.2,128401,32432.1,116711,54384.6,92444.2,167933,183814,2472.27,4890.19,4564.59,3995.84,126487,175172,100219,4576.3,4673.2,12240.8,
11,188174,40599,74375.1,26954.2,38491.1,13112.1,6627.51,18681.7,93553.3,86691.3,44582.6,130302,33544.1,119262,57082.9,95490.2,169756,185058,2579.51,5144.9,4756.36,4230.7,130134,176493,102554,4791.78,4868.83,12732.2,
12,189734,42560.9,77636,28350.6,39812.5,13635.2,6902.88,19399.1,95487.9,88719.6,46148.2,132199,34683.5,121800,59876.6,98560.2,171531,186258,2691.21,5410.96,4955.81,4476.82,133720,177781,104897,5014.05,5072.06,13241,
13,191209,44570.8,80939.3,29790.2,41165.1,14176.6,7189.27,20140.7,97379.3,90753.9,47755.9,134091,35850.6,124321,62764,101649,173255,187417,2807.55,5688.71,5163.22,4734.53,137237,179038,107244,5243.06,5283.15,13767.7,
14,192602,46626.3,84277.4,31272,42548.7,14736.7,7487.11,20907.2,99226.8,92792.9,49406.1,135976,37045.4,126823,65743,104751,174930,188535,2928.7,5978.48,5378.9,5004.16,140677,180261,109594,5478.71,5502.39,14312.6,
15,193917,48725.1,87643,32794.6,43963.2,15316,7796.84,21699.2,101030,94835.1,51098.4,137852,38268,129302,68810.8,107860,176554,189611,3054.86,6280.63,5603.15,5286.07,144035,181453,111944,5720.92,5730.06,14876.4,
16,195154,50864.4,91028.2,34356.7,45408.4,15915.1,8118.91,22517.3,102789,96879.3,52833,139719,39518.3,131757,71964,110971,178128,190647,3186.23,6595.5,5836.31,5580.6,147304,182612,114292,5969.58,5966.44,15459.4,
17,196319,53041.5,94425.2,35956.5,46884.1,16534.4,8453.81,23362.1,104504,98924.4,54609.5,141574,40796.4,134185,75198.3,114079,179651,191645,3323.01,6923.43,6078.7,5888.1,150479,183739,116635,6224.56,6211.84,16062.2,
18,197413,55253.5,97826.2,37592.3,48389.9,17174.4,8802.03,24234.4,106174,100969,56427.6,143417,42102.2,136584,78508.9,117177,181124,192603,3465.41,7264.78,6330.69,6208.93,153555,184833,118972,6485.75,6466.56,16685.2,
19,198440,57497.5,101223,39262.2,49925.5,17835.6,9164.07,25134.7,107802,103012,58287,145246,43435.6,138951,81890.3,120260,182546,193524,3613.66,7619.91,6592.62,6543.46,156529,185896,121300,6753.01,6730.91,17328.9,
20,199402,59770.5,104609,40964.1,51490.4,18518.5,9540.47,26063.7,109388,105052,60187.1,147059,44796.4,141285,85336.2,123322,183918,194408,3767.98,7989.18,6864.88,6892.06,159398,186927,123616,7026.21,7005.23,17993.8,
21,200304,62069.7,107976,42695.9,53084,19223.5,9931.77,27021.9,110931,107087,62127.2,148856,46184.5,143582,88839.8,126358,185241,195256,3928.63,8372.97,7147.84,7255.11,162160,187926,125919,7305.2,7289.83,18680.4,
22,201147,64392.1,111316,44455.3,54705.9,19951.2,10338.5,28010.1,112435,109118,64106.7,150634,47599.7,145842,92393.8,129363,186515,196069,4095.83,8771.65,7441.9,7633,164813,188894,128206,7589.85,7585.06,19389.2,
23,201935,66734.6,114624,46240,56355.4,20702,10761.3,29028.8,113899,111142,66124.7,152394,49041.7,148063,95990,132330,187740,196848,4269.86,9185.61,7747.48,8026.13,167356,189832,130475,7880.04,7891.27,20120.5,
24,202671,69094.6,117892,48047.5,58031.8,21476.4,11200.8,30078.5,115324,113159,68180.3,154132,50510.2,150243,99620.1,135257,188919,197594,4450.99,9615.24,8064.99,8434.91,169789,190738,132723,8175.62,8208.8,20874.9,
25,203357,71469.1,121115,49875.5,59734.2,22274.8,11657.5,31160,116713,115167,70272.2,155849,52004.8,152382,103275,138137,190050,198308,4639.48,10060.9,8394.88,8859.77,172113,191615,134950,8476.47,8538.03,21652.9,
26,203998,73855.6,124286,51721.4,61462,23097.7,12132,32273.7,118066,117165,72399.4,157544,53525.2,154476,106946,140967,191136,198991,4835.63,10523.1,8737.58,9301.13,174329,192463,137153,8782.5,8879.33,22454.9,
27,204594,76251.3,127401,53582.7,63214.2,23945.5,12625.2,33420.2,119385,119154,74560.6,159214,55071,156526,110623,143742,192178,199644,5039.75,11002.1,9093.58,9759.45,176437,193282,139330,9093.61,9233.06,23281.2,
28,205149,78653.7,130455,55456.9,64989.8,24818.6,13137.5,34600,120670,121130,76754.2,160859,56641.5,158531,114297,146460,193175,200268,5252.13,11498.5,9463.34,10235.2,178441,194072,141479,9409.7,9599.63,24132.4,
29,205666,81060.5,133444,57341.4,66787.8,25717.4,13669.7,35813.5,121922,123094,78978.7,162478,58236.4,160489,117959,149117,194131,200864,5473.12,12012.5,9847.37,10728.8,180342,194834,143599,9730.72,9979.42,25008.7,
30,206146,83469.4,136365,59233.7,68607.2,26642.4,14222.5,37061.3,123144,125045,81232.6,164071,59855,162400,121598,151710,195045,201433,5703.03,12544.8,10246.2,11240.7,182143,195569,145688,10056.6,10372.8,25910.8,
31,206593,85878.2,139213,61131.4,70446.8,27593.8,14796.6,38343.7,124336,126981,83514,165635,61496.7,164263,125205,154237,195919,201976,5942.22,13095.6,10660.2,11771.5,183847,196278,147745,10387.4,10780.3,26838.8,
32,207008,88284.8,141987,63032,72305.5,28572.1,15392.7,39661.1,125499,128902,85821,167172,63160.8,166079,128772,156696,196753,202494,6191.06,13665.4,11090.1,12321.6,185456,196960,149767,10722.9,11202.2,27793.1,
33,207393,90687.4,144684,64933.2,74182,29577.5,16011.6,41013.9,126634,130807,88151.6,168678,64846.6,167845,132289,159084,197551,202988,6449.9,14254.7,11536.4,12891.6,186975,197617,151755,11063.4,11639,28774.2,
34,207750,93084.1,147302,66832.5,76075.1,30610.4,16654.1,42402.3,127743,132696,90503.9,170155,66553.3,169564,135750,161402,198311,203459,6719.16,14863.9,11999.6,13481.9,188406,198250,153706,11408.7,12091.1,29782.2,
35,208082,95473.2,149842,68727.8,77983.4,31671.1,17320.9,43826.6,128826,134566,92875.7,171602,68280.2,171234,139144,163647,199037,203907,6999.21,15493.4,12480.3,14093.1,189754,198858,155620,11759,12559,30817.6,
36,208389,97853.1,152300,70616.8,79905.7,32759.8,18012.7,45287,129883,136419,95264.6,173017,70026.2,172855,142467,165819,199728,204334,7290.49,16143.8,12979.1,14725.7,191021,199443,157496,12114.2,13043.1,31880.5,
37,208674,100222,154678,72497.5,81840.5,33876.8,18730.5,46783.6,130917,138252,97668.5,174401,71790.7,174428,145711,167917,200387,204741,7593.42,16815.3,13496.6,15380.3,192212,200005,159333,12474.7,13543.8,32971.3,
38,208938,102579,156975,74367.7,83786.5,35022.2,19474.9,48316.4,131927,140065,100085,175753,73572.5,175952,148871,169943,201014,205128,7908.44,17508.6,14033.4,16057.3,193329,200545,161129,12840.3,14061.7,34090.1,
39,209183,104923,159191,76225.6,85742.2,36196.3,20246.8,49885.5,132915,141858,102511,177073,75370.7,177429,151941,171896,201611,205496,8236.03,18223.9,14590.2,16757.3,194378,201063,162886,13211.4,14597.2,35237.2,
40,209410,107252,161328,78069.4,87706.1,37399.2,21047,51490.8,133880,143630,104945,178361,77184.3,178859,154918,173776,202179,205846,8576.65,18961.8,15167.7,17480.8,195360,201561,164601,13588,15150.8,36412.6,
41,209620,109565,163384,79897.3,89676.9,38631,21876.3,53132.2,134824,145380,107385,179616,79012.1,180242,157798,175584,202719,206179,8930.8,19722.6,15766.3,18228.4,196280,202039,166275,13970.4,15723,37616.7,
42,209814,111861,165363,81707.6,91653.1,39891.8,22735.5,54809.4,135748,147108,109826,180838,80853.1,181578,160578,177322,203231,206496,9298.99,20506.7,16387,19000.6,197140,202497,167907,14358.9,16314.2,38849.3,
43,209994,114138,167265,83498.9,93633,41181.7,23625.4,56522.1,136651,148812,112268,182027,82706.1,182869,163257,178991,203719,206797,9681.74,21314.6,17030.2,19797.8,197946,202937,169497,14753.5,16924.9,40110.7,
44,210160,116397,169091,85269.7,95615.4,42500.6,24546.9,58270.1,137535,150493,114707,183184,84570,184115,165833,180591,204181,207083,10079.6,22146.6,17696.8,20620.7,198698,203358,171045,15154.7,17555.7,41400.9,
45,210314,118636,170843,87018.8,97598.7,43848.5,25500.7,60052.7,138400,152151,117141,184308,86443.4,185318,168305,182124,204621,207355,10493.1,23003,18387.4,21469.6,199401,203761,172552,15562.7,18207.1,42719.8,
46,210457,120853,172523,88744.8,99581.5,45225.5,26487.6,61869.6,139246,153783,119567,185399,88325.2,186477,170674,183593,205037,207613,10922.9,23884.3,19102.8,22345,200057,204148,174016,15977.7,18879.5,44067.4,
47,210589,123049,174133,90446.7,101562,46631.3,27508.4,63720,140074,155391,121983,186458,90214.1,187593,172939,184998,205433,207858,11369.5,24790.8,19843.6,23247.5,200670,204518,175438,16400.2,19573.5,45443.6,
48,210710,125222,175675,92123.6,103539,48065.7,28563.9,65603.2,140884,156974,124386,187485,92108.7,188669,175103,186341,205807,208090,11833.6,25722.7,20610.6,24177.4,201242,204873,176819,16830.5,20289.5,46848.4,
49,210823,127372,177150,93774.5,105512,49528.8,29654.7,67518.5,141676,158531,126774,188480,94007.8,189703,177166,187625,206163,208311,12315.7,26680.4,21404.6,25135.1,201775,205212,178159,17269,21028.2,48281.5,
50,210927,129497,178561,95398.7,107478,51020.1,30781.7,69464.8,142452,160061,129143,189444,95910,190699,179131,188851,206499,208520,12816.6,27664.1,22226.2,26121.2,202272,205537,179457,17716,21790,49742.8,
51,211024,131597,179910,96995.4,109436,52539.4,31945.3,71441.4,143211,161565,131493,190377,97813.9,191656,180999,190021,206818,208719,13336.9,28674,23076.2,27135.8,202735,205848,180715,18171.9,22575.4,51232,
52,211113,133671,181199,98564.2,111385,54086.3,33146.4,73447,143954,163043,133821,191278,99718.3,192575,182774,191136,207120,208908,13877.3,29710.4,23955.4,28179.4,203167,206145,181934,18637.2,23385,52748.8,
53,211195,135718,182429,100105,113324,55660.6,34385.6,75480.5,144681,164493,136124,192150,101622,193459,184457,192200,207406,209087,14438.4,30773.5,24864.5,29252.3,203570,206429,183113,19112.2,24219.2,54292.9,
54,211271,137738,183604,101616,115252,57261.7,35663.3,77540.6,145392,165917,138400,192992,103523,194307,186053,193214,207677,209256,15021,31863.4,25804.2,30354.7,203945,206700,184253,19597.6,25078.5,55863.9,
55,211341,139731,184726,103099,117166,58889.2,36980.2,79626.1,146088,167312,140648,193805,105420,195120,187564,194179,207933,209417,15625.9,32980.3,26775.2,31486.8,204294,206960,185354,20093.6,25963.5,57461.3,
56,211406,141694,185795,104552,119066,60542.6,38336.6,81735.4,146768,168680,142865,194589,107312,195900,188993,195098,208176,209570,16253.8,34124.2,27778.4,32649,204620,207208,186419,20600.9,26874.6,59084.7,
57,211466,143629,186816,105975,120951,62221.3,39733.1,83867.1,147435,170020,145050,195345,109198,196648,190344,195973,208405,209714,16905.4,35295.2,28814.3,33841.3,204923,207445,187447,21119.9,27812.3,60733.5,
58,211522,145533,187788,107370,122820,63924.6,41170,86019.6,148086,171333,147200,196073,111076,197365,191620,196805,208622,209851,17581.5,36493.5,29883.7,35063.8,205205,207672,188438,21651.1,28777.1,62407.1,
59,211573,147407,188716,108735,124671,65651.8,42647.6,88191.3,148724,172617,149315,196775,112945,198052,192824,197596,208827,209981,18282.9,37718.9,30987.3,36316.7,205468,207888,189395,22195,29769.4,64105,
60,211620,149251,189599,110071,126503,67402.4,44166,90380.3,149348,173873,151393,197450,114803,198710,193961,198349,209021,210104,19010.5,38971.5,32125.8,37599.9,205713,208094,190317,22752.1,30789.6,65826.3,
61,211664,151062,190441,111377,128316,69175.3,45725.6,92585.1,149958,175101,153432,198100,116650,199339,195032,199064,209205,210221,19765,40251.3,33299.7,38913.6,205942,208291,191206,23323.1,31838.3,67570.5,
62,211705,152842,191243,112656,130109,70969.9,47326.3,94803.6,150555,176301,155432,198725,118485,199942,196041,199744,209378,210332,20547.4,41558.1,34509.8,40257.5,206155,208480,192061,23908.5,32915.7,69336.7,
63,211742,154590,192007,113905,131880,72785.3,48968.1,97034,151139,177473,157391,199326,120305,200518,196992,200389,209542,210436,21358.3,42891.9,35756.5,41631.7,206353,208659,192885,24508.7,34022.3,71124,
64,211777,156304,192734,115127,133628,74620.5,50651,99274.4,151711,178617,159308,199903,122110,201069,197887,201002,209697,210536,22198.8,44252.6,37040.4,43035.9,206538,208831,193678,25124.4,35158.5,72931.6,
65,211809,157986,193427,116322,135354,76474.5,52374.7,101523,152270,179733,161182,200457,123898,201596,198729,201585,209843,210629,23069.6,45639.9,38362.1,44470,206710,208994,194441,25756.2,36324.5,74758.5,
66,211838,159634,194087,117489,137056,78346.3,54139,103777,152816,180821,163013,200989,125669,202100,199522,202137,209981,210719,23971.5,47053.7,39722,45933.8,206871,209150,195174,26404.6,37520.6,76603.9,
67,211865,161248,194715,118630,138734,80234.9,55943.6,106036,153351,181882,164801,201500,127422,202581,200268,202662,210112,210803,24905.6,48493.8,41120.5,47426.9,207021,209299,195880,27070.3,38747.2,78466.6,
68,211891,162828,195313,119746,140387,82139.2,57787.9,108296,153875,182915,166544,201989,129156,203041,200970,203160,210235,210883,25872.6,49960,42558,48949,207161,209441,196557,27753.8,40004.5,80345.5,
69,211914,164374,195882,120836,142013,84057.9,59671.4,110556,154386,183922,168242,202459,130869,203480,201630,203633,210351,210958,26873.3,51451.9,44034.8,50499.7,207292,209577,197208,28455.6,41292.7,82239.7,
70,211935,165885,196424,121902,143614,85990,61593.3,112814,154887,184901,169895,202908,132562,203899,202250,204081,210461,211030,27908.7,52969.4,45551.2,52078.7,207414,209706,197833,29176.5,42611.9,84147.9,
71,211955,167362,196941,122944,145188,87934.1,63552.9,115067,155377,185853,171504,203339,134232,204299,202834,204507,210565,211098,28979.6,54511.9,47107.3,53685.4,207528,209829,198433,29917,43962.3,86069,
72,211974,168804,197432,123963,146736,89889,65549.3,117314,155856,186779,173067,203752,135880,204681,203382,204910,210663,211162,30086.8,56079.3,48703.3,55319.3,207635,209946,199008,30677.6,45343.9,88001.7,
73,211991,170211,197900,124960,148255,91853.5,67581.5,119553,156325,187679,174585,204147,137504,205045,203898,205293,210755,211223,31231.1,57671.2,50339.2,56979.9,207735,210058,199561,31459.1,46756.8,89944.7,
74,212007,171583,198346,125936,149748,93826.2,69648.3,121781,156784,188553,176058,204525,139105,205393,204383,205656,210843,211280,32413.3,59287.1,52014.9,58666.5,207828,210165,200091,32261.9,48201.1,91896.9,
75,212021,172921,198771,126891,151212,95805.8,71748.5,123997,157233,189401,177487,204887,140682,205724,204839,206001,210925,211335,33634.3,60926.6,53730.5,60378.5,207915,210266,200599,33086.7,49676.5,93856.9,
76,212035,174224,199175,127827,152648,97790.9,73880.7,126199,157673,190225,178872,205233,142233,206040,205268,206327,211003,211386,34894.6,62589.3,55485.6,62115.3,207997,210363,201086,33934,51183.1,95823.4,
