time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,5.58256e-10,2.41746e-11,4.44036e-11,7.97412e-12,3.24795e-11,5.4001e-12,2.94437e-12,1.82843e-11,1.60982e-10,1.619e-10,7.0998e-11,3.89036e-10,4.33831e-11,2.08481e-10,2.80106e-11,1.01636e-10,4.60699e-10,5.83745e-10,4.34656e-13,1.41156e-12,1.3665e-12,9.84634e-13,1.74083e-10,5.75064e-10,1.84918e-10,1.62581e-12,1.56116e-12,5.1978e-12,
1,5.85832e-10,2.83039e-11,5.16913e-11,9.42487e-12,3.65518e-11,6.23079e-12,3.39113e-12,2.05417e-11,1.85613e-10,1.76192e-10,7.73778e-11,4.02313e-10,4.87038e-11,2.26331e-10,3.18995e-11,1.13254e-10,4.82173e-10,6.03219e-10,5.13946e-13,1.70071e-12,1.59467e-12,1.20194e-12,1.96382e-10,5.90358e-10,1.98569e-10,1.92408e-12,1.83675e-12,6.00183e-12,
2,6.11218e-10,3.21746e-11,5.87723e-11,1.07601e-11,3.91987e-11,6.71344e-12,3.63289e-12,2.19274e-11,2.02285e-10,1.87558e-10,8.14144e-11,4.118e-10,5.19806e-11,2.41716e-10,3.54951e-11,1.23917e-10,5.0144e-10,6.20209e-10,5.55782e-13,1.9064e-12,1.71566e-12,1.3701e-12,2.18183e-10,6.02602e-10,2.09179e-10,2.15873e-12,1.98288e-12,6.46782e-12,
3,6.35806e-10,3.65031e-11,6.67091e-11,1.22661e-11,4.19435e-11,7.20987e-12,3.87882e-12,2.33578e-11,2.18942e-10,1.99241e-10,8.55922e-11,4.21357e-10,5.53476e-11,2.57666e-10,3.95022e-11,1.35439e-10,5.20728e-10,6.36805e-10,5.98187e-13,2.13038e-12,1.83816e-12,1.55637e-12,2.41546e-10,6.1469e-10,2.20157e-10,2.41651e-12,2.13054e-12,6.94688e-12,
4,6.59416e-10,4.13449e-11,7.55952e-11,1.3969e-11,4.4853e-11,7.73974e-12,4.13878e-12,2.48634e-11,2.35918e-10,2.11258e-10,8.99711e-11,4.31015e-10,5.8884e-11,2.74171e-10,4.39796e-11,1.4788e-10,5.39968e-10,6.52957e-10,6.43587e-13,2.37993e-12,1.96836e-12,1.76596e-12,2.6643e-10,6.26609e-10,2.31543e-10,2.70432e-12,2.28811e-12,7.45828e-12,
5,6.81889e-10,4.67393e-11,8.55054e-11,1.58897e-11,4.79352e-11,8.30565e-12,4.41357e-12,2.64466e-11,2.53079e-10,2.2357e-10,9.45591e-11,4.40765e-10,6.25942e-11,2.91186e-10,4.89814e-11,1.61276e-10,5.59079e-10,6.68609e-10,6.92263e-13,2.65757e-12,2.10687e-12,2.00123e-12,2.92726e-10,6.38339e-10,2.4333e-10,3.02523e-12,2.45654e-12,8.00457e-12,
6,7.03092e-10,5.27229e-11,9.65096e-11,1.80501e-11,5.11958e-11,8.90956e-12,4.70371e-12,2.8109e-11,2.70256e-10,2.36139e-10,9.93631e-11,4.50599e-10,6.64795e-11,3.08657e-10,5.4567e-11,1.75659e-10,5.77979e-10,6.83715e-10,7.44411e-13,2.96569e-12,2.25412e-12,2.26449e-12,3.20286e-10,6.49858e-10,2.55512e-10,3.3822e-12,2.63645e-12,8.58765e-12,
7,7.22925e-10,5.93281e-11,1.08671e-10,2.04727e-11,5.46406e-11,9.55352e-12,5.00975e-12,2.98521e-11,2.87281e-10,2.4892e-10,1.0439e-10,4.60509e-10,7.05412e-11,3.26528e-10,6.0801e-11,1.91048e-10,5.96589e-10,6.98232e-10,8.00227e-13,3.3067e-12,2.41051e-12,2.55806e-12,3.48923e-10,6.61144e-10,2.68077e-10,3.7782e-12,2.82848e-12,9.20953e-12,
8,7.41321e-10,6.65813e-11,1.22041e-10,2.31804e-11,5.82755e-11,1.02398e-11,5.33224e-12,3.16774e-11,3.03995e-10,2.61872e-10,1.09647e-10,4.70485e-10,7.478e-11,3.44736e-10,6.77536e-11,2.07458e-10,6.1483e-10,7.12126e-10,8.5992e-13,3.68297e-12,2.57651e-12,2.88422e-12,3.78417e-10,6.72178e-10,2.81013e-10,4.21623e-12,3.03333e-12,9.87239e-12,
9,7.58245e-10,7.45016e-11,1.3666e-10,2.61962e-11,6.21069e-11,1.09708e-11,5.6718e-12,3.35865e-11,3.20256e-10,2.74948e-10,1.1514e-10,4.80518e-10,7.9197e-11,3.63215e-10,7.54999e-11,2.24888e-10,6.3263e-10,7.2537e-10,9.23707e-13,4.09676e-12,2.7526e-12,3.24515e-12,4.08518e-10,6.82944e-10,2.94304e-10,4.69917e-12,3.25179e-12,1.05786e-11,
10,7.73694e-10,8.30986e-11,1.52547e-10,2.95427e-11,6.61419e-11,1.17492e-11,6.02907e-12,3.5581e-11,3.35945e-10,2.88106e-10,1.20877e-10,4.90596e-10,8.37928e-11,3.81896e-10,8.41199e-11,2.43326e-10,6.49919e-10,7.37944e-10,9.91815e-13,4.55021e-12,2.93934e-12,3.6429e-12,4.38957e-10,6.93423e-10,3.07933e-10,5.22977e-12,3.48469e-12,1.13308e-11,
11,7.87693e-10,9.2371e-11,1.69703e-10,3.32416e-11,7.0388e-11,1.25781e-11,6.40477e-12,3.76628e-11,3.50968e-10,3.01303e-10,1.26862e-10,5.00711e-10,8.85686e-11,4.00708e-10,9.36973e-11,2.62746e-10,6.66635e-10,7.49836e-10,1.06448e-12,5.04527e-12,3.13732e-12,4.07931e-12,4.69452e-10,7.03603e-10,3.2188e-10,5.81053e-12,3.73298e-12,1.2132e-11,
12,8.00292e-10,1.02305e-10,1.88106e-10,3.73134e-11,7.48533e-11,1.34606e-11,6.79966e-12,3.98338e-11,3.65258e-10,3.14498e-10,1.33103e-10,5.1085e-10,9.35253e-11,4.1958e-10,1.04319e-10,2.83103e-10,6.82724e-10,7.61042e-10,1.14196e-12,5.58364e-12,3.34719e-12,4.556e-12,4.99716e-10,7.1347e-10,3.3612e-10,6.44366e-12,3.9977e-12,1.29851e-11,
13,8.11557e-10,1.12876e-10,2.07706e-10,4.17765e-11,7.95466e-11,1.44003e-11,7.2146e-12,4.20961e-11,3.78777e-10,3.27653e-10,1.39605e-10,5.21002e-10,9.86643e-11,4.38441e-10,1.16072e-10,3.04337e-10,6.98138e-10,7.71562e-10,1.2245e-12,6.16674e-12,3.56967e-12,5.07427e-12,5.29471e-10,7.23013e-10,3.5063e-10,7.13094e-12,4.27998e-12,1.38939e-11,
14,8.21571e-10,1.24042e-10,2.28428e-10,4.66473e-11,8.44769e-11,1.54012e-11,7.65052e-12,4.44524e-11,3.91511e-10,3.40733e-10,1.46374e-10,5.31157e-10,1.03987e-10,4.57224e-10,1.29043e-10,3.26369e-10,7.1284e-10,7.81405e-10,1.31237e-12,6.79569e-12,3.80553e-12,5.63514e-12,5.58454e-10,7.32224e-10,3.65382e-10,7.87372e-12,4.58106e-12,1.4862e-11,
15,8.30424e-10,1.35754e-10,2.50171e-10,5.19393e-11,8.96536e-11,1.64673e-11,8.10847e-12,4.69052e-11,4.03469e-10,3.53706e-10,1.53413e-10,5.41302e-10,1.09494e-10,4.75863e-10,1.43314e-10,3.49102e-10,7.268e-10,7.90583e-10,1.40587e-12,7.47131e-12,4.05564e-12,6.23931e-12,5.86425e-10,7.41096e-10,3.80347e-10,8.67278e-12,4.90228e-12,1.58934e-11,
16,8.38213e-10,1.47949e-10,2.72809e-10,5.76634e-11,9.50862e-11,1.76032e-11,8.58957e-12,4.94575e-11,4.14676e-10,3.66545e-10,1.60728e-10,5.51425e-10,1.15187e-10,4.94293e-10,1.58961e-10,3.72422e-10,7.39999e-10,7.99115e-10,1.50529e-12,8.19412e-12,4.3209e-12,6.8872e-12,6.13176e-10,7.49623e-10,3.95492e-10,9.52834e-12,5.24508e-12,1.69927e-11,
17,8.45035e-10,1.60555e-10,2.96197e-10,6.3827e-11,1.00784e-10,1.88137e-11,9.09509e-12,5.21129e-11,4.25174e-10,3.79227e-10,1.68323e-10,5.61515e-10,1.21068e-10,5.12458e-10,1.76048e-10,3.96199e-10,7.52425e-10,8.07023e-10,1.61093e-12,8.96441e-12,4.60234e-12,7.57895e-12,6.38535e-10,7.57804e-10,4.10787e-10,1.044e-11,5.61102e-12,1.81644e-11,
18,8.50988e-10,1.73497e-10,3.20171e-10,7.04346e-11,1.06757e-10,2.01038e-11,9.62639e-12,5.48748e-11,4.35012e-10,3.9173e-10,1.762e-10,5.7156e-10,1.27137e-10,5.30303e-10,1.94623e-10,4.20292e-10,7.64077e-10,8.14331e-10,1.72314e-12,9.78226e-12,4.90101e-12,8.31455e-12,6.62369e-10,7.65636e-10,4.26195e-10,1.14069e-11,6.00176e-12,1.94136e-11,
