time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,6.41038e+06,64082.8,177120,34303.9,141819,9446.86,8184.88,74424.8,39932.1,447827,267961,1.78235e+06,45711.2,964187,198193,968212,3.85831e+06,4.78077e+06,1081.76,603.634,4771.64,2033.67,1.50492e+06,3.38694e+06,897316,2728.29,2457.03,9081.12,
2,1.244e+07,141549,389880,76194.4,303275,20500,17722.4,158913,87375.5,940565,560138,3.55608e+06,97734.4,2.01484e+06,428096,2.05344e+06,7.62022e+06,9.34025e+06,2379.38,1351.85,10410.4,4593.28,3.20997e+06,6.6681e+06,1.85481e+06,6047.48,5387.06,19713.9,
3,1.80562e+07,232666,639785,125721,478579,32595,28083.6,250216,140695,1.47055e+06,867899,5.30405e+06,154068,3.13942e+06,688938,3.24624e+06,1.12635e+07,1.36584e+07,3807.58,2219.13,16566.9,7615.51,5.10443e+06,9.8263e+06,2.85668e+06,9896.98,8599.37,31351,
4,2.32473e+07,339618,932700,184204,668432,45787.7,39301.6,348649,200117,2.03851e+06,1.19174e+06,7.02615e+06,214915,4.3382e+06,984886,4.55295e+06,1.47836e+07,1.77333e+07,5372.86,3222.25,23261.5,11173.6,7.19051e+06,1.28615e+07,3.90282e+06,14355.9,12105,44045.7,
5,2.80055e+07,464900,1.27523e+06,253194,873814,60169.5,51435.8,454640,265909,2.64498e+06,1.53236e+06,8.72234e+06,280561,5.61062e+06,1.32072e+06,5.97929e+06,1.81756e+07,2.15642e+07,7088.02,4382.56,30535.7,15358,9.46523e+06,1.57737e+07,4.99301e+06,19521.8,15928.5,57886.5,
6,3.23281e+07,611275,1.67462e+06,334476,1.09572e+06,75838.6,64548.3,568620,338250,3.29011e+06,1.89046e+06,1.03926e+07,351292,6.95513e+06,1.7018e+06,7.52992e+06,2.14341e+07,2.51516e+07,8967.06,5724.4,38434.1,20272.5,1.19193e+07,1.85632e+07,6.12675e+06,25506.8,20096.4,72968.3,
7,3.62187e+07,781770,2.13871e+06,430083,1.33515e+06,92898.1,78702.8,691012,417215,3.97367e+06,2.26675e+06,1.20367e+07,427397,8.36914e+06,2.13414e+06,9.20801e+06,2.45539e+07,2.8497e+07,11025.1,7275.21,47003.2,26034.4,1.45369e+07,2.12305e+07,7.30321e+06,32437.7,24636.8,89390.8,
8,3.96874e+07,979642,2.67581e+06,542321,1.59309e+06,111457,93964.1,822234,502768,4.69503e+06,2.66192e+06,1.36545e+07,509157,9.84896e+06,2.62446e+06,1.10149e+07,2.75298e+07,3.16037e+07,13278.1,9065.69,56291.6,32775.5,1.7295e+07,2.37765e+07,8.52121e+06,40457.8,29579.1,107259,
9,4.27508e+07,1.20833e+06,3.2945e+06,673775,1.87054e+06,131630,110399,962695,594763,5.45316e+06,3.07666e+06,1.52459e+07,596852,1.13899e+07,3.18015e+06,1.29496e+07,3.0357e+07,3.44765e+07,15743.6,11129.9,66350.2,40642.5,2.01648e+07,2.6202e+07,9.77921e+06,49727.6,34954.8,126685,
10,4.54312e+07,1.47137e+06,4.00337e+06,827324,2.16845e+06,153539,128075,1.11279e+06,692953,6.24664e+06,3.51166e+06,1.68105e+07,690755,1.29861e+07,3.80934e+06,1.50084e+07,3.30314e+07,3.71215e+07,18439.9,13505.3,77232,49797,2.31117e+07,2.85083e+07,1.10753e+07,60425.3,40797.3,147785,
11,4.77558e+07,1.77231e+06,4.8107e+06,1.00614e+06,2.48782e+06,177314,147062,1.27291e+06,797010,7.07368e+06,3.96758e+06,1.83481e+07,791137,1.4631e+07,4.52088e+06,1.71849e+07,3.55498e+07,3.95464e+07,21386.9,16232.6,88993.3,60415,2.60975e+07,3.06972e+07,1.24072e+07,72746.9,47142.1,170687,
12,4.97549e+07,2.11458e+06,5.72402e+06,1.21366e+06,2.82962e+06,203094,167430,1.44341e+06,906545,7.93218e+06,4.44506e+06,1.98584e+07,898261,1.63172e+07,5.3242e+06,1.94691e+07,3.79099e+07,4.17602e+07,24605.5,19355.4,101693,72685.3,2.90817e+07,3.27704e+07,1.37724e+07,86906,54027.8,195525,
13,5.14609e+07,2.50133e+06,6.74966e+06,1.4536e+06,3.19483e+06,231031,189254,1.62467e+06,1.02113e+06,8.81976e+06,4.94471e+06,2.13409e+07,1.01239e+06,1.80365e+07,6.22929e+06,2.18475e+07,4.01109e+07,4.3773e+07,28118.1,22920,115395,86808.1,3.20236e+07,3.47302e+07,1.51678e+07,103133,61495.9,222445,
14,5.29065e+07,2.9353e+06,7.89225e+06,1.72986e+06,3.58445e+06,261287,212608,1.81702e+06,1.14033e+06,9.73384e+06,5.4671e+06,2.27954e+07,1.13379e+06,1.97804e+07,7.24642e+06,2.43033e+07,4.21531e+07,4.55958e+07,31948.4,26974.8,130166,102993,3.48842e+07,3.65791e+07,1.65901e+07,121671,69591.5,251606,
15,5.41237e+07,3.41862e+06,9.15421e+06,2.04654e+06,3.99948e+06,294039,237572,2.02081e+06,1.2637e+06,1.06717e+07,6.01278e+06,2.42214e+07,1.26271e+06,2.154e+07,8.38586e+06,2.68163e+07,4.40384e+07,4.72403e+07,36121.4,31569.7,146079,121453,3.7628e+07,3.83199e+07,1.80358e+07,142777,78364,283180,
16,5.5143e+07,3.9527e+06,1.05353e+07,2.40781e+06,4.44094e+06,329482,264227,2.23636e+06,1.39082e+06,1.16304e+07,6.58223e+06,2.56185e+07,1.3994e+06,2.33065e+07,9.65752e+06,2.93632e+07,4.57698e+07,4.87186e+07,40663.6,36755.1,163212,142408,4.02246e+07,3.99558e+07,1.9501e+07,166716,87867.2,317355,
17,5.59923e+07,4.53809e+06,1.20326e+07,2.81787e+06,4.90985e+06,367826,292660,2.46401e+06,1.52132e+06,1.2607e+07,7.17589e+06,2.69863e+07,1.54414e+06,2.50709e+07,1.10704e+07,3.19184e+07,4.7352e+07,5.00429e+07,45602.7,42581.7,181648,166072,4.26496e+07,4.149e+07,2.09815e+07,193755,98160.2,354335,
18,5.66971e+07,5.17444e+06,1.36397e+07,3.28085e+06,5.40722e+06,409300,322962,2.70408e+06,1.65484e+06,1.35988e+07,7.79413e+06,2.83244e+07,1.69717e+06,2.68245e+07,1.2632e+07,3.44545e+07,4.87907e+07,5.12255e+07,50967.7,49099.3,201479,192658,4.48855e+07,4.29262e+07,2.2473e+07,224163,109307,394343,
19,5.72798e+07,5.86047e+06,1.53475e+07,3.80072e+06,5.93405e+06,454155,355230,2.95689e+06,1.7911e+06,1.46029e+07,8.43725e+06,2.96323e+07,1.85875e+06,2.85592e+07,1.43476e+07,3.69436e+07,5.00925e+07,5.22785e+07,56789,56356.7,222804,222372,4.69217e+07,4.4268e+07,2.39711e+07,258203,121379,437624,
20,5.77602e+07,6.59403e+06,1.71443e+07,4.38121e+06,6.49132e+06,502662,389566,3.22276e+06,1.92982e+06,1.56165e+07,9.10548e+06,3.09095e+07,2.02913e+06,3.02672e+07,1.62194e+07,3.9358e+07,5.1265e+07,5.32135e+07,63098.6,64401.3,245728,255412,4.87544e+07,4.55194e+07,2.54712e+07,296128,134452,484440,
21,5.81552e+07,7.37223e+06,1.90157e+07,5.0257e+06,7.07995e+06,555116,426081,3.50203e+06,2.07079e+06,1.66369e+07,9.79896e+06,3.21558e+07,2.20856e+06,3.19415e+07,1.82455e+07,4.16718e+07,5.23165e+07,5.40416e+07,69930.1,73279,270369,291968,5.03858e+07,4.66844e+07,2.69685e+07,338179,148611,535080,
22,5.84793e+07,8.19158e+06,2.09459e+07,5.73717e+06,7.7008e+06,611837,464893,3.79503e+06,2.21382e+06,1.76618e+07,1.05178e+07,3.33707e+07,2.39729e+06,3.35755e+07,2.04197e+07,4.38617e+07,5.32556e+07,5.47735e+07,77318.8,83034.3,296850,332223,5.18232e+07,4.77671e+07,2.84585e+07,384578,163947,589853,
23,5.87447e+07,9.04814e+06,2.29179e+07,6.51811e+06,8.35464e+06,673170,506128,4.1021e+06,2.35878e+06,1.86887e+07,1.12618e+07,3.45539e+07,2.59555e+06,3.51638e+07,2.27303e+07,4.59083e+07,5.40909e+07,5.54189e+07,85302.3,93711,325309,376354,5.30776e+07,4.87716e+07,2.99366e+07,435525,180559,649098,
24,5.89618e+07,9.93776e+06,2.49145e+07,7.37046e+06,9.04216e+06,739489,549924,4.42359e+06,2.50553e+06,1.97156e+07,1.2031e+07,3.57049e+07,2.80358e+06,3.67013e+07,2.51599e+07,4.77967e+07,5.48314e+07,5.59871e+07,93920.5,105353,355891,424536,5.41631e+07,4.97021e+07,3.13982e+07,491199,198556,713175,
25,5.91391e+07,1.08562e+07,2.69184e+07,8.29554e+06,9.7639e+06,811195,596426,4.75986e+06,2.65398e+06,2.07403e+07,1.2825e+07,3.68236e+07,3.02159e+06,3.81841e+07,2.76856e+07,4.95171e+07,5.54855e+07,5.64863e+07,103216,118003,388757,476942,5.50951e+07,5.05628e+07,3.28389e+07,551749,218053,782478,
26,5.92838e+07,1.17993e+07,2.89133e+07,9.29399e+06,1.05203e+07,888721,645794,5.11127e+06,2.80406e+06,2.17611e+07,1.36434e+07,3.79096e+07,3.24979e+06,3.9609e+07,3.02789e+07,5.10649e+07,5.60617e+07,5.69244e+07,113235,131708,424078,533750,5.58899e+07,5.13577e+07,3.42545e+07,617298,239179,857428,
27,5.94018e+07,1.2763e+07,3.08839e+07,1.03658e+07,1.13115e+07,972529,698197,5.4782e+06,2.9557e+06,2.27763e+07,1.44858e+07,3.89627e+07,3.48837e+06,4.09733e+07,3.29066e+07,5.24406e+07,5.65677e+07,5.73083e+07,124026,146513,462039,595144,5.65636e+07,5.20908e+07,3.56412e+07,687941,262071,938475,
28,5.94979e+07,1.37437e+07,3.28164e+07,1.151e+07,1.21377e+07,1.06312e+06,753818,5.86101e+06,3.10885e+06,2.37845e+07,1.53516e+07,3.99827e+07,3.7375e+06,4.22754e+07,3.55326e+07,5.36489e+07,5.70111e+07,5.76443e+07,135643,162470,502843,661318,5.71317e+07,5.27661e+07,3.69951e+07,763737,286876,1.0261e+06,
29,5.95762e+07,1.47379e+07,3.46987e+07,1.27252e+07,1.29986e+07,1.16101e+06,812856,6.2601e+06,3.26348e+06,2.47841e+07,1.62398e+07,4.09696e+07,3.99733e+06,4.35141e+07,3.81186e+07,5.46984e+07,5.73987e+07,5.7938e+07,148143,179630,546705,732477,5.76086e+07,5.33874e+07,3.8313e+07,844718,313755,1.12083e+06,
30,5.96399e+07,1.57426e+07,3.65203e+07,1.40088e+07,1.38941e+07,1.26679e+06,875523,6.67585e+06,3.41954e+06,2.57741e+07,1.71498e+07,4.19233e+07,4.26799e+06,4.4689e+07,4.06269e+07,5.56003e+07,5.77369e+07,5.81946e+07,161588,198051,593860,808840,5.80074e+07,5.39583e+07,3.95919e+07,930882,342880,1.22321e+06,
31,5.96917e+07,1.67549e+07,3.82727e+07,1.53576e+07,1.48234e+07,1.38104e+06,942049,7.10863e+06,3.57701e+06,2.67532e+07,1.80803e+07,4.28438e+07,4.5496e+06,4.58001e+07,4.30218e+07,5.63679e+07,5.80313e+07,5.84185e+07,176045,217793,644559,890642,5.83398e+07,5.44823e+07,4.08291e+07,1.0222e+06,374438,1.33384e+06,
32,5.97339e+07,1.77725e+07,3.99489e+07,1.67676e+07,1.57857e+07,1.50441e+06,1.01268e+06,7.55884e+06,3.73585e+06,2.77206e+07,1.90303e+07,4.37312e+07,4.84222e+06,4.68482e+07,4.52722e+07,5.70152e+07,5.82874e+07,5.86138e+07,191586,238922,699073,978135,5.8616e+07,5.49629e+07,4.20222e+07,1.11859e+06,408629,1.45333e+06,
33,5.97682e+07,1.87932e+07,4.15438e+07,1.82336e+07,1.67802e+07,1.63758e+06,1.08768e+06,8.02686e+06,3.89603e+06,2.86754e+07,1.99985e+07,4.45856e+07,5.14592e+06,4.78342e+07,4.73528e+07,5.75564e+07,5.85096e+07,5.87839e+07,208290,261507,757693,1.07159e+06,5.88451e+07,5.54031e+07,4.31695e+07,1.21999e+06,445666,1.58235e+06,
34,5.97961e+07,1.98152e+07,4.30537e+07,1.97502e+07,1.78054e+07,1.78126e+06,1.16734e+06,8.51305e+06,4.05753e+06,2.96167e+07,2.09833e+07,4.54072e+07,5.46072e+06,4.87595e+07,4.92456e+07,5.80056e+07,5.87024e+07,5.89322e+07,226240,285624,820734,1.17129e+06,5.90346e+07,5.58061e+07,4.42695e+07,1.32625e+06,485782,1.7216e+06,
35,5.98188e+07,2.08367e+07,4.44765e+07,2.13109e+07,1.88598e+07,1.93621e+06,1.25196e+06,9.01777e+06,4.22031e+06,3.0544e+07,2.19834e+07,4.61963e+07,5.78661e+06,4.9626e+07,5.09404e+07,5.83759e+07,5.88693e+07,5.90612e+07,245529,311352,888530,1.27755e+06,5.91912e+07,5.61746e+07,4.5321e+07,1.43725e+06,529224,1.87181e+06,
36,5.98372e+07,2.18564e+07,4.58112e+07,2.29086e+07,1.99417e+07,2.10323e+06,1.34187e+06,9.54136e+06,4.38433e+06,3.14566e+07,2.29969e+07,4.69532e+07,6.12359e+06,5.04355e+07,5.24348e+07,5.86791e+07,5.90138e+07,5.91735e+07,266253,338778,961442,1.39069e+06,5.93204e+07,5.65114e+07,4.63235e+07,1.55282e+06,576255,2.03378e+06,
37,5.98522e+07,2.2873e+07,4.70581e+07,2.45357e+07,2.10491e+07,2.28313e+06,1.43743e+06,1.00842e+07,4.54956e+06,3.23539e+07,2.40222e+07,4.76783e+07,6.47157e+06,5.11904e+07,5.37334e+07,5.89261e+07,5.91387e+07,5.92712e+07,288518,367990,1.03986e+06,1.51106e+06,5.94269e+07,5.6819e+07,4.72764e+07,1.67278e+06,627160,2.20831e+06,
38,5.98643e+07,2.38853e+07,4.82183e+07,2.61841e+07,2.21798e+07,2.47679e+06,1.53901e+06,1.06465e+07,4.71595e+06,3.32356e+07,2.50573e+07,4.83721e+07,6.83049e+06,5.18929e+07,5.48465e+07,5.91263e+07,5.92465e+07,5.93562e+07,312436,399085,1.12418e+06,1.63902e+06,5.95146e+07,5.70997e+07,4.81799e+07,1.79695e+06,682241,2.39624e+06,
39,5.98742e+07,2.48924e+07,4.92938e+07,2.78455e+07,2.33314e+07,2.68512e+06,1.64702e+06,1.12285e+07,4.88346e+06,3.41012e+07,2.61004e+07,4.90352e+07,7.20023e+06,5.25455e+07,5.57887e+07,5.92879e+07,5.93397e+07,5.943e+07,338130,432165,1.21486e+06,1.77496e+06,5.95867e+07,5.73558e+07,4.90343e+07,1.92514e+06,741818,2.59848e+06,
40,5.98823e+07,2.58932e+07,5.02875e+07,2.95113e+07,2.45012e+07,2.90903e+06,1.7619e+06,1.18306e+07,5.05205e+06,3.49503e+07,2.71493e+07,4.9668e+07,7.58065e+06,5.31507e+07,5.6577e+07,5.94177e+07,5.942e+07,5.94942e+07,365730,467334,1.31237e+06,1.91927e+06,5.9646e+07,5.75892e+07,4.98403e+07,2.05716e+06,806235,2.81592e+06,
