matrix(560, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289417 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289417 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289417 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289417 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116186 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116185 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116185 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116185 )
( 0.289418 )
( 0 )
( 0 )
( 0.713661 )
( 0.116185 )
( 0.289418 )
( 0 )
( 0.399593 )
( 0.398505 )
( 0.0905835 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905836 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905836 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905837 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905837 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905838 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905839 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173224 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905839 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173225 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.090584 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173225 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905841 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173225 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905841 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173225 )
( 0 )
( 0.398507 )
( 0.399594 )
( 0.398505 )
( 0.0905842 )
( 0.488215 )
( 0.316031 )
( 0.116188 )
( 0.749009 )
( 0.173225 )
