time,Integral
0,0
1,4.89553e-08
2,9.45349e-08
3,1.39801e-07
4,1.84859e-07
5,2.29713e-07
6,2.74361e-07
7,3.18803e-07
8,3.63038e-07
9,4.07064e-07
10,4.50881e-07
11,4.94488e-07
12,5.37884e-07
13,5.81067e-07
14,6.24037e-07
15,6.66793e-07
16,7.09334e-07
17,7.51658e-07
18,7.93765e-07
19,8.35654e-07
20,8.77323e-07
21,9.18771e-07
22,9.59999e-07
23,1.001e-06
24,1.04178e-06
25,1.08234e-06
26,1.12267e-06
27,1.16278e-06
28,1.20265e-06
29,1.2423e-06
30,1.28172e-06
31,1.32091e-06
32,1.35986e-06
33,1.39858e-06
34,1.43707e-06
35,1.47533e-06
36,1.51335e-06
37,1.55113e-06
38,1.58868e-06
39,1.62598e-06
40,1.66305e-06
41,1.69988e-06
42,1.73647e-06
43,1.77281e-06
44,1.80892e-06
45,1.84478e-06
46,1.88039e-06
47,1.91576e-06
48,1.95089e-06
49,1.98577e-06
50,2.0204e-06
51,2.05479e-06
52,2.08893e-06
53,2.12282e-06
54,2.15646e-06
55,2.18985e-06
56,2.22299e-06
57,2.25588e-06
58,2.28852e-06
59,2.32091e-06
60,2.35304e-06
61,2.38493e-06
62,2.41656e-06
63,2.44794e-06
64,2.47907e-06
65,2.50994e-06
66,2.54056e-06
67,2.57093e-06
68,2.60104e-06
69,2.6309e-06
70,2.66051e-06
71,2.68986e-06
72,2.71896e-06
73,2.74781e-06
74,2.7764e-06
75,2.80474e-06
76,2.83283e-06
77,2.86066e-06
78,2.88824e-06
79,2.91557e-06
80,2.94265e-06
81,2.96948e-06
82,2.99605e-06
83,3.02238e-06
84,3.04845e-06
85,3.07428e-06
86,3.09985e-06
87,3.12518e-06
88,3.15026e-06
89,3.17509e-06
90,3.19968e-06
91,3.22402e-06
92,3.24811e-06
93,3.27197e-06
94,3.29557e-06
95,3.31894e-06
96,3.34206e-06
97,3.36495e-06
98,3.38759e-06
99,3.41e-06
100,3.43216e-06
101,3.45409e-06
102,3.44801e-06
103,3.44769e-06
104,3.44768e-06
105,3.44768e-06
106,3.44768e-06
107,3.44768e-06
108,3.44768e-06
109,3.44768e-06
110,3.44768e-06
111,3.44768e-06
112,3.44768e-06
113,3.44768e-06
114,3.44768e-06
115,3.44768e-06
116,3.44768e-06
117,3.44768e-06
118,3.44768e-06
119,3.44768e-06
120,3.44768e-06
121,3.44768e-06
122,3.44768e-06
123,3.44768e-06
124,3.44768e-06
125,3.44768e-06
126,3.44768e-06
127,3.44768e-06
128,3.44768e-06
129,3.44768e-06
130,3.44768e-06
131,3.44768e-06
132,3.44768e-06
133,3.44768e-06
134,3.44768e-06
135,3.44768e-06
136,3.44768e-06
137,3.44768e-06
138,3.44768e-06
139,3.44768e-06
140,3.44768e-06
141,3.44768e-06
142,3.44768e-06
143,3.44768e-06
144,3.44768e-06
145,3.44768e-06
146,3.44768e-06
147,3.44768e-06
148,3.44768e-06
149,3.44768e-06
150,3.44768e-06
151,3.44768e-06
152,3.44768e-06
153,3.44768e-06
154,3.44768e-06
155,3.44768e-06
156,3.44768e-06
157,3.44768e-06
158,3.44768e-06
159,3.44768e-06
160,3.44768e-06
161,3.44768e-06
162,3.44768e-06
163,3.44768e-06
164,3.44768e-06
165,3.44768e-06
166,3.44768e-06
167,3.44768e-06
168,3.44768e-06
169,3.44768e-06
170,3.44768e-06
171,3.44768e-06
172,3.44768e-06
173,3.44768e-06
174,3.44768e-06
175,3.44768e-06
176,3.44768e-06
177,3.44768e-06
178,3.44768e-06
179,3.44768e-06
180,3.44768e-06
181,3.44768e-06
182,3.44768e-06
183,3.44768e-06
184,3.44768e-06
185,3.44768e-06
186,3.44768e-06
187,3.44768e-06
188,3.44768e-06
189,3.44768e-06
190,3.44768e-06
191,3.44768e-06
192,3.44768e-06
193,3.44768e-06
194,3.44768e-06
195,3.44768e-06
196,3.44768e-06
197,3.44768e-06
198,3.44768e-06
199,3.44768e-06
200,3.44768e-06
