time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,211315,98029,195435,131134,97198.8,58784.7,26543.4,36276.9,120788,110943,52586,130006,49152.7,174014,183702,185269,210038,210729,28887.9,28232,30032,23411.2,204309,190153,143007,22815.5,26533.9,57522.5,
1,212155,103259,201479,137429,103654,64434,29610.5,39538.2,129078,114996,56010.7,133059,52788,177830,189702,189747,211669,211794,32817.1,31747.8,33699.3,26295.9,207626,191716,147131,25079.1,29854.6,63111,
2,212159,104589,201720,137799,104639,65483.6,30424.2,40539.4,129896,116335,57314.4,134381,53727,178446,190131,190134,211687,211811,33680,32592.8,34537.4,27052.3,207696,192017,147896,25505.1,30568.2,64152.3,
3,212159,105816,201843,137999,105414,66314.4,31140.9,41474.1,130260,117631,58586.9,135680,54580.9,179021,190465,190467,211697,211823,34361.2,33296.1,35228.5,27703.4,207715,192308,148609,25827.3,31133.7,64974.6,
4,212160,107045,201961,138192,106181,67143.4,31867.9,42423.6,130598,118929,59877.8,136975,55444.6,179588,190794,190797,211706,211834,35045.8,34005.7,35925.2,28362.8,207732,192595,149316,26150.5,31701.9,65795.2,
5,212160,108276,202076,138386,106950,67979.8,32608.8,43390.3,130934,120228,61187.8,138265,56321.1,180148,191120,191123,211715,211846,35742.1,34728.1,36633.9,29035.5,207749,192878,150020,26480.3,32280.2,66623.2,
6,212161,109511,202188,138579,107719,68823.8,33364,44374.1,131271,121528,62516.7,139550,57210.5,180701,191443,191446,211723,211857,36450.7,35463.5,37354.9,29721.7,207766,193159,150719,26816.8,32868.9,67459.1,
7,212161,110748,202298,138772,108489,69675.5,34133.4,45375.1,131608,122829,63864.2,140829,58113.1,181246,191763,191766,211732,211868,37171.6,36212,38088.3,30421.6,207782,193435,151414,27160.5,33468.2,68302.8,
8,212162,111988,202406,138965,109260,70534.9,34917.2,46393.3,131947,124131,65230.1,142103,59028.6,181785,192080,192083,211741,211879,37904.9,36973.8,38834.3,31135.3,207799,193709,152104,27511.3,34078.3,69154.3,
9,212162,113230,202511,139158,110032,71401.8,35715.4,47428.6,132285,125432,66614,143370,59957.3,182315,192393,192396,211749,211890,38650.7,37748.9,39592.9,31862.9,207816,193979,152790,27869.5,34699.3,70013.6,
10,212162,114473,202614,139352,110805,72276.3,36528.1,48481.1,132625,126734,68015.8,144630,60898.9,182839,192703,192706,211758,211900,39409,38537.2,40364,32604.4,207832,194246,153471,28235.1,35331.4,70880.7,
11,212163,115718,202715,139545,111578,73158.4,37355.3,49550.6,132964,128034,69435,145883,61853.6,183355,193010,193012,211766,211910,40180,39339,41147.9,33360,207849,194509,154149,28608.5,35974.7,71755.5,
12,212163,116964,202814,139739,112353,74047.8,38196.9,50637.1,133305,129333,70871.3,147128,62821.3,183864,193313,193315,211775,211920,40963.5,40154.1,41944.4,34129.8,207865,194769,154821,28989.8,36629.4,72638,
13,212164,118211,202911,139934,113128,74944.7,39053.1,51740.5,133645,130630,72324.2,148365,63802,184366,193613,193615,211783,211930,41759.7,40982.6,42753.8,34913.7,207882,195026,155489,29379.1,37295.6,73528.1,
14,212164,119457,203005,140129,113904,75849,39923.9,52860.6,133987,131925,73793.4,149593,64795.6,184861,193909,193912,211791,211939,42568.6,41824.6,43575.8,35712,207898,195280,156152,29776.6,37973.4,74425.8,
15,212165,120704,203098,140325,114680,76760.5,40809.1,53997.5,134328,133217,75278.4,150812,65802,185349,194202,194205,211799,211948,43390.2,42679.9,44410.7,36524.5,207915,195530,156811,30182.4,38663,75331,
16,212165,121950,203188,140522,115457,77679.2,41708.7,55150.8,134671,134506,76778.7,152022,66821.1,185829,194492,194495,211807,211958,44224.6,43548.6,45258.4,37351.4,207931,195777,157465,30596.9,39364.4,76243.6,
17,212165,123195,203277,140719,116234,78605,42622.8,56320.4,135013,135791,78293.9,153222,67852.9,186303,194778,194781,211815,211966,45071.6,44430.8,46118.8,38192.7,207947,196021,158114,31020.1,40077.9,77163.7,
18,212166,124438,203364,140918,117012,79537.8,43551.3,57506.2,135356,137072,79823.3,154411,68897.2,186769,195061,195064,211823,211975,45931.3,45326.2,46992,39048.5,207963,196262,158759,31452.2,40803.5,78091.1,
19,212166,125680,203449,141118,117790,80477.6,44494.1,58707.8,135700,138349,81366.5,155590,69953.9,187229,195341,195343,211830,211983,46803.7,46235,47877.9,39918.6,207979,196500,159398,31893.5,41541.5,79025.7,
20,212167,126920,203532,141318,118568,81424.2,45451,59925.2,136043,139621,82922.9,156758,71022.9,187681,195617,195619,211838,211992,47688.8,47156.9,48776.5,40803.1,207995,196735,160033,32344,42291.8,79967.5,
21,212167,128158,203614,141520,119346,82377.6,46422.1,61158,136388,140887,84491.9,157915,72103.9,188127,195890,195892,211845,212000,48586.4,48092,49687.8,41702,208011,196967,160663,32804.1,43054.6,80916.3,
22,212168,129392,203693,141724,120125,83337.5,47407.2,62405.9,136732,142147,86072.8,159060,73196.9,188566,196159,196161,211853,212008,49496.6,49040.2,50611.6,42615.3,208027,197195,161289,33273.8,43830,81872.1,
23,212168,130624,203772,141929,120904,84304,48406.1,63668.7,137077,143401,87665,160192,74301.7,188998,196425,196427,211860,212015,50419.3,50001.3,51548,43542.9,208043,197421,161909,33753.4,44618.1,82834.8,
24,212169,131852,203849,142135,121683,85276.9,49418.7,64946,137422,144649,89267.8,161313,75417.9,189423,196687,196689,211867,212023,51354.3,50975.3,52496.7,44484.8,208059,197644,162524,34243.1,45419,83804.2,
25,212169,133075,203924,142343,122461,86256,50444.9,66237.5,137767,145889,90880.6,162421,76545.5,189841,196946,196949,211874,212030,52301.6,51962,53457.8,45440.9,208075,197863,163135,34743,46232.8,84780.3,
26,212169,134295,203998,142553,123240,87241.2,51484.4,67542.8,138113,147121,92502.6,163515,77684.2,190253,197202,197204,211881,212037,53261.2,52961.3,54431,46411.1,208091,198080,163740,35253.3,47059.6,85762.9,
27,212170,135510,204070,142765,124018,88232.4,52537.1,68861.6,138459,148346,94133.1,164597,78833.7,190659,197454,197457,211888,212044,54232.8,53973,55416.3,47395.3,208106,198294,164341,35774.3,47899.5,86751.8,
28,212170,136719,204141,142979,124796,89229.4,53602.8,70193.4,138805,149562,95771.4,165665,79993.8,191057,197703,197705,211895,212051,55216.3,54996.9,56413.6,48393.4,208122,198505,164937,36306.2,48752.5,87747.1,
29,212171,137923,204210,143194,125574,90232,54681.2,71537.9,139151,150769,97416.7,166720,81164.1,191450,197949,197951,211902,212057,56211.6,56033,57422.7,49405.4,208138,198714,165527,36849,49618.7,88748.4,
30,212171,139121,204279,143412,126351,91240.1,55772.1,72894.5,139497,151967,99068.2,167760,82344.5,191836,198191,198193,211908,212064,57218.6,57080.9,58443.4,50430.9,208153,198919,166113,37403.1,50498.1,89755.6,
31,212172,140313,204346,143633,127127,92253.6,56875.2,74262.9,139843,153155,100725,168786,83534.5,192215,198430,198432,211915,212070,58237.1,58140.5,59475.5,51470,208169,199122,166694,37968.6,51390.8,90768.7,
32,212172,141498,204412,143855,127903,93272.2,57990.3,75642.5,140190,154333,102387,169798,84733.8,192589,198666,198668,211921,212076,59266.8,59211.5,60518.9,52522.5,208184,199322,167269,38545.6,52296.9,91787.4,
33,212172,142677,204476,144081,128679,94295.7,59117,77032.9,140536,155501,104052,170796,85942.2,192956,198898,198900,211928,212082,60307.6,60293.7,61573.4,53588.1,208200,199519,167840,39134.5,53216.3,92811.5,
34,212173,143848,204540,144308,129453,95324,60255.1,78433.5,140883,156658,105721,171779,87159.2,193317,199127,199129,211934,212088,61359.4,61387,62638.6,54666.6,208215,199714,168406,39735.4,54149.1,93840.9,
35,212173,145011,204602,144539,130227,96356.9,61404.3,79843.7,141229,157804,107391,172746,88384.5,193672,199353,199355,211940,212094,62421.8,62490.9,63714.6,55758,208231,199906,168966,40348.4,55095.3,94875.5,
36,212174,146166,204663,144772,130999,97394.1,62564.2,81263.2,141576,158939,109063,173699,89617.8,194021,199576,199578,211946,212099,63494.6,63605.2,64800.8,56861.9,208246,200095,169522,40973.8,56054.8,95914.9,
37,212174,147314,204724,145008,131771,98435.5,63734.4,82691.2,141922,160061,110735,174637,90858.5,194364,199795,199797,211952,212105,64577.7,64729.7,65897.2,57978.1,208261,200282,170072,41611.7,57027.8,96959,
38,212175,148452,204783,145247,132541,99480.8,64914.7,84127.2,142268,161172,112407,175560,92106.3,194701,200011,200013,211958,212110,65670.7,65864.1,67003.5,59106.4,208277,200466,170617,42262.3,58014.1,98007.6,
39,212175,149581,204841,145490,133310,100530,66104.5,85570.7,142614,162271,114078,176467,93360.8,195032,200224,200226,211964,212115,66773.3,67007.9,68119.3,60246.5,208292,200647,171158,42925.8,59013.7,99060.5,
40,212176,150702,204898,145735,134078,101582,67303.7,87020.9,142960,163356,115747,177359,94621.6,195358,200434,200436,211970,212120,67885.4,68161,69244.4,61398.1,208307,200826,171693,43602.4,60026.6,100117,
41,212176,151812,204955,145984,134844,102638,68511.7,88477.4,143306,164429,117413,178236,95888.2,195678,200641,200643,211976,212125,69006.5,69322.9,70378.5,62561,208322,201003,172223,44292.2,61052.7,101178,
42,212176,152913,205010,146236,135609,103697,69728.1,89939.4,143652,165489,119075,179097,97160.1,195992,200845,200846,211981,212129,70136.5,70493.4,71521.3,63734.9,208337,201177,172748,44995.4,62091.9,102243,
43,212177,154004,205065,146491,136371,104758,70952.5,91406.3,143997,166536,120732,179942,98436.9,196301,201045,201047,211987,212134,71274.9,71672,72672.4,64919.3,208352,201348,173268,45712.1,63144.2,103310,
44,212177,155084,205119,146751,137132,105822,72184.6,92877.6,144342,167569,122384,180773,99718.2,196605,201243,201244,211992,212138,72421.5,72858.4,73831.5,66114.1,208367,201518,173783,46442.6,64209.5,104381,
45,212178,156154,205172,147014,137892,106888,73423.8,94352.4,144686,168588,124030,181587,101003,196903,201437,201439,211997,212143,73575.9,74052.2,74998.3,67318.9,208382,201684,174293,47186.9,65287.6,105455,
46,212178,157213,205224,147280,138649,107956,74669.7,95830.3,145031,169593,125669,182387,102292,197195,201629,201630,212003,212147,74737.7,75253.1,76172.4,68533.3,208397,201849,174798,47945.3,66378.4,106531,
47,212179,158260,205276,147551,139404,109026,75921.8,97310.5,145374,170584,127300,183170,103584,197483,201817,201819,212008,212151,75906.7,76460.6,77353.5,69757,208412,202011,175298,48717.7,67481.8,107610,
48,212179,159296,205327,147826,140157,110097,77179.7,98792.3,145718,171560,128923,183939,104878,197766,202003,202005,212013,212155,77082.5,77674.3,78541.1,70989.6,208427,202171,175793,49504.5,68597.7,108691,
49,212179,160321,205377,148104,140907,111169,78443,100275,146060,172522,130536,184692,106174,198043,202186,202187,212018,212159,78264.6,78893.9,79734.9,72230.7,208442,202328,176283,50305.6,69725.8,109773,
50,212180,161334,205427,148387,141655,112242,79711.1,101758,146403,173470,132139,185430,107472,198315,202366,202367,212023,212163,79452.7,80118.9,80934.5,73479.9,208456,202483,176768,51121.2,70866,110857,
51,212180,162335,205476,148674,142401,113316,80983.5,103241,146744,174402,133732,186152,108771,198583,202543,202544,212028,212166,80646.5,81348.9,82139.6,74736.9,208471,202636,177248,51951.5,72018,111943,
52,212181,163324,205524,148966,143143,114390,82259.8,104723,147085,175320,135312,186860,110070,198845,202717,202719,212033,212170,81845.4,82583.4,83349.6,76001.2,208486,202787,177723,52796.4,73181.8,113029,
53,212181,164300,205572,149262,143883,115464,83539.5,106203,147426,176223,136881,187552,111369,199103,202888,202890,212037,212173,83049.2,83822.1,84564.2,77272.5,208501,202936,178192,53656.2,74357,114116,
54,212182,165264,205619,149562,144621,116538,84822,107681,147765,177111,138436,188230,112668,199357,203057,203059,212042,212177,84257.5,85064.5,85783,78550.3,208515,203082,178657,54530.8,75543.3,115203,
55,212182,166215,205666,149867,145355,117611,86107,109155,148104,177984,139978,188893,113966,199605,203223,203225,212046,212180,85469.7,86310.1,87005.6,79834.1,208530,203227,179117,55420.3,76740.7,116291,
56,212182,167154,205712,150176,146086,118683,87393.9,110626,148442,178842,141506,189541,115262,199849,203386,203388,212051,212183,86685.5,87558.5,88231.5,81123.6,208544,203369,179573,56324.9,77948.7,117378,
57,212183,168080,205758,150491,146813,119754,88682.2,112093,148780,179684,143019,190175,116556,200089,203547,203548,212055,212186,87904.6,88809.4,89460.3,82418.3,208559,203509,180023,57244.5,79167.1,118465,
58,212183,168992,205803,150810,147538,120824,89971.4,113555,149116,180512,144516,190794,117847,200324,203705,203706,212060,212189,89126.3,90062.1,90691.6,83717.8,208573,203647,180468,58179.1,80395.5,119550,
59,212184,169892,205848,151134,148259,121892,91261.1,115012,149452,181324,145998,191399,119136,200554,203861,203862,212064,212192,90350.4,91316.4,91924.9,85021.6,208588,203783,180909,59128.8,81633.8,120635,
60,212184,170778,205892,151463,148976,122957,92550.7,116462,149787,182121,147463,191991,120421,200781,204013,204015,212068,212195,91576.5,92571.7,93159.9,86329.3,208602,203918,181344,60093.7,82881.5,121719,
61,212184,171651,205936,151797,149690,124021,93839.8,117905,150120,182903,148912,192568,121702,201003,204164,204165,212072,212198,92804,93827.6,94396.1,87640.4,208616,204050,181775,61073.6,84138.2,122800,
62,212185,172511,205979,152136,150400,125081,95127.8,119342,150453,183670,150343,193131,122979,201221,204312,204313,212076,212200,94032.6,95083.7,95633,88954.5,208631,204180,182201,62068.6,85403.7,123880,
