time,Integral
0,0
1,1.09253e-07
2,2.1779e-07
3,3.25809e-07
4,4.33306e-07
5,5.40269e-07
6,6.46686e-07
7,7.5254e-07
8,8.57816e-07
9,9.62495e-07
10,1.06656e-06
11,1.16998e-06
12,1.27273e-06
13,1.3748e-06
14,1.47615e-06
15,1.57675e-06
16,1.67658e-06
17,1.7756e-06
18,1.87379e-06
19,1.9711e-06
20,2.06752e-06
21,2.16301e-06
22,2.25753e-06
23,2.35106e-06
24,2.44356e-06
25,2.53501e-06
26,2.62537e-06
27,2.71463e-06
28,2.80277e-06
29,2.88975e-06
30,2.97557e-06
31,3.0602e-06
32,3.14365e-06
33,3.22589e-06
34,3.30694e-06
35,3.38678e-06
36,3.46542e-06
37,3.54286e-06
38,3.61912e-06
39,3.69422e-06
40,3.76815e-06
41,3.84096e-06
42,3.91265e-06
43,3.98324e-06
44,4.05278e-06
45,4.12127e-06
46,4.18875e-06
47,4.25525e-06
48,4.32079e-06
49,4.3854e-06
50,4.44912e-06
51,4.51197e-06
52,4.57398e-06
53,4.63518e-06
54,4.6956e-06
55,4.75525e-06
56,4.81418e-06
57,4.8724e-06
58,4.92993e-06
59,4.9868e-06
60,5.04303e-06
61,5.09864e-06
62,5.15365e-06
63,5.20808e-06
64,5.26194e-06
65,5.31525e-06
66,5.36802e-06
67,5.42027e-06
68,5.47201e-06
69,5.52325e-06
70,5.574e-06
71,5.62428e-06
72,5.67408e-06
73,5.72343e-06
74,5.77231e-06
75,5.82075e-06
76,5.86874e-06
77,5.9163e-06
78,5.96341e-06
79,6.01009e-06
80,6.05635e-06
81,6.10216e-06
82,6.14755e-06
83,6.19251e-06
84,6.23704e-06
85,6.28113e-06
86,6.32479e-06
87,6.36801e-06
88,6.4108e-06
89,6.45313e-06
90,6.49502e-06
91,6.53646e-06
92,6.57744e-06
93,6.61795e-06
94,6.658e-06
95,6.69757e-06
96,6.73666e-06
97,6.77526e-06
98,6.81337e-06
99,6.85097e-06
100,6.88807e-06
101,6.92465e-06
102,6.92044e-06
103,6.92026e-06
104,6.92026e-06
105,6.92026e-06
106,6.92026e-06
107,6.92026e-06
108,6.92026e-06
109,6.92026e-06
110,6.92026e-06
111,6.92026e-06
112,6.92026e-06
113,6.92026e-06
114,6.92026e-06
115,6.92026e-06
116,6.92026e-06
117,6.92026e-06
118,6.92026e-06
119,6.92026e-06
120,6.92026e-06
121,6.92026e-06
122,6.92026e-06
123,6.92026e-06
124,6.92026e-06
125,6.92026e-06
126,6.92026e-06
127,6.92026e-06
128,6.92026e-06
129,6.92026e-06
130,6.92026e-06
131,6.92026e-06
132,6.92026e-06
133,6.92026e-06
134,6.92026e-06
135,6.92026e-06
136,6.92026e-06
137,6.92026e-06
138,6.92026e-06
139,6.92026e-06
140,6.92026e-06
141,6.92026e-06
142,6.92026e-06
143,6.92026e-06
144,6.92026e-06
145,6.92026e-06
146,6.92026e-06
147,6.92026e-06
148,6.92026e-06
149,6.92026e-06
150,6.92026e-06
151,6.92026e-06
152,6.92026e-06
153,6.92026e-06
154,6.92026e-06
155,6.92026e-06
156,6.92026e-06
157,6.92026e-06
158,6.92026e-06
159,6.92026e-06
160,6.92026e-06
161,6.92026e-06
162,6.92026e-06
163,6.92026e-06
164,6.92026e-06
165,6.92026e-06
166,6.92026e-06
167,6.92026e-06
168,6.92026e-06
169,6.92026e-06
170,6.92026e-06
171,6.92026e-06
172,6.92026e-06
173,6.92026e-06
174,6.92026e-06
175,6.92026e-06
176,6.92026e-06
177,6.92026e-06
178,6.92026e-06
179,6.92026e-06
180,6.92026e-06
181,6.92026e-06
182,6.92026e-06
183,6.92026e-06
184,6.92026e-06
185,6.92026e-06
186,6.92026e-06
187,6.92026e-06
188,6.92026e-06
189,6.92026e-06
190,6.92026e-06
191,6.92026e-06
192,6.92026e-06
193,6.92026e-06
194,6.92026e-06
195,6.92026e-06
196,6.92026e-06
197,6.92026e-06
198,6.92026e-06
199,6.92026e-06
200,6.92026e-06
