time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,4.10809e+06,241885,529482,209629,320440,64944.7,50301.5,177428,79460,636397,420061,1.48849e+06,106881,1.1823e+06,691835,1.51495e+06,2.78062e+06,3.11253e+06,17939.5,7897.15,42117.8,24185.7,1.91431e+06,2.37714e+06,1.04671e+06,22741.9,25283.8,63134.8,
2,8.01917e+06,509157,1.10715e+06,443915,671159,138306,107243,372649,167245,1.30301e+06,868765,2.97438e+06,224237,2.40352e+06,1.44064e+06,3.09872e+06,5.49592e+06,6.11474e+06,38751.1,17053.4,90375.9,52388.1,3.89487e+06,4.69746e+06,2.1292e+06,48713.5,54468.5,134515,
3,1.17219e+07,794416,1.72062e+06,695712,1.03577e+06,215409,166918,575751,258782,1.9845e+06,1.33003e+06,4.43975e+06,346354,3.6424e+06,2.22923e+06,4.71874e+06,8.12819e+06,8.99485e+06,60709.1,26851.3,141124,82846.1,5.90843e+06,6.9477e+06,3.22476e+06,76423.1,85245.3,209552,
4,1.522e+07,1.09818e+06,2.3706e+06,965784,1.41387e+06,296162,229239,786585,353769,2.6801e+06,1.80362e+06,5.88429e+06,473132,4.89699e+06,3.05844e+06,6.37182e+06,1.06769e+07,1.17548e+07,83754.4,37292.9,194255,115607,7.948e+06,9.12854e+06,4.33215e+06,105871,117537,288153,
5,1.85179e+07,1.42111e+06,3.05786e+06,1.25511e+06,1.80569e+06,380707,294301,1.00533e+06,452149,3.38922e+06,2.28963e+06,7.30788e+06,604675,6.1654e+06,3.92927e+06,8.05475e+06,1.31416e+07,1.43966e+07,107932,48414.6,249861,150815,1.00065e+07,1.12408e+07,5.45032e+06,137145,151406,370457,
6,2.16206e+07,1.76384e+06,3.78301e+06,1.56467e+06,2.21146e+06,469202,362207,1.23218e+06,553873,4.11123e+06,2.78815e+06,8.71039e+06,741093,7.44567e+06,4.84257e+06,9.76403e+06,1.55223e+07,1.69227e+07,133295,60255.5,308047,188619,1.20768e+07,1.32852e+07,6.57819e+06,170339,186924,456619,
7,2.45338e+07,2.12693e+06,4.54644e+06,1.89545e+06,2.63142e+06,561809,433064,1.46731e+06,658878,4.84548e+06,3.29925e+06,1.00917e+07,882493,8.73577e+06,5.79902e+06,1.14958e+07,1.78189e+07,1.93355e+07,159895,72855.9,368921,229178,1.41511e+07,1.52628e+07,7.71461e+06,205550,224165,546798,
8,2.72636e+07,2.5109e+06,5.34833e+06,2.2484e+06,3.06577e+06,658695,506982,1.71091e+06,767095,5.59125e+06,3.82297e+06,1.14517e+07,1.02898e+06,1.00336e+07,6.7991e+06,1.32459e+07,2.00316e+07,2.16377e+07,187790,86257.6,432594,272651,1.62221e+07,1.71745e+07,8.85842e+06,242875,263206,641160,
9,2.98167e+07,2.91615e+06,6.18857e+06,2.62446e+06,3.51468e+06,760033,584075,1.96316e+06,878443,6.34781e+06,4.35934e+06,1.27903e+07,1.18065e+06,1.13371e+07,7.84303e+06,1.50099e+07,2.21607e+07,2.38319e+07,217037,100503,499183,319205,1.82819e+07,1.90213e+07,1.00084e+07,282411,304129,739873,
10,3.21999e+07,3.34304e+06,7.06684e+06,3.02452e+06,3.97832e+06,865999,664459,2.22422e+06,992836,7.1144e+06,4.90837e+06,1.41073e+07,1.33761e+06,1.2644e+07,8.93079e+06,1.67831e+07,2.42068e+07,2.59213e+07,247697,115638,568808,369007,2.03232e+07,2.08042e+07,1.11633e+07,324258,347017,843112,
11,3.44206e+07,3.79181e+06,7.98248e+06,3.44944e+06,4.45684e+06,976776,748254,2.49427e+06,1.11018e+06,7.89023e+06,5.47004e+06,1.54026e+07,1.49995e+06,1.39523e+07,1.00621e+07,1.85607e+07,2.61705e+07,2.79086e+07,279834,131706,641593,422230,2.23387e+07,2.25244e+07,1.23218e+07,368514,391957,951057,
12,3.64862e+07,4.2626e+06,8.93457e+06,3.9e+06,4.95033e+06,1.09255e+06,835584,2.77348e+06,1.23038e+06,8.67449e+06,6.0443e+06,1.66761e+07,1.66776e+06,1.52596e+07,1.12362e+07,2.03377e+07,2.80527e+07,2.97971e+07,313511,148753,717668,479050,2.43215e+07,2.41831e+07,1.34826e+07,415278,439038,1.06389e+06,
13,3.84043e+07,4.75546e+06,9.92189e+06,4.37692e+06,5.4589e+06,1.21352e+06,926575,3.062e+06,1.35334e+06,9.46636e+06,6.63109e+06,1.79276e+07,1.84113e+06,1.6564e+07,1.24523e+07,2.21089e+07,2.98545e+07,3.15899e+07,348798,166828,797165,539643,2.62649e+07,2.57814e+07,1.46445e+07,464645,488357,1.18181e+06,
