time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,6.57303e-10,7.34123e-11,1.26964e-10,3.61136e-11,7.94415e-11,2.23549e-11,1.3559e-11,4.7826e-11,2.46149e-10,2.53645e-10,1.30813e-10,4.6353e-10,9.14362e-11,3.24392e-10,9.60769e-11,2.10388e-10,5.64017e-10,6.66326e-10,3.78282e-12,8.62564e-12,8.17526e-12,6.75118e-12,3.11192e-10,6.46452e-10,2.84646e-10,7.81626e-12,8.68989e-12,2.1699e-11,
1,6.73383e-10,8.15884e-11,1.39842e-10,4.05115e-11,8.74819e-11,2.52818e-11,1.53623e-11,5.28108e-11,2.72346e-10,2.68978e-10,1.40785e-10,4.76557e-10,1.00582e-10,3.42103e-10,1.05288e-10,2.25863e-10,5.79735e-10,6.79e-10,4.38985e-12,1.00023e-11,9.37391e-12,7.87641e-12,3.33195e-10,6.5803e-10,3.00052e-10,8.93392e-12,1.0035e-11,2.45613e-11,
2,6.8683e-10,8.76356e-11,1.5007e-10,4.37208e-11,9.15582e-11,2.66069e-11,1.61157e-11,5.51589e-11,2.84452e-10,2.78567e-10,1.45897e-10,4.84187e-10,1.04874e-10,3.54719e-10,1.12398e-10,2.37689e-10,5.91994e-10,6.88669e-10,4.6334e-12,1.0705e-11,9.86573e-12,8.51141e-12,3.5134e-10,6.65838e-10,3.09818e-10,9.54097e-12,1.05878e-11,2.58533e-11,
3,6.99771e-10,9.3957e-11,1.60789e-10,4.71047e-11,9.56139e-11,2.79056e-11,1.68477e-11,5.74935e-11,2.95679e-10,2.88157e-10,1.51047e-10,4.91783e-10,1.09106e-10,3.67418e-10,1.19908e-10,2.49879e-10,6.0408e-10,6.98068e-10,4.86477e-12,1.14104e-11,1.0338e-11,9.16088e-12,3.69759e-10,6.73498e-10,3.19669e-10,1.01502e-11,1.11149e-11,2.71185e-11,
4,7.1219e-10,1.00615e-10,1.72059e-10,5.07068e-11,9.98088e-11,2.92592e-11,1.76077e-11,5.99059e-11,3.06791e-10,2.97825e-10,1.56348e-10,4.99397e-10,1.13455e-10,3.80232e-10,1.27877e-10,2.6247e-10,6.15987e-10,7.07198e-10,5.10596e-12,1.21559e-11,1.08296e-11,9.85166e-12,3.88452e-10,6.81024e-10,3.29672e-10,1.0792e-11,1.16643e-11,2.84372e-11,
5,7.24073e-10,1.07612e-10,1.83879e-10,5.45361e-11,1.04152e-10,3.06734e-11,1.83983e-11,6.23999e-11,3.17801e-10,3.07561e-10,1.61805e-10,5.07026e-10,1.17927e-10,3.93137e-10,1.36324e-10,2.75452e-10,6.27696e-10,7.16053e-10,5.3584e-12,1.29446e-11,1.13429e-11,1.05863e-11,4.07355e-10,6.88409e-10,3.3982e-10,1.14689e-11,1.22392e-11,2.98152e-11,
6,7.35407e-10,1.14948e-10,1.96242e-10,5.85995e-11,1.08647e-10,3.21507e-11,1.92207e-11,6.49771e-11,3.2868e-10,3.17349e-10,1.67418e-10,5.14665e-10,1.22523e-10,4.06111e-10,1.45267e-10,2.88808e-10,6.39186e-10,7.24626e-10,5.62257e-12,1.3778e-11,1.18788e-11,1.13665e-11,4.264e-10,6.95649e-10,3.50103e-10,1.21819e-11,1.28409e-11,3.1255e-11,
7,7.46185e-10,1.22619e-10,2.09138e-10,6.29034e-11,1.13296e-10,3.36934e-11,2.00758e-11,6.76392e-11,3.39398e-10,3.27177e-10,1.73189e-10,5.22308e-10,1.27242e-10,4.19133e-10,1.54721e-10,3.02521e-10,6.5044e-10,7.32911e-10,5.89898e-12,1.46576e-11,1.24382e-11,1.21938e-11,4.45515e-10,7.02739e-10,3.60512e-10,1.29319e-11,1.34704e-11,3.27588e-11,
8,7.56405e-10,1.3062e-10,2.22551e-10,6.74537e-11,1.181e-10,3.53041e-11,2.09651e-11,7.03879e-11,3.4993e-10,3.37032e-10,1.7912e-10,5.29951e-10,1.32084e-10,4.32177e-10,1.64703e-10,3.16569e-10,6.6144e-10,7.40906e-10,6.18811e-12,1.55848e-11,1.30221e-11,1.30697e-11,4.64628e-10,7.09674e-10,3.71035e-10,1.37195e-11,1.41291e-11,3.43292e-11,
9,7.66069e-10,1.38944e-10,2.3646e-10,7.22548e-11,1.23063e-10,3.69854e-11,2.18895e-11,7.32249e-11,3.60252e-10,3.46899e-10,1.85211e-10,5.37588e-10,1.37049e-10,4.45223e-10,1.75225e-10,3.30928e-10,6.72172e-10,7.48609e-10,6.49051e-12,1.65611e-11,1.36315e-11,1.39955e-11,4.83666e-10,7.16452e-10,3.81663e-10,1.45455e-11,1.4818e-11,3.59687e-11,
