matrix(41, 1)
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
( -125.893 )
