time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00948963,0.0041789,0.00326088,0.00148542,0.00295656,0.00225355,0.000161027,0.000886735,0.00485511,0.00838354,0.00144227,0.00438519,0.00461325,0.00912296,0.00624986,0.00758287,0.00386902,0.00978715,0.00138639,0.00205714,0.00140988,0.000971015,0.00757583,0.00721618,0.00323687,0.00181264,0.00209287,0.00242024,
1,0.00951755,0.0043346,0.00332655,0.00155617,0.00304998,0.00234286,0.000168364,0.000908489,0.00493008,0.00848942,0.00147948,0.00442357,0.00472337,0.00921128,0.00636121,0.00768982,0.00390195,0.00982157,0.00148511,0.00220376,0.00148509,0.00104304,0.00764202,0.00724945,0.00329069,0.0019027,0.0021869,0.00251634,
2,0.00951814,0.00434309,0.00333381,0.00156088,0.0030551,0.00234766,0.000168788,0.000910389,0.00493576,0.00849124,0.00148241,0.00442931,0.00472737,0.00921236,0.00636686,0.00769325,0.00390608,0.00982176,0.00149094,0.00221224,0.00148924,0.00104785,0.00764618,0.00725554,0.00329799,0.00190752,0.00219186,0.00252142,
3,0.00951866,0.00434802,0.00334042,0.0015639,0.00305878,0.00235076,0.000169053,0.000912043,0.00494079,0.0084923,0.00148486,0.0044348,0.00473003,0.00921297,0.00637156,0.00769593,0.00391002,0.00982186,0.00149321,0.0022154,0.00149139,0.00104998,0.00765004,0.00726152,0.00330489,0.00191021,0.00219479,0.00252466,
4,0.00951919,0.00435289,0.00334704,0.0015669,0.00306245,0.00235385,0.000169316,0.000913699,0.00494581,0.00849335,0.00148732,0.0044403,0.00473268,0.00921358,0.00637625,0.00769859,0.00391395,0.00982195,0.00149538,0.00221842,0.0014935,0.00105205,0.0076539,0.0072675,0.00331178,0.00191286,0.00219771,0.00252788,
5,0.00951972,0.00435775,0.00335367,0.0015699,0.00306612,0.00235693,0.000169579,0.000915357,0.00495084,0.0084944,0.00148978,0.0044458,0.00473533,0.00921419,0.00638094,0.00770125,0.00391789,0.00982205,0.00149755,0.00222144,0.00149561,0.00105411,0.00765776,0.00727347,0.00331869,0.00191552,0.00220062,0.00253111,
6,0.00952024,0.00436261,0.00336031,0.00157291,0.0030698,0.00236003,0.000169843,0.000917019,0.00495587,0.00849544,0.00149225,0.0044513,0.00473797,0.0092148,0.00638562,0.00770391,0.00392184,0.00982214,0.00149973,0.00222446,0.00149772,0.00105618,0.00766161,0.00727944,0.00332561,0.00191818,0.00220354,0.00253434,
7,0.00952077,0.00436747,0.00336695,0.00157593,0.00307348,0.00236313,0.000170107,0.000918684,0.0049609,0.00849649,0.00149472,0.00445681,0.00474062,0.0092154,0.0063903,0.00770657,0.00392578,0.00982223,0.00150191,0.00222748,0.00149984,0.00105826,0.00766545,0.0072854,0.00333253,0.00192085,0.00220647,0.00253758,
8,0.00952129,0.00437232,0.00337361,0.00157896,0.00307717,0.00236623,0.000170372,0.000920353,0.00496593,0.00849754,0.0014972,0.00446232,0.00474327,0.00921601,0.00639497,0.00770923,0.00392973,0.00982233,0.00150409,0.0022305,0.00150196,0.00106033,0.00766929,0.00729135,0.00333947,0.00192352,0.0022094,0.00254082,
9,0.00952182,0.00437718,0.00338027,0.00158199,0.00308087,0.00236934,0.000170638,0.000922024,0.00497097,0.00849859,0.00149969,0.00446784,0.00474592,0.00921662,0.00639964,0.00771188,0.00393368,0.00982242,0.00150628,0.00223352,0.00150408,0.00106242,0.00767313,0.0072973,0.00334641,0.00192619,0.00221233,0.00254407,
