time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00997025,0.00957208,0.009779,0.0095037,0.00964834,0.00956703,0.00936764,0.00956578,0.00981221,0.00986504,0.00963201,0.00984518,0.00968999,0.00990268,0.0098203,0.00985355,0.0098322,0.00996452,0.00925211,0.0092488,0.00939584,0.00918842,0.00991462,0.00994983,0.00982076,0.00947584,0.00952122,0.00957075,
1,0.00999995,0.00998789,0.00999693,0.00998599,0.00999298,0.0099897,0.00997798,0.00998873,0.00999777,0.00999887,0.00999206,0.00999797,0.00999408,0.00999949,0.00999828,0.00999881,0.00999757,0.00999991,0.00996894,0.00996851,0.00997955,0.00996345,0.00999963,0.0099998,0.00999808,0.00998529,0.00998766,0.00998993,
2,0.01,0.00999989,0.0100001,0.00999999,0.0100001,0.0100001,0.00999993,0.0100001,0.0100001,0.0100001,0.0100001,0.0100001,0.0100001,0.01,0.0100001,0.0100001,0.0100001,0.01,0.00999944,0.00999936,0.00999985,0.00999914,0.01,0.01,0.0100001,0.01,0.01,0.0100001,
3,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100003,0.0100004,0.0100003,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
4,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
5,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
6,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
7,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
8,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
9,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
10,0.01,0.0100002,0.0100001,0.0100003,0.0100002,0.0100003,0.0100005,0.0100003,0.0100001,0.0100001,0.0100003,0.0100001,0.0100002,0.01,0.0100001,0.0100001,0.0100002,0.01,0.0100004,0.0100004,0.0100004,0.0100004,0.0100001,0.01,0.0100001,0.0100003,0.0100003,0.0100003,
11,2.9762e-05,0.000428102,0.000221132,0.000496602,0.000351884,0.000433249,0.000632886,0.000434561,0.000187913,0.000135029,0.000368254,0.000154938,0.0003102,9.7355e-05,0.000179789,0.000146523,0.000167959,3.549e-05,0.000748306,0.000751555,0.000604552,0.000811956,8.54267e-05,5.0207e-05,0.000179365,0.00052448,0.00047908,0.000429517,
12,7.02742e-08,1.22923e-05,3.20293e-06,1.43097e-05,7.24627e-06,1.05715e-05,2.25463e-05,1.16099e-05,2.35084e-06,1.1941e-06,8.20348e-06,2.14184e-06,6.11726e-06,5.44369e-07,1.81648e-06,1.26475e-06,2.58668e-06,1.05474e-07,3.14788e-05,3.1847e-05,2.08413e-05,3.69284e-05,4.15678e-07,2.33152e-07,2.04496e-06,1.50342e-05,1.26377e-05,1.03347e-05,
13,1.43413e-10,2.9354e-07,4.26311e-08,3.08749e-07,1.18398e-07,1.96127e-07,5.95161e-07,2.46749e-07,2.50807e-08,1.02746e-08,1.442e-07,2.72147e-08,1.02153e-07,2.40049e-09,1.51268e-08,9.90516e-09,3.84212e-08,2.75181e-10,9.79798e-07,9.99257e-07,5.43592e-07,1.23167e-06,1.60657e-09,1.02273e-09,2.0044e-08,3.1421e-07,2.46463e-07,1.87881e-07,
14,2.82915e-13,6.2766e-09,5.79905e-10,5.55824e-09,1.74613e-09,3.16211e-09,1.30398e-08,4.57828e-09,2.55005e-10,1.06193e-10,2.21355e-09,3.31569e-10,1.57545e-09,1.09039e-11,1.3722e-10,9.50088e-11,5.68718e-10,6.63665e-13,2.53281e-08,2.60308e-08,1.20605e-08,3.37653e-08,6.40021e-12,4.40127e-12,1.97395e-10,5.45146e-09,4.05935e-09,2.95044e-09,
15,6.36805e-16,1.2484e-10,8.07183e-12,8.90674e-11,2.45958e-11,4.74841e-11,2.51644e-10,7.74181e-11,2.65158e-12,1.30219e-12,3.12143e-11,3.96027e-12,2.29624e-11,7.47117e-14,1.56829e-12,1.17879e-12,8.43274e-12,1.52582e-15,5.7837e-10,5.98778e-10,2.41463e-10,8.10017e-10,3.63062e-14,1.89373e-14,2.12281e-12,8.46546e-11,6.08538e-11,4.29677e-11,
16,2.0013e-18,2.36379e-12,1.12615e-13,1.32527e-12,3.36968e-13,6.85589e-13,4.42742e-12,1.22121e-12,2.91522e-14,1.69669e-14,4.16277e-13,4.68841e-14,3.18867e-13,8.41788e-16,2.12423e-14,1.6642e-14,1.25179e-13,3.40774e-18,1.21024e-11,1.26227e-11,4.50318e-12,1.76777e-11,3.30878e-16,8.23171e-17,2.50195e-14,1.23072e-12,8.65032e-13,6.00353e-13,
17,9.13804e-21,4.32422e-14,1.55643e-15,1.87938e-14,4.50316e-15,9.6241e-15,7.25525e-14,1.82332e-14,3.38085e-16,2.20437e-16,5.34634e-15,5.53033e-16,4.25074e-15,1.17553e-17,3.07792e-16,2.44331e-16,1.85903e-15,7.48687e-21,2.37549e-13,2.49773e-13,7.96783e-14,3.60093e-13,4.00834e-18,3.65392e-19,3.10313e-16,1.71636e-14,1.18836e-14,8.1501e-15,
18,5.31903e-23,7.71639e-16,2.12273e-17,2.57652e-16,5.87286e-17,1.31759e-16,1.12321e-15,2.60339e-16,4.0541e-18,2.80679e-18,6.69161e-17,6.51535e-18,5.48501e-17,1.72653e-19,4.54569e-18,3.62051e-18,2.76123e-17,1.63873e-23,4.44392e-15,4.71519e-15,1.3539e-15,6.96837e-15,5.48551e-20,1.69394e-21,3.90329e-18,2.32237e-16,1.58924e-16,1.07899e-16,
19,3.59987e-25,1.35172e-17,2.85606e-19,3.43887e-18,7.48944e-19,1.76227e-18,1.65953e-17,3.58332e-18,4.93038e-20,3.50292e-20,8.2275e-19,7.67412e-20,6.90416e-19,2.55967e-21,6.74388e-20,5.37531e-20,4.10144e-19,3.69672e-26,8.01528e-17,8.59034e-17,2.23009e-17,1.29719e-16,7.95322e-22,8.63312e-24,4.88642e-20,3.06401e-18,2.07521e-18,1.39576e-18,
20,2.78006e-27,2.33456e-19,3.79765e-21,4.48566e-20,9.37085e-21,2.30827e-20,2.35831e-19,4.78543e-20,6.00872e-22,4.30291e-22,9.99155e-21,9.04047e-22,8.53237e-21,3.80091e-23,1.00148e-21,7.98372e-22,6.09225e-21,9.89795e-29,1.40609e-18,1.52322e-18,3.58943e-19,2.34406e-18,1.19282e-23,5.27316e-26,6.05061e-22,3.95342e-20,2.65239e-20,1.76871e-20,
