matrix(560, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.109182 )
( 0 )
( 0.109182 )
( 0 )
( 0.109182 )
( 0 )
( 0.109183 )
( 0 )
( 0.109183 )
( 0 )
( 0.109184 )
( 0 )
( 0.109184 )
( 0 )
( 0.109184 )
( 0 )
( 0.109185 )
( 0 )
( 0.109185 )
( 0 )
( 0.109185 )
( 0 )
( 0.109185 )
( 0 )
( 0.109186 )
( 0 )
( 0.109186 )
( 0 )
( 0.109186 )
( 0 )
( 0.109187 )
( 0 )
( 0.109187 )
( 0 )
( 0.109187 )
( 0 )
( 0.109187 )
( 0 )
( 0.109187 )
( 0 )
( 0 )
( 0 )
( 0.103631 )
( 0.101269 )
( 0.128335 )
( 0 )
( 0 )
( 0.103631 )
( 0.10127 )
( 0.128335 )
( 0 )
( 0 )
( 0.103631 )
( 0.10127 )
( 0.128335 )
( 0 )
( 0 )
( 0.10363 )
( 0.101271 )
( 0.128335 )
( 0 )
( 0 )
( 0.10363 )
( 0.101271 )
( 0.128335 )
( 0 )
( 0 )
( 0.10363 )
( 0.101272 )
( 0.128336 )
( 0 )
( 0 )
( 0.10363 )
( 0.101272 )
( 0.128336 )
( 0 )
( 0 )
( 0.10363 )
( 0.101273 )
( 0.128336 )
( 0 )
( 0 )
( 0.10363 )
( 0.101273 )
( 0.128336 )
( 0 )
( 0 )
( 0.103629 )
( 0.101273 )
( 0.128336 )
( 0 )
( 0 )
( 0.103629 )
( 0.101274 )
( 0.128337 )
( 0 )
( 0 )
( 0.103629 )
( 0.101274 )
( 0.128337 )
( 0 )
( 0 )
( 0.103629 )
( 0.101275 )
( 0.128337 )
( 0 )
( 0 )
( 0.103628 )
( 0.101275 )
( 0.128337 )
( 0 )
( 0 )
( 0.103628 )
( 0.101275 )
( 0.128337 )
( 0 )
( 0 )
( 0.103628 )
( 0.101276 )
( 0.128337 )
( 0 )
( 0 )
( 0.103628 )
( 0.101276 )
( 0.128337 )
( 0 )
( 0 )
( 0.103628 )
( 0.101276 )
( 0.128338 )
( 0 )
( 0 )
( 0.103627 )
( 0.101277 )
( 0.128338 )
( 0 )
( 0 )
( 0.103627 )
( 0.101277 )
( 0.128338 )
( 0 )
( 0 )
( 0.23129 )
( 0 )
( 0.193771 )
( 0.103626 )
( 0.259014 )
( 0.0927342 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.23129 )
( 0 )
( 0.193771 )
( 0.103626 )
( 0.259014 )
( 0.0927346 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231291 )
( 0 )
( 0.19377 )
( 0.103626 )
( 0.259015 )
( 0.0927349 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231291 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.0927353 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231291 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.0927356 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231292 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.092736 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231292 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.0927363 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231292 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.0927366 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231293 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.092737 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231293 )
( 0 )
( 0.19377 )
( 0.103625 )
( 0.259015 )
( 0.0927373 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231293 )
( 0 )
( 0.193769 )
( 0.103625 )
( 0.259015 )
( 0.0927376 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231293 )
( 0 )
( 0.193769 )
( 0.103624 )
( 0.259015 )
( 0.092738 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.231294 )
( 0 )
( 0.193769 )
( 0.103624 )
( 0.259015 )
( 0.0927383 )
( 0 )
