matrix(560, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.250431 )
( 0 )
( 0.250432 )
( 0 )
( 0.250433 )
( 0 )
( 0.250433 )
( 0 )
( 0.250434 )
( 0 )
( 0.250435 )
( 0 )
( 0.250436 )
( 0 )
( 0.250436 )
( 0 )
( 0.250437 )
( 0 )
( 0.250438 )
( 0 )
( 0.250439 )
( 0 )
( 0.250439 )
( 0 )
( 0.25044 )
( 0 )
( 0.250441 )
( 0 )
( 0.250441 )
( 0 )
( 0.250442 )
( 0 )
( 0.250443 )
( 0 )
( 0.250443 )
( 0 )
( 0.250444 )
( 0 )
( 0.250444 )
( 0 )
( 0 )
( 0 )
( 0.237699 )
( 0.232282 )
( 0.294362 )
( 0 )
( 0 )
( 0.237698 )
( 0.232283 )
( 0.294362 )
( 0 )
( 0 )
( 0.237698 )
( 0.232284 )
( 0.294363 )
( 0 )
( 0 )
( 0.237698 )
( 0.232286 )
( 0.294363 )
( 0 )
( 0 )
( 0.237697 )
( 0.232287 )
( 0.294364 )
( 0 )
( 0 )
( 0.237697 )
( 0.232288 )
( 0.294364 )
( 0 )
( 0 )
( 0.237696 )
( 0.232289 )
( 0.294365 )
( 0 )
( 0 )
( 0.237696 )
( 0.23229 )
( 0.294365 )
( 0 )
( 0 )
( 0.237696 )
( 0.232291 )
( 0.294365 )
( 0 )
( 0 )
( 0.237695 )
( 0.232292 )
( 0.294366 )
( 0 )
( 0 )
( 0.237695 )
( 0.232293 )
( 0.294366 )
( 0 )
( 0 )
( 0.237694 )
( 0.232293 )
( 0.294367 )
( 0 )
( 0 )
( 0.237694 )
( 0.232294 )
( 0.294367 )
( 0 )
( 0 )
( 0.237693 )
( 0.232295 )
( 0.294367 )
( 0 )
( 0 )
( 0.237693 )
( 0.232296 )
( 0.294368 )
( 0 )
( 0 )
( 0.237692 )
( 0.232297 )
( 0.294368 )
( 0 )
( 0 )
( 0.237692 )
( 0.232298 )
( 0.294368 )
( 0 )
( 0 )
( 0.237691 )
( 0.232298 )
( 0.294369 )
( 0 )
( 0 )
( 0.23769 )
( 0.232299 )
( 0.294369 )
( 0 )
( 0 )
( 0.23769 )
( 0.2323 )
( 0.294369 )
( 0 )
( 0 )
( 0.530511 )
( 0 )
( 0.444453 )
( 0.237687 )
( 0.594103 )
( 0.212705 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530512 )
( 0 )
( 0.444453 )
( 0.237687 )
( 0.594103 )
( 0.212706 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530513 )
( 0 )
( 0.444452 )
( 0.237686 )
( 0.594103 )
( 0.212707 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530513 )
( 0 )
( 0.444452 )
( 0.237686 )
( 0.594103 )
( 0.212707 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530514 )
( 0 )
( 0.444452 )
( 0.237686 )
( 0.594103 )
( 0.212708 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530515 )
( 0 )
( 0.444452 )
( 0.237686 )
( 0.594104 )
( 0.212709 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530516 )
( 0 )
( 0.444451 )
( 0.237685 )
( 0.594104 )
( 0.21271 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530516 )
( 0 )
( 0.444451 )
( 0.237685 )
( 0.594104 )
( 0.212711 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530517 )
( 0 )
( 0.444451 )
( 0.237685 )
( 0.594104 )
( 0.212711 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530518 )
( 0 )
( 0.44445 )
( 0.237685 )
( 0.594104 )
( 0.212712 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530519 )
( 0 )
( 0.44445 )
( 0.237684 )
( 0.594104 )
( 0.212713 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.530519 )
( 0 )
( 0.44445 )
( 0.237684 )
( 0.594104 )
( 0.212714 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.53052 )
( 0 )
( 0.444449 )
( 0.237684 )
( 0.594105 )
( 0.212714 )
( 0 )
( 0 )
( 0 )
