matrix(560, 1)
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.19499 )
( 0.194989 )
( 0.194989 )
( 0.194989 )
( 0.194989 )
( 0.194989 )
( 0.194989 )
( 0.0672455 )
( 0.173173 )
( 0.0672454 )
( 0.173173 )
( 0.0672453 )
( 0.173173 )
( 0.0672452 )
( 0.173173 )
( 0.067245 )
( 0.173173 )
( 0.0672449 )
( 0.173173 )
( 0.0672448 )
( 0.173173 )
( 0.0672447 )
( 0.173173 )
( 0.0672446 )
( 0.173173 )
( 0.0672445 )
( 0.173173 )
( 0.0672445 )
( 0.173173 )
( 0.0672444 )
( 0.173173 )
( 0.0672443 )
( 0.173173 )
( 0.0672442 )
( 0.173172 )
( 0.0672441 )
( 0.173172 )
( 0.067244 )
( 0.173172 )
( 0.0672439 )
( 0.173172 )
( 0.0672439 )
( 0.173172 )
( 0.0672438 )
( 0.173172 )
( 0.0672438 )
( 0.173172 )
( 0.249007 )
( 0.130445 )
( 0.0689108 )
( 0.0696192 )
( 0.0614996 )
( 0.249007 )
( 0.130445 )
( 0.0689108 )
( 0.069619 )
( 0.0614995 )
( 0.249006 )
( 0.130445 )
( 0.0689108 )
( 0.0696189 )
( 0.0614995 )
( 0.249006 )
( 0.130445 )
( 0.0689109 )
( 0.0696187 )
( 0.0614994 )
( 0.249006 )
( 0.130445 )
( 0.0689109 )
( 0.0696186 )
( 0.0614994 )
( 0.249006 )
( 0.130445 )
( 0.068911 )
( 0.0696185 )
( 0.0614993 )
( 0.249006 )
( 0.130445 )
( 0.068911 )
( 0.0696183 )
( 0.0614993 )
( 0.249006 )
( 0.130445 )
( 0.0689111 )
( 0.0696182 )
( 0.0614992 )
( 0.249006 )
( 0.130445 )
( 0.0689111 )
( 0.0696181 )
( 0.0614992 )
( 0.249006 )
( 0.130445 )
( 0.0689112 )
( 0.069618 )
( 0.0614991 )
( 0.249006 )
( 0.130445 )
( 0.0689113 )
( 0.0696178 )
( 0.061499 )
( 0.249005 )
( 0.130445 )
( 0.0689113 )
( 0.0696177 )
( 0.061499 )
( 0.249005 )
( 0.130445 )
( 0.0689114 )
( 0.0696176 )
( 0.061499 )
( 0.249005 )
( 0.130445 )
( 0.0689115 )
( 0.0696175 )
( 0.0614989 )
( 0.249005 )
( 0.130445 )
( 0.0689115 )
( 0.0696174 )
( 0.0614989 )
( 0.249005 )
( 0.130445 )
( 0.0689116 )
( 0.0696173 )
( 0.0614988 )
( 0.249005 )
( 0.130445 )
( 0.0689117 )
( 0.0696172 )
( 0.0614988 )
( 0.249005 )
( 0.130446 )
( 0.0689117 )
( 0.0696171 )
( 0.0614987 )
( 0.249005 )
( 0.130446 )
( 0.0689118 )
( 0.069617 )
( 0.0614987 )
( 0.249005 )
( 0.130446 )
( 0.0689119 )
( 0.0696169 )
( 0.0614987 )
( 0.111704 )
( 0.177477 )
( 0.030613 )
( 0.10549 )
( 0.0418688 )
( 0.0689123 )
( 0.0222957 )
( 0.0721797 )
( 0.241267 )
( 0.177473 )
( 0.111704 )
( 0.177476 )
( 0.0306129 )
( 0.10549 )
( 0.0418688 )
( 0.0689123 )
( 0.0222957 )
( 0.0721796 )
( 0.241267 )
( 0.177473 )
( 0.111704 )
( 0.177476 )
( 0.0306128 )
( 0.10549 )
( 0.0418689 )
( 0.0689123 )
( 0.0222956 )
( 0.0721795 )
( 0.241266 )
( 0.177473 )
( 0.111704 )
( 0.177476 )
( 0.0306127 )
( 0.10549 )
( 0.0418689 )
( 0.0689124 )
( 0.0222956 )
( 0.0721794 )
( 0.241266 )
( 0.177473 )
( 0.111704 )
( 0.177476 )
( 0.0306126 )
( 0.105491 )
( 0.0418689 )
( 0.0689124 )
( 0.0222956 )
( 0.0721793 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306125 )
( 0.105491 )
( 0.041869 )
( 0.0689124 )
( 0.0222956 )
( 0.0721792 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306124 )
( 0.105491 )
( 0.041869 )
( 0.0689125 )
( 0.0222956 )
( 0.0721791 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306123 )
( 0.105491 )
( 0.0418691 )
( 0.0689125 )
( 0.0222955 )
( 0.072179 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306122 )
( 0.105491 )
( 0.0418691 )
( 0.0689125 )
( 0.0222955 )
( 0.0721789 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306121 )
( 0.105491 )
( 0.0418691 )
( 0.0689126 )
( 0.0222955 )
( 0.0721788 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306121 )
( 0.105491 )
( 0.0418692 )
( 0.0689126 )
( 0.0222955 )
( 0.0721787 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.030612 )
( 0.105491 )
( 0.0418692 )
( 0.0689127 )
( 0.0222955 )
( 0.0721786 )
( 0.241266 )
( 0.177474 )
( 0.111704 )
( 0.177476 )
( 0.0306119 )
( 0.105491 )
( 0.0418693 )
( 0.0689127 )
( 0.0222955 )
( 0.0721785 )
( 0.241266 )
( 0.177474 )
( 0.111703 )
( 0.177476 )
( 0.0306118 )
( 0.105491 )
( 0.0418693 )
( 0.0689127 )
( 0.0222954 )
( 0.0721784 )
( 0.241266 )
( 0.177474 )
( 0.111703 )
( 0.177476 )
( 0.0306117 )
( 0.105491 )
( 0.0418694 )
( 0.0689128 )
( 0.0222954 )
( 0.0721783 )
( 0.241266 )
( 0.177474 )
( 0.111703 )
( 0.177476 )
( 0.0306116 )
( 0.105491 )
( 0.0418694 )
( 0.0689128 )
( 0.0222954 )
( 0.0721783 )
( 0.241266 )
( 0.177474 )
( 0.111703 )
( 0.177476 )
( 0.0306116 )
( 0.105491 )
( 0.0418695 )
( 0.0689129 )
( 0.0222954 )
( 0.0721782 )
( 0.241266 )
( 0.177474 )
( 0.111703 )
( 0.177475 )
( 0.0306115 )
( 0.105492 )
( 0.0418695 )
( 0.0689129 )
( 0.0222954 )
( 0.0721781 )
( 0.241266 )
( 0.177474 )
( 0.111703 )
( 0.177475 )
( 0.0306114 )
( 0.105492 )
( 0.0418696 )
( 0.068913 )
( 0.0222953 )
( 0.072178 )
