time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00994798,0.00505651,0.00361052,0.00254827,0.00327371,0.00319431,0.000215245,0.000699986,0.00425083,0.00962119,0.000958205,0.0031549,0.00556441,0.00986298,0.00905454,0.00908519,0.00297367,0.00996452,0.00216434,0.00227282,0.00222122,0.000734562,0.00950491,0.0062855,0.00206068,0.0031842,0.00323057,0.00324738,
1,0.00997753,0.00523137,0.00368597,0.00268243,0.00337904,0.00332289,0.000225171,0.000716775,0.00431416,0.00974517,0.000980091,0.00317786,0.00569705,0.00995889,0.00921164,0.0092121,0.00299764,0.00999991,0.00231228,0.002429,0.00233883,0.000786864,0.00958624,0.006316,0.00209668,0.0033449,0.00337739,0.0033781,
2,0.00997768,0.00524034,0.00369796,0.00269122,0.00338508,0.00332975,0.000225781,0.000719056,0.0043219,0.00974635,0.000981908,0.00318463,0.00570251,0.00995948,0.00921424,0.00921423,0.00300249,0.01,0.00232094,0.00243826,0.00234541,0.000790696,0.0095881,0.0063257,0.00210414,0.00335329,0.00338502,0.00338505,
3,0.00997776,0.00524559,0.00370923,0.00269661,0.00338951,0.00333414,0.000226176,0.000721177,0.00432916,0.00974659,0.000983494,0.00319132,0.00570637,0.00995954,0.00921545,0.00921543,0.00300722,0.01,0.00232457,0.00244214,0.00234893,0.000792707,0.00958958,0.00633533,0.00211137,0.0033578,0.00338947,0.00338949,
4,0.00997784,0.00525077,0.00372053,0.00270195,0.00339392,0.0033385,0.000226568,0.000723302,0.00433643,0.00974683,0.000985082,0.00319802,0.00571021,0.00995961,0.00921664,0.00921663,0.00301195,0.01,0.00232808,0.00244587,0.0023524,0.000794673,0.00959106,0.00634496,0.00211862,0.00336225,0.00339388,0.0033939,
5,0.00997792,0.00525594,0.00373184,0.00270731,0.00339833,0.00334286,0.00022696,0.000725434,0.0043437,0.00974707,0.000986673,0.00320473,0.00571405,0.00995967,0.00921784,0.00921782,0.00301669,0.01,0.00233159,0.00244961,0.00235588,0.000796643,0.00959253,0.00635459,0.00212589,0.00336671,0.0033983,0.00339831,
6,0.009978,0.00526111,0.00374318,0.00271268,0.00340275,0.00334723,0.000227354,0.000727571,0.00435098,0.00974731,0.000988267,0.00321146,0.00571788,0.00995973,0.00921902,0.00921901,0.00302144,0.01,0.00233511,0.00245335,0.00235935,0.000798618,0.00959399,0.00636421,0.00213318,0.00337117,0.00340272,0.00340273,
7,0.00997808,0.00526627,0.00375455,0.00271807,0.00340718,0.00335161,0.000227748,0.000729714,0.00435827,0.00974755,0.000989865,0.00321819,0.0057217,0.00995979,0.00922021,0.00922019,0.00302619,0.01,0.00233862,0.00245709,0.00236284,0.000800597,0.00959545,0.00637383,0.00214049,0.00337564,0.00340714,0.00340716,
8,0.00997816,0.00527142,0.00376594,0.00272348,0.00341161,0.00335599,0.000228143,0.000731863,0.00436557,0.00974778,0.000991466,0.00322494,0.00572551,0.00995985,0.00922139,0.00922137,0.00303094,0.01,0.00234214,0.00246084,0.00236632,0.000802581,0.00959691,0.00638345,0.00214782,0.00338012,0.00341158,0.00341159,
9,0.00997824,0.00527658,0.00377735,0.0027289,0.00341605,0.00336037,0.000228539,0.000734018,0.00437287,0.00974802,0.00099307,0.0032317,0.00572932,0.00995991,0.00922256,0.00922255,0.0030357,0.01,0.00234567,0.00246459,0.00236981,0.000804569,0.00959836,0.00639307,0.00215518,0.0033846,0.00341601,0.00341603,
