time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00715762,0.000283417,0.000211576,1.20961e-05,0.00029272,5.3512e-05,2.08678e-06,0.000190555,0.00182921,0.00384398,0.000605302,0.00382465,0.000835968,0.00562342,0.000594905,0.00229728,0.00335441,0.00875754,1.43506e-05,7.63108e-05,1.36963e-05,2.49791e-05,0.00195827,0.00575543,0.00134455,1.05268e-05,2.53368e-05,7.18376e-05,
1,0.0071892,0.0002957,0.000217497,1.25644e-05,0.000302061,5.56236e-05,2.1794e-06,0.00019549,0.00186005,0.00389535,0.00062177,0.00385546,0.000857703,0.005687,0.000610703,0.00234232,0.00338072,0.00878982,1.55281e-05,8.22928e-05,1.45406e-05,2.69083e-05,0.00198855,0.00578475,0.00136696,1.10331e-05,2.64783e-05,7.47081e-05,
2,0.00720354,0.000299636,0.000220315,1.27197e-05,0.000303871,5.59842e-05,2.19361e-06,0.000196523,0.00186992,0.00390694,0.000624251,0.00386172,0.000862106,0.0057005,0.00061728,0.00235811,0.00338614,0.00879382,1.57522e-05,8.35046e-05,1.46843e-05,2.73081e-05,0.00200544,0.00579661,0.00137365,1.11148e-05,2.66559e-05,7.51921e-05,
3,0.00721781,0.000303451,0.000223146,1.28721e-05,0.000305584,5.63158e-05,2.20631e-06,0.000197515,0.00187965,0.0039183,0.000626552,0.00386781,0.000866327,0.00571374,0.000623853,0.00237378,0.00339142,0.00879772,1.59421e-05,8.45574e-05,1.48078e-05,2.76584e-05,0.00202241,0.00580842,0.00138026,1.11877e-05,2.68149e-05,7.56358e-05,
4,0.00723204,0.000307316,0.000226017,1.30266e-05,0.000307304,5.66491e-05,2.21907e-06,0.000198512,0.00188941,0.00392968,0.00062886,0.00387391,0.000870565,0.00572697,0.0006305,0.00238953,0.00339671,0.00880162,1.61336e-05,8.56203e-05,1.4932e-05,2.80121e-05,0.00203952,0.00582023,0.0013869,1.1261e-05,2.69746e-05,7.60817e-05,
5,0.00724625,0.000311235,0.000228929,1.31833e-05,0.000309034,5.69843e-05,2.2319e-06,0.000199514,0.0018992,0.00394108,0.000631176,0.00388002,0.000874823,0.0057402,0.000637223,0.00240537,0.00340201,0.00880551,1.63276e-05,8.66977e-05,1.50576e-05,2.83708e-05,0.00205675,0.00583204,0.00139357,1.13348e-05,2.71352e-05,7.65303e-05,
6,0.00726042,0.000315208,0.000231881,1.33421e-05,0.000310774,5.73217e-05,2.24481e-06,0.000200521,0.00190901,0.0039525,0.000633501,0.00388613,0.0008791,0.00575342,0.000644023,0.0024213,0.00340731,0.00880938,1.65243e-05,8.77902e-05,1.51845e-05,2.87346e-05,0.00207412,0.00584386,0.00140026,1.14092e-05,2.72969e-05,7.69816e-05,
7,0.00727456,0.000319236,0.000234876,1.35031e-05,0.000312523,5.76611e-05,2.25779e-06,0.000201533,0.00191886,0.00396393,0.000635835,0.00389225,0.000883398,0.00576664,0.000650901,0.00243731,0.00341262,0.00881325,1.67237e-05,8.88978e-05,1.53127e-05,2.91035e-05,0.00209163,0.00585567,0.00140698,1.14842e-05,2.74595e-05,7.74356e-05,
8,0.00728867,0.000323321,0.000237912,1.36663e-05,0.000314282,5.80025e-05,2.27086e-06,0.00020255,0.00192873,0.00397538,0.000638177,0.00389838,0.000887714,0.00577986,0.000657857,0.0024534,0.00341793,0.00881711,1.69258e-05,9.00207e-05,1.54422e-05,2.94775e-05,0.00210926,0.0058675,0.00141374,1.15597e-05,2.76232e-05,7.78924e-05,
9,0.00730275,0.000327462,0.000240992,1.38319e-05,0.000316051,5.83461e-05,2.284e-06,0.000203571,0.00193863,0.00398685,0.000640528,0.00390451,0.000892051,0.00579306,0.000664892,0.00246958,0.00342325,0.00882096,1.71306e-05,9.11592e-05,1.55731e-05,2.98569e-05,0.00212704,0.00587932,0.00142052,1.16358e-05,2.77878e-05,7.83519e-05,
