matrix(560, 1)
( 0.527359 )
( 0.527359 )
( 0.527359 )
( 0.527359 )
( 0.527359 )
( 0.527359 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.52736 )
( 0.738952 )
( 0.541651 )
( 0.738953 )
( 0.541652 )
( 0.738953 )
( 0.541652 )
( 0.738954 )
( 0.541652 )
( 0.738954 )
( 0.541652 )
( 0.738955 )
( 0.541652 )
( 0.738955 )
( 0.541652 )
( 0.738956 )
( 0.541652 )
( 0.738956 )
( 0.541652 )
( 0.738957 )
( 0.541652 )
( 0.738957 )
( 0.541652 )
( 0.738958 )
( 0.541652 )
( 0.738958 )
( 0.541652 )
( 0.738958 )
( 0.541652 )
( 0.738959 )
( 0.541652 )
( 0.738959 )
( 0.541652 )
( 0.738959 )
( 0.541652 )
( 0.73896 )
( 0.541652 )
( 0.73896 )
( 0.541652 )
( 0.73896 )
( 0.541652 )
( 0.491973 )
( 0.569643 )
( 0.731359 )
( 0.728128 )
( 0.765154 )
( 0.491973 )
( 0.569643 )
( 0.731358 )
( 0.728129 )
( 0.765155 )
( 0.491973 )
( 0.569643 )
( 0.731358 )
( 0.728129 )
( 0.765155 )
( 0.491974 )
( 0.569643 )
( 0.731358 )
( 0.72813 )
( 0.765155 )
( 0.491974 )
( 0.569643 )
( 0.731358 )
( 0.728131 )
( 0.765155 )
( 0.491974 )
( 0.569643 )
( 0.731357 )
( 0.728131 )
( 0.765156 )
( 0.491974 )
( 0.569643 )
( 0.731357 )
( 0.728132 )
( 0.765156 )
( 0.491974 )
( 0.569643 )
( 0.731357 )
( 0.728132 )
( 0.765156 )
( 0.491974 )
( 0.569643 )
( 0.731357 )
( 0.728133 )
( 0.765156 )
( 0.491974 )
( 0.569643 )
( 0.731356 )
( 0.728134 )
( 0.765157 )
( 0.491974 )
( 0.569643 )
( 0.731356 )
( 0.728134 )
( 0.765157 )
( 0.491974 )
( 0.569643 )
( 0.731356 )
( 0.728135 )
( 0.765157 )
( 0.491974 )
( 0.569642 )
( 0.731356 )
( 0.728135 )
( 0.765157 )
( 0.491974 )
( 0.569642 )
( 0.731355 )
( 0.728136 )
( 0.765158 )
( 0.491974 )
( 0.569642 )
( 0.731355 )
( 0.728136 )
( 0.765158 )
( 0.491974 )
( 0.569642 )
( 0.731355 )
( 0.728137 )
( 0.765158 )
( 0.491974 )
( 0.569642 )
( 0.731354 )
( 0.728137 )
( 0.765158 )
( 0.491975 )
( 0.569642 )
( 0.731354 )
( 0.728138 )
( 0.765158 )
( 0.491975 )
( 0.569642 )
( 0.731354 )
( 0.728138 )
( 0.765158 )
( 0.491975 )
( 0.569642 )
( 0.731353 )
( 0.728138 )
( 0.765159 )
( 0.58192 )
( 0.538832 )
( 0.906002 )
( 0.58599 )
( 0.854674 )
( 0.731352 )
( 0.94393 )
( 0.716452 )
( 0.497044 )
( 0.538835 )
( 0.58192 )
( 0.538833 )
( 0.906002 )
( 0.58599 )
( 0.854674 )
( 0.731351 )
( 0.94393 )
( 0.716452 )
( 0.497044 )
( 0.538835 )
( 0.58192 )
( 0.538833 )
( 0.906003 )
( 0.58599 )
( 0.854673 )
( 0.731351 )
( 0.94393 )
( 0.716452 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906003 )
( 0.58599 )
( 0.854673 )
( 0.731351 )
( 0.94393 )
( 0.716453 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906003 )
( 0.58599 )
( 0.854673 )
( 0.731351 )
( 0.94393 )
( 0.716453 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906004 )
( 0.58599 )
( 0.854673 )
( 0.731351 )
( 0.94393 )
( 0.716454 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906004 )
( 0.58599 )
( 0.854673 )
( 0.731351 )
( 0.94393 )
( 0.716454 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906005 )
( 0.58599 )
( 0.854673 )
( 0.731351 )
( 0.943931 )
( 0.716455 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906005 )
( 0.58599 )
( 0.854672 )
( 0.73135 )
( 0.943931 )
( 0.716455 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906006 )
( 0.58599 )
( 0.854672 )
( 0.73135 )
( 0.943931 )
( 0.716456 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906006 )
( 0.58599 )
( 0.854672 )
( 0.73135 )
( 0.943931 )
( 0.716456 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906006 )
( 0.58599 )
( 0.854672 )
( 0.73135 )
( 0.943931 )
( 0.716457 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906007 )
( 0.58599 )
( 0.854672 )
( 0.73135 )
( 0.943931 )
( 0.716457 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906007 )
( 0.58599 )
( 0.854671 )
( 0.731349 )
( 0.943931 )
( 0.716457 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906008 )
( 0.58599 )
( 0.854671 )
( 0.731349 )
( 0.943931 )
( 0.716458 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906008 )
( 0.58599 )
( 0.854671 )
( 0.731349 )
( 0.943931 )
( 0.716458 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906008 )
( 0.58599 )
( 0.854671 )
( 0.731349 )
( 0.943931 )
( 0.716459 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906009 )
( 0.58599 )
( 0.85467 )
( 0.731349 )
( 0.943931 )
( 0.716459 )
( 0.497044 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906009 )
( 0.58599 )
( 0.85467 )
( 0.731348 )
( 0.943931 )
( 0.716459 )
( 0.497045 )
( 0.538834 )
( 0.58192 )
( 0.538833 )
( 0.906009 )
( 0.58599 )
( 0.85467 )
( 0.731348 )
( 0.943932 )
( 0.71646 )
( 0.497045 )
( 0.538834 )
( 0.906014 )
( 0.592974 )
( 0.538833 )
( 0.906011 )
( 0.503527 )
( 0.506407 )
( 0.854668 )
( 0.539238 )
( 0.592978 )
( 0.538834 )
( 0.906013 )
( 0.592975 )
( 0.538833 )
( 0.906011 )
( 0.503527 )
( 0.506407 )
( 0.854668 )
( 0.539238 )
( 0.592978 )
( 0.538834 )
( 0.906013 )
( 0.592975 )
( 0.538833 )
( 0.906011 )
( 0.503527 )
( 0.506407 )
( 0.854667 )
( 0.539238 )
( 0.592978 )
( 0.538834 )
( 0.906013 )
( 0.592975 )
( 0.538833 )
( 0.906011 )
( 0.503527 )
( 0.506407 )
( 0.854667 )
( 0.539238 )
( 0.592977 )
( 0.538834 )
( 0.906013 )
( 0.592975 )
( 0.538833 )
( 0.906011 )
( 0.503527 )
( 0.506407 )
( 0.854667 )
( 0.539238 )
( 0.592977 )
( 0.538834 )
( 0.906013 )
( 0.592975 )
( 0.538833 )
( 0.906012 )
( 0.503527 )
( 0.506407 )
( 0.854666 )
( 0.539238 )
( 0.592977 )
( 0.538834 )
( 0.906013 )
( 0.592976 )
( 0.538833 )
( 0.906012 )
( 0.503527 )
( 0.506407 )
( 0.854666 )
( 0.539238 )
( 0.592977 )
( 0.538834 )
( 0.906013 )
( 0.592976 )
( 0.538834 )
( 0.906012 )
( 0.503527 )
( 0.506407 )
( 0.854666 )
( 0.539239 )
( 0.592977 )
( 0.538834 )
( 0.906013 )
( 0.592976 )
( 0.538834 )
( 0.906012 )
( 0.503527 )
( 0.506407 )
( 0.854666 )
( 0.539239 )
( 0.592977 )
( 0.538834 )
( 0.906012 )
( 0.592976 )
( 0.538834 )
( 0.906012 )
( 0.503527 )
( 0.506407 )
( 0.854665 )
( 0.539239 )
( 0.592976 )
( 0.538834 )
( 0.503527 )
( 0.506407 )
( 0.854665 )
( 0.539239 )
( 0.503527 )
( 0.506407 )
( 0.854665 )
( 0.539239 )
( 0.503527 )
( 0.506407 )
( 0.854664 )
( 0.539239 )
( 0.503527 )
( 0.506407 )
( 0.854664 )
( 0.539239 )
( 0.503527 )
( 0.506407 )
( 0.854663 )
( 0.539239 )
( 0.503527 )
( 0.506407 )
( 0.854663 )
( 0.539239 )
( 0.503527 )
( 0.506407 )
( 0.854663 )
( 0.539239 )
( 0.503528 )
( 0.506407 )
( 0.854662 )
( 0.539239 )
( 0.503528 )
( 0.506407 )
( 0.854662 )
( 0.539239 )
( 0.503528 )
( 0.506407 )
( 0.854661 )
( 0.539239 )
( 0.455148 )
( 0.982815 )
( 0.455148 )
( 0.982815 )
( 0.455148 )
( 0.982815 )
( 0.455148 )
( 0.982815 )
( 0.455148 )
( 0.982814 )
( 0.455148 )
( 0.982814 )
( 0.455148 )
( 0.982814 )
( 0.455148 )
( 0.982814 )
( 0.455148 )
( 0.982814 )
( 0.455148 )
( 0.982813 )
( 0.455148 )
( 0.982813 )
( 0.455148 )
( 0.982813 )
( 0.455148 )
( 0.982813 )
( 0.455148 )
( 0.982813 )
( 0.455148 )
( 0.982812 )
( 0.455148 )
( 0.982812 )
( 0.455148 )
( 0.982812 )
( 0.455148 )
( 0.982812 )
( 0.455148 )
( 0.982811 )
( 0.455148 )
( 0.982811 )
( 0.455148 )
( 0.455148 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
( 0.455149 )
