matrix(560, 1)
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.0447228 )
( 0.235609 )
( 0.0459348 )
( 0.23561 )
( 0.0459348 )
( 0.23561 )
( 0.0459348 )
( 0.235611 )
( 0.0459348 )
( 0.235611 )
( 0.0459348 )
( 0.235612 )
( 0.0459348 )
( 0.235613 )
( 0.0459348 )
( 0.235613 )
( 0.0459348 )
( 0.235614 )
( 0.0459348 )
( 0.235614 )
( 0.0459348 )
( 0.235615 )
( 0.0459349 )
( 0.235615 )
( 0.0459349 )
( 0.235616 )
( 0.0459349 )
( 0.235616 )
( 0.0459349 )
( 0.235617 )
( 0.0459349 )
( 0.235617 )
( 0.0459349 )
( 0.235618 )
( 0.0459349 )
( 0.235618 )
( 0.0459349 )
( 0.235618 )
( 0.0459349 )
( 0.235619 )
( 0.0459349 )
( 0.0417218 )
( 0.0483086 )
( 0.226172 )
( 0.222158 )
( 0.268169 )
( 0.0417219 )
( 0.0483086 )
( 0.226172 )
( 0.222159 )
( 0.268169 )
( 0.0417219 )
( 0.0483086 )
( 0.226172 )
( 0.22216 )
( 0.26817 )
( 0.0417219 )
( 0.0483086 )
( 0.226172 )
( 0.22216 )
( 0.26817 )
( 0.0417219 )
( 0.0483086 )
( 0.226171 )
( 0.222161 )
( 0.26817 )
( 0.0417219 )
( 0.0483086 )
( 0.226171 )
( 0.222162 )
( 0.268171 )
( 0.0417219 )
( 0.0483086 )
( 0.226171 )
( 0.222163 )
( 0.268171 )
( 0.0417219 )
( 0.0483086 )
( 0.22617 )
( 0.222163 )
( 0.268171 )
( 0.0417219 )
( 0.0483086 )
( 0.22617 )
( 0.222164 )
( 0.268171 )
( 0.0417219 )
( 0.0483086 )
( 0.22617 )
( 0.222165 )
( 0.268172 )
( 0.0417219 )
( 0.0483086 )
( 0.226169 )
( 0.222166 )
( 0.268172 )
( 0.0417219 )
( 0.0483086 )
( 0.226169 )
( 0.222166 )
( 0.268172 )
( 0.0417219 )
( 0.0483086 )
( 0.226169 )
( 0.222167 )
( 0.268173 )
( 0.0417219 )
( 0.0483086 )
( 0.226168 )
( 0.222168 )
( 0.268173 )
( 0.0417219 )
( 0.0483086 )
( 0.226168 )
( 0.222168 )
( 0.268173 )
( 0.0417219 )
( 0.0483086 )
( 0.226168 )
( 0.222169 )
( 0.268173 )
( 0.041722 )
( 0.0483086 )
( 0.226167 )
( 0.222169 )
( 0.268174 )
( 0.041722 )
( 0.0483086 )
( 0.226167 )
( 0.22217 )
( 0.268174 )
( 0.041722 )
( 0.0483086 )
( 0.226166 )
( 0.22217 )
( 0.268174 )
( 0.041722 )
( 0.0483086 )
( 0.226166 )
( 0.222171 )
( 0.268174 )
( 0.0493498 )
( 0.0456957 )
( 0.443193 )
( 0.049695 )
( 0.37941 )
( 0.226164 )
( 0.490324 )
( 0.207648 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443193 )
( 0.049695 )
( 0.37941 )
( 0.226164 )
( 0.490325 )
( 0.207649 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443194 )
( 0.049695 )
( 0.37941 )
( 0.226163 )
( 0.490325 )
( 0.207649 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443195 )
( 0.049695 )
( 0.37941 )
( 0.226163 )
( 0.490325 )
( 0.20765 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443195 )
( 0.049695 )
( 0.379409 )
( 0.226163 )
( 0.490325 )
( 0.207651 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443196 )
( 0.049695 )
( 0.379409 )
( 0.226163 )
( 0.490325 )
( 0.207651 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443196 )
( 0.049695 )
( 0.379409 )
( 0.226163 )
( 0.490325 )
( 0.207652 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443197 )
( 0.049695 )
( 0.379409 )
( 0.226162 )
( 0.490325 )
( 0.207652 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443197 )
( 0.049695 )
( 0.379408 )
( 0.226162 )
( 0.490325 )
( 0.207653 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443198 )
( 0.049695 )
( 0.379408 )
( 0.226162 )
( 0.490325 )
( 0.207653 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443198 )
( 0.0496949 )
( 0.379408 )
( 0.226162 )
( 0.490326 )
( 0.207654 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443199 )
( 0.0496949 )
( 0.379408 )
( 0.226162 )
( 0.490326 )
( 0.207655 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443199 )
( 0.0496949 )
( 0.379407 )
( 0.226161 )
( 0.490326 )
( 0.207655 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.4432 )
( 0.0496949 )
( 0.379407 )
( 0.226161 )
( 0.490326 )
( 0.207656 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.4432 )
( 0.0496949 )
( 0.379407 )
( 0.226161 )
( 0.490326 )
( 0.207656 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443201 )
( 0.0496949 )
( 0.379407 )
( 0.226161 )
( 0.490326 )
( 0.207657 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443201 )
( 0.0496949 )
( 0.379406 )
( 0.22616 )
( 0.490326 )
( 0.207657 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443201 )
( 0.0496949 )
( 0.379406 )
( 0.22616 )
( 0.490326 )
( 0.207657 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443202 )
( 0.0496949 )
( 0.379406 )
( 0.22616 )
( 0.490326 )
( 0.207658 )
( 0.0421519 )
( 0.0456959 )
( 0.0493498 )
( 0.0456958 )
( 0.443202 )
( 0.0496949 )
( 0.379405 )
( 0.22616 )
( 0.490326 )
( 0.207658 )
( 0.0421519 )
( 0.0456959 )
( 0.443208 )
( 0.0542093 )
( 0.0456958 )
( 0.443204 )
( 0.0427017 )
( 0.0429459 )
( 0.379403 )
( 0.0457302 )
( 0.0542135 )
( 0.0456959 )
( 0.443207 )
( 0.0542096 )
( 0.0456958 )
( 0.443204 )
( 0.0427017 )
( 0.0429459 )
( 0.379402 )
( 0.0457302 )
( 0.0542133 )
( 0.0456959 )
( 0.443207 )
( 0.0542098 )
( 0.0456958 )
( 0.443205 )
( 0.0427017 )
( 0.0429459 )
( 0.379402 )
( 0.0457302 )
( 0.0542131 )
( 0.0456959 )
( 0.443207 )
( 0.0542101 )
( 0.0456958 )
( 0.443205 )
( 0.0427017 )
( 0.0429459 )
( 0.379402 )
( 0.0457302 )
( 0.054213 )
( 0.0456959 )
( 0.443207 )
( 0.0542103 )
( 0.0456958 )
( 0.443205 )
( 0.0427017 )
( 0.0429459 )
( 0.379402 )
( 0.0457302 )
( 0.0542128 )
( 0.0456958 )
( 0.443207 )
( 0.0542106 )
( 0.0456958 )
( 0.443205 )
( 0.0427017 )
( 0.0429459 )
( 0.379401 )
( 0.0457302 )
( 0.0542126 )
( 0.0456958 )
( 0.443207 )
( 0.0542108 )
( 0.0456958 )
( 0.443205 )
( 0.0427017 )
( 0.0429459 )
( 0.379401 )
( 0.0457302 )
( 0.0542124 )
( 0.0456958 )
( 0.443207 )
( 0.054211 )
( 0.0456958 )
( 0.443206 )
( 0.0427017 )
( 0.0429459 )
