time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.0722188,0.00269585,0.00185441,7.37698e-05,0.0023237,0.000447346,1.08902e-05,0.00137898,0.0153817,0.0408033,0.00276546,0.028209,0.00883985,0.0561626,0.00487654,0.0213879,0.0238911,0.0875567,0.000112065,0.000566084,0.000118793,0.000154976,0.0205118,0.0508895,0.00846575,8.94785e-05,0.000212574,0.000573202,
1,0.0737819,0.00311753,0.00212236,8.4468e-05,0.00251537,0.000488606,1.19562e-05,0.00147282,0.0163908,0.0423214,0.00295147,0.0290344,0.00942363,0.0579958,0.00553973,0.0232356,0.0245601,0.0882331,0.000132859,0.000673183,0.000134279,0.000184432,0.0223808,0.0525007,0.00911259,9.88973e-05,0.000233415,0.00062625,
2,0.0751421,0.00352246,0.00240242,9.45932e-05,0.00265819,0.000517658,1.26756e-05,0.00154559,0.0172776,0.0434359,0.00309232,0.0297534,0.0098545,0.0593357,0.00621391,0.0249287,0.0251335,0.0886188,0.000149102,0.000760248,0.000145348,0.000208767,0.0242498,0.0539977,0.00970859,0.000105283,0.000247412,0.000663404,
3,0.0764662,0.00398239,0.00272271,0.000106122,0.00280848,0.000548282,1.34328e-05,0.00162163,0.0181928,0.0445599,0.00323908,0.030486,0.010301,0.0606647,0.00697589,0.0267171,0.025715,0.0889938,0.000167288,0.000858265,0.000157377,0.000236245,0.0262524,0.0555074,0.010341,0.000112063,0.000262136,0.000702549,
4,0.077752,0.00450578,0.00308904,0.000119297,0.00296749,0.000580841,1.42388e-05,0.00170134,0.0191368,0.0456951,0.00339259,0.0312326,0.0107654,0.061983,0.00783695,0.0286009,0.0263047,0.0893591,0.000187932,0.00096985,0.00017064,0.000267594,0.0283912,0.0570275,0.0110122,0.000119354,0.0002778,0.000744155,
5,0.0789976,0.00510038,0.0035076,0.000134362,0.00313573,0.000615464,1.50971e-05,0.00178486,0.0201086,0.0468403,0.00355309,0.0319934,0.011248,0.0632883,0.00880854,0.0305764,0.0269025,0.0897145,0.000211351,0.00109674,0.000185276,0.000303322,0.0306663,0.0585554,0.0117238,0.000127202,0.000294468,0.000788386,
6,0.0802013,0.00577428,0.00398508,0.000151586,0.00331369,0.000652289,1.60111e-05,0.00187234,0.0211072,0.0479945,0.00372085,0.0327683,0.0117493,0.0645783,0.00990266,0.0326382,0.0275079,0.0900604,0.000237876,0.00124075,0.000201428,0.000343966,0.0330755,0.060088,0.0124774,0.000135658,0.000312209,0.000835414,
7,0.0813615,0.00653573,0.0045286,0.000171271,0.00350194,0.000691462,1.69849e-05,0.00196394,0.0221315,0.0491563,0.00389614,0.0335572,0.0122695,0.0658511,0.0111317,0.0347788,0.0281205,0.0903967,0.000267853,0.00140375,0.000219244,0.000390089,0.0356142,0.0616221,0.0132748,0.000144776,0.000331096,0.000885424,
8,0.0824772,0.0073928,0.0051456,0.000193748,0.00370102,0.000733141,1.80225e-05,0.0020598,0.0231803,0.0503247,0.00407923,0.03436,0.0128089,0.0671044,0.0125079,0.0369889,0.02874,0.0907237,0.00030163,0.00158764,0.000238878,0.000442264,0.0382745,0.0631546,0.0141175,0.000154616,0.000351207,0.000938614,
9,0.0835474,0.00835304,0.0058436,0.000219378,0.00391155,0.000777495,1.91285e-05,0.00216009,0.0242526,0.0514981,0.00427039,0.0351765,0.0133677,0.0683365,0.0140434,0.039257,0.0293661,0.0910414,0.00033955,0.00179424,0.000260479,0.000501059,0.0410453,0.0646822,0.0150069,0.000165242,0.000372629,0.000995197,
10,0.0845718,0.0094229,0.00662996,0.000248546,0.00413415,0.000824708,2.03077e-05,0.00226497,0.0253472,0.0526754,0.0044699,0.0360068,0.0139462,0.0695455,0.015749,0.0415698,0.0299983,0.0913499,0.00038193,0.00202521,0.000284193,0.000567007,0.0439122,0.0662013,0.0159443,0.000176722,0.000395451,0.0010554,
11,0.0855499,0.0106072,0.00751152,0.00028166,0.00436949,0.000874974,2.15654e-05,0.00237459,0.0264629,0.053855,0.00467806,0.0368505,0.0145444,0.0707298,0.0176342,0.0439125,0.0306363,0.0916495,0.000429046,0.00228193,0.000310147,0.000640576,0.0468575,0.0677086,0.0169311,0.000189132,0.000419773,0.00111947,
12,0.0864819,0.0119085,0.00849426,0.000319142,0.00461828,0.000928507,2.29071e-05,0.00248912,0.0275986,0.0550357,0.00489515,0.0377076,0.0151624,0.071888,0.019706,0.0462693,0.0312798,0.0919403,0.000481102,0.00256537,0.000338448,0.000722135,0.04986,0.0692006,0.0179681,0.000202547,0.000445703,0.00118768,
13,0.0873681,0.0133263,0.00958277,0.000361422,0.00488125,0.000985534,2.43391e-05,0.00260871,0.0287532,0.0562159,0.00512145,0.0385777,0.0158004,0.0730185,0.0219681,0.0486235,0.0319284,0.0922223,0.000538217,0.00287596,0.000369171,0.000811916,0.0528958,0.0706737,0.0190564,0.000217052,0.000473355,0.0012603,
14,0.0882089,0.0148567,0.0107799,0.000408928,0.00515918,0.0010463,2.58678e-05,0.00273353,0.0299256,0.0573941,0.00535729,0.0394607,0.0164582,0.0741204,0.0244204,0.0509583,0.0325817,0.0924959,0.000600394,0.00321344,0.000402354,0.000909976,0.0559389,0.0721247,0.0201965,0.000232731,0.000502855,0.00133764,
15,0.0890051,0.0164917,0.0120864,0.000462077,0.00545289,0.00111107,2.75005e-05,0.00286375,0.0311148,0.0585689,0.00560294,0.0403562,0.0171358,0.0751926,0.027058,0.0532575,0.0332396,0.0927611,0.000667505,0.00357679,0.000437987,0.00101617,0.0589619,0.0735501,0.0213889,0.000249672,0.000534339,0.00142004,
