matrix(560, 1)
( 0.0191512 )
( 0.0191517 )
( 0.0191521 )
( 0.0191525 )
( 0.0191529 )
( 0.0191533 )
( 0.0191537 )
( 0.0191541 )
( 0.0191545 )
( 0.0191549 )
( 0.0191553 )
( 0.0191557 )
( 0.019156 )
( 0.0191564 )
( 0.0191567 )
( 0.019157 )
( 0.0191573 )
( 0.0191576 )
( 0.0191579 )
( 0.0191581 )
( 0.507502 )
( 0.102558 )
( 0.507502 )
( 0.102558 )
( 0.507503 )
( 0.102559 )
( 0.507504 )
( 0.102559 )
( 0.507504 )
( 0.10256 )
( 0.507505 )
( 0.10256 )
( 0.507506 )
( 0.102561 )
( 0.507506 )
( 0.102561 )
( 0.507507 )
( 0.102562 )
( 0.507508 )
( 0.102562 )
( 0.507508 )
( 0.102563 )
( 0.507509 )
( 0.102563 )
( 0.50751 )
( 0.102563 )
( 0.50751 )
( 0.102564 )
( 0.507511 )
( 0.102564 )
( 0.507511 )
( 0.102565 )
( 0.507512 )
( 0.102565 )
( 0.507512 )
( 0.102565 )
( 0.507513 )
( 0.102566 )
( 0.507513 )
( 0.102566 )
( 0 )
( 0.265911 )
( 0.50114 )
( 0.49843 )
( 0.529469 )
( 0 )
( 0.265911 )
( 0.501139 )
( 0.498431 )
( 0.529469 )
( 0 )
( 0.265911 )
( 0.501139 )
( 0.498432 )
( 0.52947 )
( 0 )
( 0.26591 )
( 0.501139 )
( 0.498433 )
( 0.52947 )
( 0 )
( 0.26591 )
( 0.501138 )
( 0.498434 )
( 0.529471 )
( 0 )
( 0.26591 )
( 0.501138 )
( 0.498435 )
( 0.529471 )
( 0 )
( 0.26591 )
( 0.501138 )
( 0.498436 )
( 0.529471 )
( 0 )
( 0.265909 )
( 0.501137 )
( 0.498437 )
( 0.529472 )
( 0 )
( 0.265909 )
( 0.501137 )
( 0.498438 )
( 0.529472 )
( 0 )
( 0.265909 )
( 0.501137 )
( 0.498439 )
( 0.529473 )
( 0 )
( 0.265908 )
( 0.501136 )
( 0.49844 )
( 0.529473 )
( 0 )
( 0.265908 )
( 0.501136 )
( 0.49844 )
( 0.529473 )
( 0 )
( 0.265908 )
( 0.501135 )
( 0.498441 )
( 0.529474 )
( 0 )
( 0.265907 )
( 0.501135 )
( 0.498442 )
( 0.529474 )
( 0 )
( 0.265907 )
( 0.501134 )
( 0.498443 )
( 0.529474 )
( 0 )
( 0.265907 )
( 0.501134 )
( 0.498444 )
( 0.529475 )
( 0 )
( 0.265906 )
( 0.501133 )
( 0.498444 )
( 0.529475 )
( 0 )
( 0.265906 )
( 0.501133 )
( 0.498445 )
( 0.529475 )
( 0 )
( 0.265906 )
( 0.501132 )
( 0.498446 )
( 0.529475 )
( 0 )
( 0.265905 )
( 0.501132 )
( 0.498446 )
( 0.529476 )
( 0.337557 )
( 0.0861264 )
( 0.647543 )
( 0.361301 )
( 0.604518 )
( 0.501129 )
( 0.67934 )
( 0.488653 )
( 0 )
( 0.0861488 )
( 0.337557 )
( 0.0861269 )
( 0.647544 )
( 0.3613 )
( 0.604518 )
( 0.501129 )
( 0.67934 )
( 0.488654 )
( 0 )
( 0.0861486 )
( 0.337558 )
( 0.0861273 )
( 0.647545 )
( 0.3613 )
( 0.604517 )
( 0.501129 )
( 0.67934 )
( 0.488655 )
( 0 )
( 0.0861483 )
( 0.337558 )
( 0.0861278 )
( 0.647545 )
( 0.3613 )
( 0.604517 )
( 0.501129 )
( 0.67934 )
( 0.488656 )
( 0 )
( 0.0861479 )
( 0.337559 )
( 0.0861283 )
( 0.647546 )
( 0.361299 )
( 0.604517 )
( 0.501128 )
( 0.67934 )
( 0.488656 )
( 0 )
( 0.0861476 )
( 0.337559 )
( 0.0861287 )
( 0.647547 )
( 0.361299 )
( 0.604517 )
( 0.501128 )
( 0.67934 )
( 0.488657 )
( 0 )
( 0.0861472 )
( 0.337559 )
( 0.0861292 )
( 0.647548 )
( 0.361298 )
( 0.604516 )
( 0.501128 )
( 0.67934 )
( 0.488658 )
( 0 )
( 0.0861469 )
( 0.33756 )
( 0.0861296 )
( 0.647548 )
( 0.361298 )
( 0.604516 )
( 0.501128 )
( 0.67934 )
( 0.488659 )
( 0 )
( 0.0861465 )
( 0.33756 )
( 0.0861301 )
( 0.647549 )
( 0.361297 )
( 0.604516 )
( 0.501128 )
( 0.679341 )
( 0.488659 )
( 0 )
( 0.0861461 )
( 0.33756 )
( 0.0861305 )
( 0.647549 )
( 0.361297 )
( 0.604516 )
( 0.501127 )
( 0.679341 )
( 0.48866 )
( 0 )
( 0.0861457 )
( 0.337561 )
( 0.086131 )
( 0.64755 )
( 0.361296 )
( 0.604515 )
( 0.501127 )
( 0.679341 )
( 0.488661 )
( 0 )
( 0.0861452 )
( 0.337561 )
( 0.0861314 )
( 0.647551 )
( 0.361296 )
( 0.604515 )
( 0.501127 )
( 0.679341 )
( 0.488661 )
( 0 )
( 0.0861448 )
( 0.337561 )
( 0.0861318 )
( 0.647551 )
( 0.361295 )
( 0.604515 )
( 0.501126 )
( 0.679341 )
( 0.488662 )
( 0 )
( 0.0861444 )
( 0.337562 )
( 0.0861322 )
( 0.647552 )
( 0.361295 )
( 0.604514 )
( 0.501126 )
( 0.679341 )
( 0.488663 )
( 0 )
( 0.086144 )
( 0.337562 )
( 0.0861326 )
( 0.647552 )
( 0.361294 )
( 0.604514 )
( 0.501126 )
( 0.679341 )
( 0.488664 )
( 0 )
( 0.0861435 )
( 0.337562 )
( 0.086133 )
( 0.647553 )
( 0.361294 )
( 0.604514 )
( 0.501126 )
( 0.679342 )
( 0.488664 )
( 0 )
( 0.0861431 )
( 0.337563 )
( 0.0861334 )
( 0.647553 )
( 0.361293 )
( 0.604513 )
( 0.501125 )
( 0.679342 )
( 0.488665 )
( 0 )
( 0.0861426 )
( 0.337563 )
( 0.0861337 )
( 0.647554 )
( 0.361293 )
( 0.604513 )
( 0.501125 )
( 0.679342 )
( 0.488665 )
( 0 )
( 0.0861422 )
( 0.337563 )
( 0.086134 )
( 0.647554 )
( 0.361292 )
( 0.604513 )
( 0.501125 )
( 0.679342 )
( 0.488666 )
( 0 )
( 0.0861417 )
( 0.337563 )
( 0.0861342 )
( 0.647555 )
( 0.361292 )
( 0.604512 )
( 0.501124 )
( 0.679342 )
( 0.488666 )
( 0 )
( 0.0861413 )
( 0.647562 )
( 0.385144 )
( 0.0861356 )
( 0.647557 )
( 0 )
( 0 )
( 0.604509 )
( 0.0885154 )
( 0.38515 )
( 0.0861398 )
( 0.647561 )
( 0.385145 )
( 0.0861359 )
( 0.647557 )
( 0 )
( 0 )
( 0.604509 )
( 0.0885159 )
( 0.385149 )
( 0.0861396 )
( 0.647561 )
( 0.385145 )
( 0.0861361 )
( 0.647558 )
( 0 )
( 0 )
( 0.604508 )
( 0.0885165 )
( 0.385149 )
( 0.0861395 )
( 0.647561 )
( 0.385145 )
( 0.0861364 )
( 0.647558 )
( 0 )
( 0 )
( 0.604508 )
( 0.088517 )
( 0.385149 )
( 0.0861393 )
( 0.647561 )
( 0.385145 )
( 0.0861366 )
( 0.647558 )
( 0 )
( 0 )
( 0.604508 )
( 0.0885175 )
( 0.385149 )
( 0.0861391 )
( 0.647561 )
( 0.385146 )
( 0.0861369 )
( 0.647559 )
( 0 )
( 0 )
( 0.604507 )
( 0.0885181 )
( 0.385148 )
( 0.0861389 )
( 0.64756 )
( 0.385146 )
( 0.0861371 )
( 0.647559 )
( 0 )
( 0 )
( 0.604507 )
( 0.0885186 )
( 0.385148 )
( 0.0861387 )
( 0.64756 )
( 0.385146 )
( 0.0861374 )
( 0.647559 )
( 0 )
( 0 )
( 0.604506 )
( 0.0885191 )
( 0.385148 )
( 0.0861385 )
( 0.64756 )
( 0.385147 )
( 0.0861376 )
( 0.647559 )
