time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.00969816,0.00189941,0.0013897,0.000275539,0.000647843,0.000269769,6.61698e-06,0.000187187,0.00302759,0.00493488,0.000406454,0.00322048,0.0010719,0.00953068,0.00867337,0.00873219,0.0028661,0.00990845,0.000154138,0.000422317,7.2883e-05,0.00012139,0.00642685,0.00529219,0.000995538,0.000298174,0.000390666,0.000517521,
1,0.00975483,0.00201564,0.00143666,0.000298927,0.000685849,0.000289226,7.16587e-06,0.000195069,0.00309956,0.00504686,0.000424555,0.00325793,0.00111939,0.00971547,0.00897216,0.00897397,0.00290459,0.00997847,0.000176152,0.000477964,8.09576e-05,0.000136948,0.00653506,0.00532867,0.00102121,0.000326062,0.000423694,0.000555931,
2,0.00975523,0.0020239,0.00144105,0.000300848,0.00068873,0.00029071,7.20907e-06,0.000195761,0.00310441,0.00505466,0.000425931,0.00326163,0.00112325,0.00971827,0.00897879,0.0089788,0.00290749,0.00997895,0.000178181,0.00048283,8.16495e-05,0.000138306,0.0065418,0.00533564,0.00102449,0.000328209,0.000426174,0.000558781,
3,0.00975536,0.0020279,0.00144467,0.000301759,0.00069056,0.000291542,7.23109e-06,0.0001963,0.0031083,0.00506115,0.00042691,0.00326494,0.00112612,0.00971907,0.00898016,0.00898014,0.00290994,0.00997902,0.000178666,0.000484057,8.18876e-05,0.000138676,0.00654763,0.00534245,0.00102746,0.000329134,0.000427351,0.000560299,
4,0.00975549,0.00203176,0.00144829,0.000302638,0.000692372,0.000292359,7.25256e-06,0.000196838,0.00311218,0.00506763,0.000427885,0.00326825,0.00112899,0.00971985,0.00898147,0.00898144,0.00291238,0.00997908,0.000179067,0.000485098,8.21054e-05,0.000138997,0.00655345,0.00534926,0.00103044,0.000330022,0.000428494,0.000561785,
5,0.00975563,0.00203562,0.00145192,0.000303519,0.000694189,0.000293179,7.27409e-06,0.000197377,0.00311607,0.00507411,0.000428861,0.00327156,0.00113186,0.00972063,0.00898276,0.00898274,0.00291483,0.00997915,0.000179465,0.000486132,8.23229e-05,0.000139316,0.00655926,0.00535607,0.00103342,0.000330911,0.000429639,0.000563275,
6,0.00975576,0.00203949,0.00145555,0.000304403,0.00069601,0.000294,7.29568e-06,0.000197918,0.00311995,0.0050806,0.00042984,0.00327487,0.00113474,0.00972141,0.00898406,0.00898403,0.00291728,0.00997921,0.000179863,0.000487168,8.2541e-05,0.000139636,0.00656507,0.00536288,0.00103641,0.000331803,0.000430786,0.000564769,
7,0.00975589,0.00204336,0.00145919,0.000305289,0.000697835,0.000294824,7.31734e-06,0.00019846,0.00312385,0.00508708,0.00043082,0.00327818,0.00113762,0.00972218,0.00898535,0.00898533,0.00291972,0.00997928,0.000180262,0.000488206,8.27597e-05,0.000139957,0.00657088,0.0053697,0.00103941,0.000332697,0.000431937,0.000566266,
8,0.00975602,0.00204723,0.00146284,0.000306178,0.000699665,0.000295651,7.33907e-06,0.000199003,0.00312774,0.00509357,0.000431803,0.0032815,0.00114051,0.00972296,0.00898664,0.00898662,0.00292217,0.00997935,0.000180662,0.000489245,8.29789e-05,0.000140279,0.00657668,0.00537652,0.00104241,0.000333593,0.000433091,0.000567767,
9,0.00975615,0.00205111,0.00146649,0.00030707,0.000701499,0.00029648,7.36087e-06,0.000199548,0.00313165,0.00510007,0.000432788,0.00328482,0.00114341,0.00972373,0.00898793,0.0089879,0.00292462,0.00997941,0.000181063,0.000490286,8.31987e-05,0.000140601,0.00658248,0.00538334,0.00104543,0.000334492,0.000434247,0.000569272,
10,0.00975629,0.00205499,0.00147016,0.000307964,0.000703339,0.000297311,7.38273e-06,0.000200094,0.00313555,0.00510656,0.000433775,0.00328814,0.00114631,0.0097245,0.00898921,0.00898919,0.00292707,0.00997947,0.000181464,0.000491328,8.34191e-05,0.000140923,0.00658828,0.00539017,0.00104845,0.000335393,0.000435407,0.000570781,
