matrix(560, 1)
( 0.425096 )
( 0.425096 )
( 0.425096 )
( 0.425096 )
( 0.425097 )
( 0.425097 )
( 0.425097 )
( 0.425097 )
( 0.425097 )
( 0.425098 )
( 0.425098 )
( 0.425098 )
( 0.425098 )
( 0.425098 )
( 0.425099 )
( 0.425099 )
( 0.425099 )
( 0.425099 )
( 0.425099 )
( 0.425099 )
( 0.669169 )
( 0.466782 )
( 0.669169 )
( 0.466782 )
( 0.66917 )
( 0.466782 )
( 0.66917 )
( 0.466782 )
( 0.66917 )
( 0.466783 )
( 0.669171 )
( 0.466783 )
( 0.669171 )
( 0.466783 )
( 0.669171 )
( 0.466783 )
( 0.669172 )
( 0.466784 )
( 0.669172 )
( 0.466784 )
( 0.669172 )
( 0.466784 )
( 0.669173 )
( 0.466784 )
( 0.669173 )
( 0.466784 )
( 0.669173 )
( 0.466785 )
( 0.669173 )
( 0.466785 )
( 0.669174 )
( 0.466785 )
( 0.669174 )
( 0.466785 )
( 0.669174 )
( 0.466785 )
( 0.669174 )
( 0.466786 )
( 0.669175 )
( 0.466786 )
( 0.404213 )
( 0.548424 )
( 0.665989 )
( 0.664635 )
( 0.680148 )
( 0.404213 )
( 0.548424 )
( 0.665989 )
( 0.664635 )
( 0.680148 )
( 0.404213 )
( 0.548424 )
( 0.665989 )
( 0.664636 )
( 0.680148 )
( 0.404213 )
( 0.548424 )
( 0.665989 )
( 0.664636 )
( 0.680149 )
( 0.404213 )
( 0.548424 )
( 0.665989 )
( 0.664637 )
( 0.680149 )
( 0.404213 )
( 0.548423 )
( 0.665988 )
( 0.664637 )
( 0.680149 )
( 0.404213 )
( 0.548423 )
( 0.665988 )
( 0.664638 )
( 0.680149 )
( 0.404213 )
( 0.548423 )
( 0.665988 )
( 0.664638 )
( 0.680149 )
( 0.404213 )
( 0.548423 )
( 0.665988 )
( 0.664639 )
( 0.68015 )
( 0.404213 )
( 0.548423 )
( 0.665988 )
( 0.664639 )
( 0.68015 )
( 0.404213 )
( 0.548423 )
( 0.665987 )
( 0.66464 )
( 0.68015 )
( 0.404213 )
( 0.548423 )
( 0.665987 )
( 0.66464 )
( 0.68015 )
( 0.404213 )
( 0.548422 )
( 0.665987 )
( 0.664641 )
( 0.68015 )
( 0.404213 )
( 0.548422 )
( 0.665987 )
( 0.664641 )
( 0.68015 )
( 0.404213 )
( 0.548422 )
( 0.665987 )
( 0.664641 )
( 0.680151 )
( 0.404213 )
( 0.548422 )
( 0.665986 )
( 0.664642 )
( 0.680151 )
( 0.404213 )
( 0.548422 )
( 0.665986 )
( 0.664642 )
( 0.680151 )
( 0.404213 )
( 0.548422 )
( 0.665986 )
( 0.664642 )
( 0.680151 )
( 0.404213 )
( 0.548422 )
( 0.665986 )
( 0.664643 )
( 0.680151 )
( 0.404213 )
( 0.548421 )
( 0.665985 )
( 0.664643 )
( 0.680151 )
( 0.584232 )
( 0.458569 )
( 0.73916 )
( 0.596099 )
( 0.717657 )
( 0.665984 )
( 0.755052 )
( 0.659749 )
( 0.406 )
( 0.458581 )
( 0.584232 )
( 0.45857 )
( 0.739161 )
( 0.596099 )
( 0.717657 )
( 0.665984 )
