time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.0994065,0.0916813,0.095643,0.0903532,0.0931086,0.0915472,0.0877902,0.0915419,0.0962903,0.0973243,0.0928004,0.0969455,0.0939196,0.0976707,0.0888833,0.089486,0.0288893,0.0992925,0.0856511,0.0855922,0.0883217,0.0844816,0.0983007,0.0990011,0.0964554,0.0898103,0.0906713,0.0916171,
1,0.0999975,0.0995344,0.0998776,0.0994571,0.0997233,0.0995973,0.0991537,0.0995609,0.0999101,0.0999543,0.0996877,0.0999185,0.0997667,0.0995698,0.0920032,0.0920221,0.0294946,0.099996,0.0988238,0.0988095,0.0992155,0.0986243,0.0999844,0.0999914,0.099922,0.0994289,0.099519,0.099606,
2,0.1,0.0999813,0.0999991,0.099982,0.0999949,0.09999,0.0999649,0.0999874,0.1,0.1,0.0999935,0.0999999,0.0999956,0.0995939,0.0921212,0.0921216,0.0297412,0.1,0.099935,0.0999326,0.0999664,0.0999162,0.100001,0.100001,0.100001,0.0999819,0.0999865,0.0999904,
3,0.1,0.100002,0.100002,0.100005,0.100004,0.100004,0.100008,0.100005,0.100002,0.100001,0.100004,0.100002,0.100003,0.0995973,0.0921839,0.092184,0.0299845,0.1,0.100004,0.100003,0.100005,0.100002,0.100001,0.100001,0.100002,0.100005,0.100005,0.100004,
4,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.100009,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996004,0.092245,0.092245,0.0302289,0.1,0.100007,0.100006,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
5,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996035,0.092305,0.092305,0.0304745,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
6,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996065,0.092364,0.092364,0.0307214,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
7,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996095,0.092422,0.0924221,0.0309694,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
8,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996125,0.0924791,0.0924791,0.0312187,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
9,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996154,0.0925352,0.0925353,0.0314692,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
10,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996182,0.0925905,0.0925905,0.031721,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
11,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.099621,0.0926448,0.0926448,0.0319739,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
12,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996238,0.0926983,0.0926983,0.0322281,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
13,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996265,0.0927509,0.0927509,0.0324836,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
14,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996292,0.0928027,0.0928027,0.0327403,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
15,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996318,0.0928536,0.0928536,0.0329982,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
16,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996344,0.0929038,0.0929038,0.0332574,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
17,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.099637,0.0929532,0.0929532,0.0335178,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
18,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996395,0.0930018,0.0930018,0.0337795,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
19,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996419,0.0930497,0.0930497,0.0340424,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
20,0.1,0.100003,0.100002,0.100005,0.100004,0.100005,0.10001,0.100006,0.100002,0.100001,0.100005,0.100002,0.100003,0.0996444,0.0930969,0.0930969,0.0343066,0.1,0.100008,0.100007,0.100007,0.100007,0.100001,0.100001,0.100002,0.100006,0.100005,0.100005,
