time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.0495629,4.80047e-05,3.37658e-05,2.22701e-07,7.71138e-05,1.78541e-06,1.73427e-08,0.000127321,0.00407872,0.014697,0.0006701,0.0237236,0.000634341,0.0267687,0.000119443,0.00349971,0.0206367,0.0736341,3.4583e-07,4.63973e-06,2.75844e-07,8.646e-07,0.00383934,0.0380461,0.00249881,6.31964e-08,2.29576e-07,2.65759e-06,
1,0.0515085,5.57859e-05,3.85532e-05,2.57353e-07,8.52284e-05,1.99805e-06,1.94479e-08,0.000138858,0.00446682,0.0155421,0.000719399,0.0242503,0.000693173,0.0283051,0.000133938,0.00384802,0.0210356,0.0748274,4.28854e-07,5.70864e-06,3.38267e-07,1.0587e-06,0.00425156,0.039158,0.00267621,7.24138e-08,2.59373e-07,2.97716e-06,
2,0.0533039,6.25632e-05,4.32075e-05,2.88461e-07,9.07385e-05,2.12875e-06,2.0663e-08,0.000147,0.00481751,0.0161758,0.000746589,0.0246186,0.000734003,0.0294712,0.000146738,0.00414641,0.02131,0.0756002,4.83022e-07,6.42628e-06,3.7845e-07,1.1913e-06,0.00466301,0.0401448,0.00282134,7.93453e-08,2.76486e-07,3.17207e-06,
3,0.0551151,7.0264e-05,4.85291e-05,3.23927e-07,9.65577e-05,2.26571e-06,2.19274e-08,0.0001556,0.00519205,0.0168306,0.000774479,0.0249901,0.000777096,0.030671,0.000161031,0.00447094,0.0215894,0.0763596,5.42331e-07,7.21707e-06,4.22258e-07,1.33796e-06,0.00511727,0.0411474,0.00297413,8.70148e-08,2.94279e-07,3.37615e-06,
4,0.0569378,7.91106e-05,5.46442e-05,3.64676e-07,0.000102777,2.41209e-06,2.32774e-08,0.000164765,0.00559201,0.0175091,0.000803603,0.0253661,0.000823022,0.0319081,0.000177087,0.00482526,0.0218754,0.0771073,6.10321e-07,8.12413e-06,4.72248e-07,1.50622e-06,0.00561922,0.0421661,0.00313543,9.56423e-08,3.13292e-07,3.59427e-06,
5,0.058767,8.93059e-05,6.16928e-05,4.11643e-07,0.000109423,2.5686e-06,2.47197e-08,0.000174535,0.00601819,0.0182119,0.000834032,0.0257468,0.000871983,0.033182,0.000195168,0.00521237,0.0221681,0.0778427,6.88641e-07,9.16923e-06,5.29573e-07,1.70011e-06,0.00617394,0.0432004,0.00330566,1.05382e-07,3.3362e-07,3.82747e-06,
6,0.0605974,0.000101092,6.98426e-05,4.65945e-07,0.000116524,2.73587e-06,2.6261e-08,0.000184953,0.00647129,0.0189396,0.000865837,0.0261322,0.000924191,0.0344921,0.000215582,0.00563556,0.0224678,0.0785655,7.79148e-07,1.03772e-05,5.95527e-07,1.92423e-06,0.00678698,0.0442498,0.00348531,1.16414e-07,3.55347e-07,4.07671e-06,
7,0.0624234,0.000114761,7.92957e-05,5.2893e-07,0.000124107,2.91461e-06,2.79082e-08,0.000196063,0.00695182,0.0196926,0.000899088,0.0265222,0.000979869,0.0358376,0.000238687,0.00609844,0.0227747,0.0792752,8.84072e-07,1.17778e-05,6.71662e-07,2.18411e-06,0.00746438,0.0453138,0.00367486,1.28954e-07,3.78563e-07,4.34304e-06,
8,0.0642393,0.000130664,9.02959e-05,6.02224e-07,0.000132204,3.10553e-06,2.96687e-08,0.000207914,0.00746009,0.0204712,0.000933863,0.0269169,0.00103926,0.0372172,0.000264909,0.00660494,0.0230891,0.0799715,1.0061e-06,1.34071e-05,7.59846e-07,2.48643e-06,0.00821268,0.0463918,0.00387481,1.43262e-07,4.03362e-07,4.62752e-06,
9,0.0660395,0.000149226,0.000103138,6.87796e-07,0.000140845,3.30939e-06,3.15506e-08,0.000220558,0.00799621,0.021276,0.000970243,0.0273162,0.00110261,0.0386297,0.000294747,0.00715938,0.0234111,0.0806542,1.14849e-06,1.53085e-05,8.62334e-07,2.83927e-06,0.00903893,0.047483,0.00408567,1.59647e-07,4.29841e-07,4.93127e-06,
10,0.0678181,0.000170963,0.00011818,7.88034e-07,0.000150063,3.52697e-06,3.35624e-08,0.000234049,0.00856003,0.0221071,0.00100831,0.0277202,0.00117021,0.0400734,0.000328792,0.00776644,0.0237408,0.0813227,1.31517e-06,1.75347e-05,9.81859e-07,3.25241e-06,0.00995061,0.0485868,0.004308,1.78486e-07,4.58103e-07,5.25545e-06,
11,0.0695697,0.000196499,0.000135856,9.05837e-07,0.00015989,3.75908e-06,3.57133e-08,0.000248445,0.00915114,0.0229649,0.00104816,0.0281289,0.00124233,0.0415466,0.000367746,0.00843119,0.0240786,0.081977,1.51093e-06,2.01497e-05,1.12173e-06,3.73772e-06,0.0109556,0.0497023,0.00454233,2.00232e-07,4.88252e-07,5.60129e-06,
12,0.0712886,0.000226595,0.000156694,1.04474e-06,0.000170362,4.00657e-06,3.80129e-08,0.00026381,0.00976886,0.0238497,0.00108988,0.0285422,0.00131929,0.0430469,0.00041244,0.0091591,0.0244243,0.0826167,1.74158e-06,2.32312e-05,1.28598e-06,4.30966e-06,0.0120622,0.0508286,0.00478925,2.25434e-07,5.204e-07,5.97004e-06,
13,0.0729697,0.000262175,0.000181337,1.20904e-06,0.000181515,4.27033e-06,4.0472e-08,0.000280208,0.0104122,0.0247616,0.00113357,0.0289602,0.00140141,0.0445721,0.000463863,0.00995602,0.0247782,0.0832418,2.01419e-06,2.68738e-05,1.47948e-06,4.98578e-06,0.0132789,0.0519649,0.00504935,2.54759e-07,5.54662e-07,6.36303e-06,
14,0.074608,0.000304366,0.000210569,1.40399e-06,0.000193386,4.55128e-06,4.31017e-08,0.00029771,0.0110801,0.0257007,0.00117935,0.0293829,0.00148903,0.0461195,0.000523195,0.0108282,0.0251403,0.0838519,2.33739e-06,3.11928e-05,1.70821e-06,5.78751e-06,0.0146141,0.0531102,0.00532321,2.8902e-07,5.91157e-07,6.78162e-06,
15,0.0761988,0.000354538,0.000245346,1.63601e-06,0.000206015,4.85039e-06,4.59144e-08,0.000316391,0.0117708,0.0266671,0.0012273,0.0298102,0.00158253,0.0476861,0.000591842,0.0117821,0.0255105,0.0844469,2.72167e-06,3.63286e-05,1.97942e-06,6.74093e-06,0.0160762,0.0542634,0.00561146,3.29205e-07,6.30011e-07,7.22727e-06,
16,0.0777381,0.000414365,0.000286832,1.91292e-06,0.000219442,5.16867e-06,4.89232e-08,0.000336329,0.0124829,0.0276608,0.00127756,0.0302421,0.0016823,0.0492689,0.000671485,0.0128246,0.0258887,0.0850269,3.17984e-06,4.24526e-05,2.30195e-06,7.87787e-06,0.0176734,0.0554234,0.00591473,3.76519e-07,6.71357e-07,7.70147e-06,
17,0.0792222,0.00048588,0.000336451,2.2443e-06,0.000233711,5.50719e-06,5.21425e-08,0.000357609,0.0132142,0.0286817,0.00133025,0.0306787,0.00178874,0.0508645,0.000764134,0.0139627,0.0262748,0.0855916,3.72749e-06,4.97731e-05,2.68656e-06,9.23707e-06,0.019413,0.056589,0.00623365,4.3243e-07,7.15333e-07,8.20582e-06,
18,0.0806478,0.000571558,0.000395932,2.64183e-06,0.000248866,5.86709e-06,5.55878e-08,0.000380317,0.013963,0.0297296,0.00138548,0.03112,0.00190228,0.0524693,0.000872192,0.0152035,0.0266686,0.086141,4.38361e-06,5.85441e-05,3.14636e-06,1.08657e-05,0.0213015,0.0577591,0.00656887,4.98728e-07,7.62085e-07,8.74201e-06,
19,0.0820125,0.000674404,0.000467381,3.11976e-06,0.000264956,6.24957e-06,5.92763e-08,0.000404547,0.014727,0.0308042,0.00144339,0.0315658,0.00202339,0.0540797,0.000998536,0.0165539,0.0270698,0.0866752,5.17126e-06,6.90739e-05,3.69725e-06,1.28211e-05,0.0233442,0.0589324,0.00692104,5.77593e-07,8.1177e-07,9.31181e-06,
20,0.0833143,0.000798051,0.000553353,3.69542e-06,0.000282031,6.65589e-06,6.32266e-08,0.000430396,0.015504,0.0319053,0.00150413,0.0320162,0.00215253,0.0556917,0.0011466,0.0180207,0.0274781,0.0871941,6.1184e-06,8.17361e-05,4.35851e-06,1.51727e-05,0.0255445,0.0601076,0.00729083,6.71677e-07,8.64555e-07,9.91713e-06,
21,0.0845517,0.000946885,0.000656936,4.38989e-06,0.000300145,7.08744e-06,6.74591e-08,0.000457967,0.016292,0.0330324,0.00156782,0.0324712,0.00229022,0.0573014,0.00132051,0.01961,0.0278931,0.0876978,7.25877e-06,9.69819e-05,5.15341e-06,1.80045e-05,0.0279041,0.0612833,0.00767888,7.84193e-07,9.20616e-07,1.056e-05,
22,0.0857239,0.00112616,0.00078185,5.22864e-06,0.000319355,7.54568e-06,7.19964e-08,0.000487368,0.0170889,0.0341849,0.00163462,0.0329307,0.00243699,0.0589048,0.00152513,0.0213272,0.0283142,0.0881865,8.63296e-06,0.000115353,6.10991e-06,2.14172e-05,0.0304224,0.0624582,0.00808587,9.1903e-07,9.80144e-07,1.12426e-05,
23,0.0868308,0.00134215,0.000932544,6.24236e-06,0.000339724,8.03217e-06,7.68631e-08,0.000518711,0.0178928,0.0353622,0.00170468,0.0333947,0.00259337,0.0604979,0.00176631,0.0231763,0.0287411,0.0886601,1.02894e-05,0.000137497,7.2614e-06,2.55313e-05,0.0330959,0.0636308,0.00851244,1.08086e-06,1.04334e-06,1.19673e-05,
24,0.0878725,0.00160224,0.0011143,7.4678e-06,0.000361318,8.54861e-06,8.20864e-08,0.000552113,0.0187018,0.0365636,0.00177817,0.0338633,0.00275996,0.0620767,0.00205093,0.02516,0.029173,0.0891188,1.22856e-05,0.000164181,8.64742e-06,3.04897e-05,0.0359184,0.0647996,0.00895925,1.27529e-06,1.11043e-06,1.27365e-05,
25,0.0888499,0.00191507,0.00133334,8.94856e-06,0.000384205,9.09682e-06,8.76961e-08,0.000587696,0.0195144,0.0377883,0.00185523,0.0343363,0.00293733,0.0636374,0.00238711,0.0272787,0.0296094,0.0895628,1.46888e-05,0.000196302,1.03143e-05,3.64595e-05,0.0388806,0.0659632,0.00942693,1.50895e-06,1.18165e-06,1.35531e-05,
26,0.0897643,0.00229059,0.00159687,1.07359e-05,0.000408463,9.67874e-06,9.3725e-08,0.000625585,0.0203291,0.0390353,0.00193605,0.0348137,0.00312612,0.065176,0.00278436,0.0295306,0.0300496,0.0899922,1.75768e-05,0.000234898,1.23156e-05,4.36343e-05,0.0419697,0.0671202,0.0099161,1.78964e-06,1.25724e-06,1.44197e-05,
27,0.0906173,0.00273997,0.00191312,1.28894e-05,0.00043417,1.02965e-05,1.00208e-07,0.000665911,0.0211447,0.0403035,0.00202079,0.0352955,0.00332695,0.0666889,0.00325369,0.0319107,0.030493,0.0904072,2.1038e-05,0.000281146,1.4712e-05,5.22339e-05,0.0451695,0.068269,0.0104274,2.12641e-06,1.33748e-06,1.53397e-05,
28,0.0914108,0.00327554,0.00229128,1.54767e-05,0.000461413,1.09522e-05,1.07185e-07,0.000708809,0.0219602,0.0415918,0.00210963,0.0357817,0.00354049,0.0681729,0.00380775,0.0344108,0.0309387,0.0908082,2.51704e-05,0.000336349,1.75709e-05,6.25018e-05,0.0484603,0.0694082,0.0109613,2.52955e-06,1.42267e-06,1.63163e-05,
29,0.0921472,0.00391031,0.00274129,1.85736e-05,0.000490283,1.16485e-05,1.14694e-07,0.000754414,0.0227747,0.0428989,0.00220273,0.0362722,0.0037674,0.0696245,0.00446089,0.0370188,0.0313862,0.0911952,3.00792e-05,0.000401904,2.09644e-05,7.47e-05,0.0518188,0.0705362,0.0115185,3.01056e-06,1.5131e-06,1.7353e-05,
30,0.0928288,0.0046574,0.00327351,2.2262e-05,0.000520875,1.23877e-05,1.22778e-07,0.000802867,0.0235878,0.0442234,0.00230028,0.0367669,0.00400836,0.0710411,0.00522907,0.0397188,0.0318348,0.0915685,3.58724e-05,0.000479242,2.49665e-05,8.90971e-05,0.0552184,0.0716516,0.0120995,3.58188e-06,1.60913e-06,1.84536e-05,
31,0.0934584,0.00552902,0.00389812,2.66276e-05,0.000553293,1.31727e-05,1.31481e-07,0.00085431,0.0243988,0.0455638,0.00240245,0.0372659,0.00426408,0.0724199,0.00612971,0.042491,0.0322836,0.0919285,4.2654e-05,0.000569732,2.96482e-05,0.000105952,0.0586292,0.0727529,0.0127047,4.25649e-06,1.71109e-06,1.96223e-05,
32,0.0940387,0.0065351,0.00462423,3.1755e-05,0.000587644,1.40063e-05,1.40843e-07,0.000908885,0.0252074,0.0469185,0.00250942,0.0377691,0.00453524,0.0737587,0.00718136,0.0453119,0.0327322,0.0922754,5.05138e-05,0.000674549,3.50705e-05,0.000125488,0.0620188,0.0738388,0.0133347,5.04721e-06,1.81937e-06,2.08634e-05,
33,0.0945724,0.00768158,0.00545882,3.77218e-05,0.000624041,1.48916e-05,1.50904e-07,0.000966736,0.0260136,0.0482859,0.00262137,0.0382763,0.00482253,0.0750556,0.00840314,0.0481549,0.0331798,0.0926094,5.95148e-05,0.000794503,4.12758e-05,0.000147864,0.0653525,0.0749079,0.0139897,5.96578e-06,1.93436e-06,2.21813e-05,
34,0.0950625,0.00896844,0.0064054,4.45908e-05,0.000662606,1.5832e-05,1.61695e-07,0.001028,0.0268172,0.049664,0.00273846,0.0387877,0.00512666,0.0763089,0.00981399,0.0509912,0.033626,0.0929309,6.96788e-05,0.000929841,4.82775e-05,0.000173134,0.0685949,0.0759589,0.0146703,7.02167e-06,2.05651e-06,2.35811e-05,
35,0.0955117,0.0103879,0.00746271,5.24018e-05,0.000703462,1.68309e-05,1.73243e-07,0.00109283,0.0276182,0.0510511,0.00286085,0.039303,0.00544831,0.0775174,0.0114317,0.0537912,0.0340702,0.0932402,8.09716e-05,0.00108006,5.60505e-05,0.000201216,0.0717106,0.0769905,0.0153766,8.2208e-06,2.18625e-06,2.50678e-05,
