time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,
0,0.0652568,0.000746781,0.000535087,1.18023e-05,0.00061451,5.83697e-05,7.99928e-07,0.000511041,0.0103843,0.025806,0.00183536,0.0285315,0.00260565,0.0468904,0.00224701,0.014221,0.0224761,0.0840024,1.49579e-05,0.000116204,1.04222e-05,2.69945e-05,0.0121042,0.0455757,0.00535888,7.15602e-06,2.2005e-05,9.26208e-05,
1,0.0665489,0.000848157,0.000594727,1.33078e-05,0.000670377,6.45121e-05,8.90672e-07,0.000550347,0.0109912,0.0269222,0.00196289,0.029133,0.00281048,0.0485575,0.00246994,0.0152366,0.022943,0.0848363,1.81731e-05,0.000140065,1.23284e-05,3.24067e-05,0.0129677,0.0466211,0.0056789,8.04781e-06,2.4573e-05,0.000102503,
2,0.067546,0.000921711,0.000645834,1.44327e-05,0.00070001,6.74407e-05,9.31307e-07,0.000573158,0.0114208,0.0275837,0.00202196,0.0294856,0.00292652,0.0494344,0.0026421,0.0159482,0.0232346,0.0851441,1.98396e-05,0.00015289,1.32765e-05,3.53671e-05,0.0137259,0.0474638,0.0059073,8.47228e-06,2.5706e-05,0.000107161,
3,0.0685332,0.00100126,0.000701846,1.56561e-05,0.000730227,7.03898e-05,9.71809e-07,0.000596609,0.01186,0.0282532,0.00208129,0.0298391,0.00304555,0.0503069,0.00282697,0.0166875,0.0235276,0.0854448,2.15361e-05,0.000166095,1.42357e-05,3.84314e-05,0.0145278,0.0483132,0.00614354,8.90123e-06,2.68316e-05,0.000111843,
4,0.0695107,0.00108876,0.000763525,1.70023e-05,0.000761782,7.34717e-05,1.01414e-06,0.000621085,0.012311,0.0289357,0.00214253,0.0301959,0.0031697,0.0511822,0.00302679,0.0174599,0.0238239,0.0857411,2.33952e-05,0.000180582,1.52773e-05,4.17956e-05,0.0153766,0.04917,0.00638914,9.35582e-06,2.80074e-05,0.000116736,
5,0.0704775,0.00118511,0.0008315,1.84855e-05,0.000794747,7.66946e-05,1.05843e-06,0.000646636,0.0127737,0.0296314,0.00220579,0.0305562,0.00329921,0.0520597,0.00324285,0.0182665,0.0241233,0.0860332,2.54413e-05,0.000196535,1.64129e-05,4.55013e-05,0.0162745,0.0500339,0.00664442,9.83859e-06,2.9237e-05,0.000121851,
6,0.0714326,0.00129127,0.000906467,2.01208e-05,0.000829181,8.0065e-05,1.10478e-06,0.000673307,0.0132479,0.0303401,0.00227111,0.0309198,0.00343429,0.052939,0.00347653,0.019108,0.0244259,0.0863208,2.76951e-05,0.000214115,1.76525e-05,4.95862e-05,0.0172236,0.0509044,0.00690971,1.03517e-05,3.0523e-05,0.000127201,
7,0.0723752,0.00140831,0.000989197,2.19254e-05,0.000865146,8.35896e-05,1.15327e-06,0.000701144,0.0137336,0.0310618,0.00233858,0.0312868,0.00357518,0.0538192,0.00372934,0.0199853,0.0247315,0.0866042,3.01792e-05,0.0002335,1.90068e-05,5.40918e-05,0.0182258,0.0517811,0.00718533,1.08976e-05,3.1868e-05,0.000132795,
8,0.0733043,0.0015374,0.00108055,2.39183e-05,0.000902707,8.7275e-05,1.20402e-06,0.000730196,0.0142304,0.0317966,0.00240826,0.0316573,0.0037221,0.0546999,0.00400289,0.0208988,0.0250402,0.0868832,3.29188e-05,0.000254886,2.04876e-05,5.90641e-05,0.0192833,0.0526635,0.00747164,1.14787e-05,3.32744e-05,0.000138643,
9,0.0742191,0.00167983,0.00118146,2.61206e-05,0.000941931,9.11286e-05,1.25712e-06,0.000760511,0.0147382,0.0325442,0.00248022,0.0320311,0.00387529,0.0555802,0.0042989,0.0218493,0.0253519,0.0871578,3.59413e-05,0.00027849,2.2108e-05,6.4554e-05,0.0203979,0.0535511,0.00776895,1.2098e-05,3.47452e-05,0.000144758,
10,0.0751189,0.00183703,0.00129299,2.85559e-05,0.000982886,9.51578e-05,1.31268e-06,0.000792141,0.0152567,0.0333045,0.00255453,0.0324084,0.00403498,0.0564596,0.00461924,0.0228369,0.0256666,0.0874282,3.92774e-05,0.00030455,2.38822e-05,7.06173e-05,0.0215712,0.0544435,0.00807762,1.27585e-05,3.6283e-05,0.00015115,
11,0.0760028,0.00201056,0.00141627,3.12501e-05,0.00102565,9.93703e-05,1.37082e-06,0.000825137,0.0157856,0.0340775,0.00263127,0.032789,0.00420142,0.0573374,0.0049659,0.023862,0.025984,0.0876942,4.29605e-05,0.000333329,2.5826e-05,7.73157e-05,0.0228048,0.0553401,0.00839798,1.34635e-05,3.78911e-05,0.000157833,
12,0.0768703,0.00220212,0.00155259,3.4232e-05,0.00107028,0.000103774,1.43166e-06,0.000859555,0.0163248,0.034863,0.00271051,0.0331729,0.00437487,0.058213,0.00534098,0.0249245,0.0263042,0.0879559,4.70272e-05,0.000365113,2.79566e-05,8.47165e-05,0.0241,0.0562404,0.00873038,1.42167e-05,3.95724e-05,0.000164819,
13,0.0777205,0.00241357,0.00170331,3.75334e-05,0.00111687,0.000108378,1.49531e-06,0.000895447,0.0168737,0.0356607,0.00279232,0.0335603,0.00455557,0.0590856,0.00574674,0.0260244,0.0266272,0.0882133,5.15175e-05,0.000400215,3.02926e-05,9.28934e-05,0.0254577,0.0571437,0.00907517,1.50222e-05,4.13302e-05,0.000172122,
14,0.0785531,0.0026469,0.00186995,4.11893e-05,0.0011655,0.000113191,1.56192e-06,0.00093287,0.0174323,0.0364705,0.00287679,0.033951,0.00474379,0.0599546,0.00618556,0.0271612,0.0269527,0.0884665,5.6475e-05,0.000438975,3.28544e-05,0.000101926,0.0268787,0.0580495,0.00943268,1.58843e-05,4.3168e-05,0.000179755,
